1												
1												
1												
Year	Mnth	Day	LATITUDE	LONGITUDE	ELEVATION	prcp(mm/day)	GWD	SNOW	SNWD	tmax(C)_daymet	tmin(C)_daymet	TOBS
1980	1	1	0	0	0	0		0	0	50	39	40
1980	1	2	0	0	0	0		0	0	55	31	31
1980	1	3	0	0	0	0		0	0	62	30	41
1980	1	4	0	0	0	0.15		0	0	67	41	46
1980	1	5	0	0	0	0		0	0	46	28	29
1980	1	6	0	0	0	0		0	0	49	27	28
1980	1	7	0	0	0	0.09		0	0	57	57	0
1980	1	8	0	0	0	0.47		0	0	66	57	61
1980	1	9	0	0	0	0.03		0	0	69	54	58
1980	1	10	0	0	0	0.92		0	0	75	56	60
1980	1	11	0	0	0	1.21		0	0	68	59	62
1980	1	12	0	0	0	0		0	0	67	46	46
1980	1	13	0	0	0	0		0	0	63	45	55
1980	1	14	0	0	0	0		0	0	62	50	51
1980	1	15	0	0	0	0		0	0	59	41	41
1980	1	16	0	0	0	0		0	0	67	41	55
1980	1	17	0	0	0	0.57		0	0	65	55	64
1980	1	18	0	0	0	0.76		0	0	67	59	60
1980	1	19	0	0	0	0		0	0	69	45	48
1980	1	20	0	0	0	0		0	0	72	47	50
1980	1	21	0	0	0	0		0	0	74	49	51
1980	1	22	0	0	0	0		0	0	69	51	53
1980	1	23	0	0	0	0.79		0	0	72	44	44
1980	1	24	0	0	0	0		0	0	50	30	30
1980	1	25	0	0	0	0		0	0	58	30	50
1980	1	26	0	0	0	0.49		0	0	58	50	56
1980	1	27	0	0	0	0		0	0	63	54	54
1980	1	28	0	0	0	0		0	0	65	43	43
1980	1	29	0	0	0	0		0	0	62	42	44
1980	1	30	0	0	0	0		0	0	66	44	46
1980	1	31	0	0	0	0.28		0	0	72	43	43
1980	2	1	0	0	0	0		0	0	44	25	25
1980	2	2	0	0	0	0		0	0	44	23	24
1980	2	3	0	0	0	0		0	0	44	23	32
1980	2	4	0	0	0	0		0	0	53	28	29
1980	2	5	0	0	0	0		0	0	55	29	34
1980	2	6	0	0	0	0.43		0	0	60	34	41
1980	2	7	0	0	0	0		0	0	58	29	29
1980	2	8	0	0	0	0		0	0	54	28	36
1980	2	9	0	0	0	0		0	0	61	36	61
1980	2	10	0	0	0	0.61		0	0	67	37	37
1980	2	11	0	0	0	0		0	0	43	27	27
1980	2	12	0	0	0	0		0	0	50	26	38
1980	2	13	0	0	0	0		0	0	49	37	41
1980	2	14	0	0	0	0		0	0	53	41	47
1980	2	15	0	0	0	0		0	0	70	44	50
1980	2	16	0	0	0	0		0	0	71	50	61
1980	2	17	0	0	0	0.27		0	0	61	27	27
1980	2	18	0	0	0	0		0	0	49	26	28
1980	2	19	0	0	0	0		0	0	57	28	39
1980	2	20	0	0	0	0		0	0	62	39	59
1980	2	21	0	0	0	0		0	0	72	57	63
1980	2	22	0	0	0	0		0	0	76	62	64
1980	2	23	0	0	0	0.06		0	0	68	58	62
1980	2	24	0	0	0	0		0	0	79	62	64
1980	2	25	0	0	0	0		0	0	76	54	54
1980	2	26	0	0	0	0		0	0	68	31	32
1980	2	27	0	0	0	0		0	0	52	30	32
1980	2	28	0	0	0	0		0	0	63	32	47
1980	2	29	0	0	0	0		0	0	69	47	53
1980	3	1	0	0	0	0.54		0	0	74	52	60
1980	3	2	0	0	0	0.14		0	0	62	21	22
1980	3	3	0	0	0	0		0	0	40	20	21
1980	3	4	0	0	0	0		0	0	53	20	40
1980	3	5	0	0	0	0.07		0	0	62	40	62
1980	3	6	0	0	0	0.03		0	0	77	44	45
1980	3	7	0	0	0	0		0	0	75	43	63
1980	3	8	0	0	0	0.22		0	0	73	60	70
1980	3	9	0	0	0	0.89		0	0	72	64	65
1980	3	10	0	0	0	1.31		0	0	72	62	67
1980	3	11	0	0	0	0.02		0	0	80	59	60
1980	3	12	0	0	0	0		0	0	77	59	66
1980	3	13	0	0	0	0.13		0	0	77	65	65
1980	3	14	0	0	0	0		0	0	81	45	45
1980	3	15	0	0	0	0		0	0	68	44	49
1980	3	16	0	0	0	0		0	0	68	49	63
1980	3	17	0	0	0	0		0	0	70	63	67
1980	3	18	0	0	0	3.12		0	0	76	46	46
1980	3	19	0	0	0	0		0	0	65	44	47
1980	3	20	0	0	0	0.3		0	0	69	47	63
1980	3	21	0	0	0	0.12		0	0	77	57	57
1980	3	22	0	0	0	0		0	0	68	40	40
1980	3	23	0	0	0	0		0	0	73	40	56
1980	3	24	0	0	0	0		0	0	72	56	68
1980	3	25	0	0	0	0.11		0	0	73	46	46
1980	3	26	0	0	0	0		0	0	75	46	58
1980	3	27	0	0	0	0.09		0	0	59	55	56
1980	3	28	0	0	0	0.24		0	0	68	56	68
1980	3	29	0	0	0	1.39		0	0	69	61	63
1980	3	30	0	0	0	3.14		0	0	67	58	61
1980	3	31	0	0	0	0		0	0	69	50	51
1980	4	1	0	0	0	0		0	0	69	50	54
1980	4	2	0	0	0	0.11		0	0	75	54	63
1980	4	3	0	0	0	2.38		0	0	63	60	62
1980	4	4	0	0	0	0.68		0	0	71	62	68
1980	4	5	0	0	0	0		0	0	76	45	46
1980	4	6	0	0	0	0		0	0	73	46	55
1980	4	7	0	0	0	0.2		0	0	72	55	60
1980	4	8	0	0	0	0.35		0	0	67	58	62
1980	4	9	0	0	0	0.47		0	0	80	48	50
1980	4	10	0	0	0	0		0	0	75	46	47
1980	4	11	0	0	0	0		0	0	78	47	55
1980	4	12	0	0	0	0		0	0	77	50	72
