id;Latitude;Longitude;K(m/day)
00000001;30.28045;-87.6498;22.6
00000002;30.40807;-87.6846;21.4
00000003;30.43097;-87.4172;21.6
00000004;31.02574;-85.0444;27.2
00000005;31.16715;-85.91;23.8
00000006;31.3774;-85.5804;26.9
00000007;31.57627;-85.5976;25.2
00000008;32.04193;-86.0363;23.5
00000009;31.93309;-88.4577;20.3
00000010;32.51566;-87.8445;19.6
00000011;32.70152;-87.5911;17.4
00000012;32.79594;-86.8769;18.3
00000013;32.83572;-87.8892;16.2
00000014;33.30838;-85.4881;22.9
00000015;33.43507;-86.8741;10.3
00000016;33.63304;-86.5948;11.5
00000017;33.96806;-87.9207;5.3
00000018;34.69082;-86.5837;10.2
00000019;34.66771;-86.022;11.4
00000020;34.77324;-87.6312;7.3
00000021;34.80537;-86.9711;8.6
