1
1
1
Year	Mnth	Day	Pumping	DAEV	DAPR	DAWM	EVAP	MDEV	MDPR	MDWM	MNPN	MXPN	prcp(mm/day)	SN32	SNOW	SNWD	SX32	tmax(C)_daymet	tmin(C)_daymet	TOBS	WDMV
1980	1	1	96192	0.0	0.0	0.0	0.07	0.0	0.0	0.0	39.0	48.0	0.0	0.0	0.0	0.0	0.0	48.0	40.0	43.0	28.0
1980	1	2	96192	0.0	0.0	0.0	0.03	0.0	0.0	0.0	37.0	49.0	0.0	0.0	0.0	0.0	0.0	55.0	33.0	33.0	6.2
1980	1	3	96192	0.0	0.0	0.0	0.03	0.0	0.0	0.0	39.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	43.0	1.9
1980	1	4	96192	0.0	0.0	0.0	0.05	0.0	0.0	0.0	39.0	57.0	0.29	0.0	0.0	0.0	0.0	67.0	33.0	42.0	24.2
1980	1	5	96192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	47.0	0.0	0.0	0.0	0.0	0.0	45.0	32.0	40.0	28.0
1980	1	6	96192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	43.0	0.0	0.0	0.0	0.0	0.0	48.0	28.0	38.0	8.1
1980	1	7	96192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	51.0	0.0	0.0	0.0	0.0	0.0	60.0	37.0	58.0	6.2
1980	1	8	96192	0.0	0.0	0.0	0.01	0.0	0.0	0.0	49.0	62.0	0.21	0.0	0.0	0.0	0.0	65.0	58.0	60.0	3.1
1980	1	9	96192	0.0	0.0	0.0	0.02	0.0	0.0	0.0	46.0	66.0	0.1	0.0	0.0	0.0	0.0	67.0	54.0	58.0	0.0
1980	1	10	96192	0.0	0.0	0.0	0.05	0.0	0.0	0.0	56.0	68.0	0.0	0.0	0.0	0.0	0.0	71.0	55.0	60.0	1.2
1980	1	11	96192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	65.0	2.14	0.0	0.0	0.0	0.0	68.0	59.0	60.0	3.7
1980	1	12	96192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	66.0	0.28	0.0	0.0	0.0	0.0	66.0	45.0	45.0	8.1
1980	1	13	96192	0.0	0.0	0.0	0.09	0.0	0.0	0.0	41.0	57.0	0.0	0.0	0.0	0.0	0.0	60.0	45.0	54.0	6.8
1980	1	14	96192	0.0	0.0	0.0	0.06	0.0	0.0	0.0	48.0	58.0	0.0	0.0	0.0	0.0	0.0	60.0	50.0	50.0	6.2
1980	1	15	96192	0.0	0.0	0.0	0.03	0.0	0.0	0.0	45.0	59.0	0.0	0.0	0.0	0.0	0.0	57.0	44.0	46.0	1.2
1980	1	16	96192	0.0	0.0	0.0	0.02	0.0	0.0	0.0	45.0	64.0	0.0	0.0	0.0	0.0	0.0	67.0	46.0	55.0	1.2
1980	1	17	96192	0.0	0.0	0.0	0.02	0.0	0.0	0.0	54.0	63.0	0.64	0.0	0.0	0.0	0.0	65.0	54.0	64.0	3.1
1980	1	18	96192	0.0	0.0	0.0	0.03	0.0	0.0	0.0	58.0	66.0	0.99	0.0	0.0	0.0	0.0	67.0	58.0	58.0	14.9
1980	1	19	96192	0.0	0.0	0.0	0.07	0.0	0.0	0.0	50.0	67.0	0.0	0.0	0.0	0.0	0.0	68.0	48.0	50.0	19.9
1980	1	20	96192	0.0	0.0	0.0	0.03	0.0	0.0	0.0	50.0	63.0	0.0	0.0	0.0	0.0	0.0	67.0	47.0	55.0	13.0
1980	1	21	96192	0.0	0.0	0.0	0.03	0.0	0.0	0.0	52.0	64.0	0.0	0.0	0.0	0.0	0.0	70.0	51.0	52.0	8.7
1980	1	22	96192	0.0	0.0	0.0	0.03	0.0	0.0	0.0	52.0	63.0	0.0	0.0	0.0	0.0	0.0	65.0	52.0	63.0	8.1
1980	1	23	96192	0.0	0.0	0.0	0.12	0.0	0.0	0.0	44.0	68.0	0.78	0.0	0.0	0.0	0.0	70.0	43.0	43.0	90.7
1980	1	24	96192	0.0	0.0	0.0	0.1	0.0	0.0	0.0	36.0	51.0	0.0	0.0	0.0	0.0	0.0	49.0	31.0	33.0	51.0
1980	1	25	96192	0.0	0.0	0.0	0.06	0.0	0.0	0.0	35.0	51.0	0.0	0.0	0.0	0.0	0.0	56.0	33.0	51.0	65.9
1980	1	26	96192	0.0	0.0	0.0	0.01	0.0	0.0	0.0	48.0	55.0	0.53	0.0	0.0	0.0	0.0	58.0	50.0	54.0	11.8
1980	1	27	96192	0.0	0.0	0.0	0.01	0.0	0.0	0.0	54.0	60.0	0.01	0.0	0.0	0.0	0.0	63.0	53.0	53.0	11.8
1980	1	28	96192	0.0	0.0	0.0	0.1	0.0	0.0	0.0	46.0	63.0	0.0	0.0	0.0	0.0	0.0	65.0	42.0	43.0	34.2
1980	1	29	96192	0.0	0.0	0.0	0.07	0.0	0.0	0.0	44.0	67.0	0.0	0.0	0.0	0.0	0.0	59.0	40.0	44.0	26.1
1980	1	30	96192	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	39.0	46.0	14.9
1980	1	31	96192	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	69.0	40.0	40.0	60.3
1980	2	1	96192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	24.0	24.0	105.0
1980	2	2	96192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	23.0	29.0	57.8
1980	2	3	96192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	29.0	38.0	14.3
1980	2	4	96192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	51.0	0.0	0.0	0.0	0.0	0.0	50.0	33.0	34.0	16.8
1980	2	5	96192	0.0	0.0	0.0	0.08	0.0	0.0	0.0	34.0	53.0	0.0	0.0	0.0	0.0	0.0	53.0	34.0	34.0	26.1
1980	2	6	96192	0.0	0.0	0.0	0.1	0.0	0.0	0.0	35.0	54.0	0.48	0.0	0.0	0.0	0.0	61.0	34.0	41.0	49.7
1980	2	7	96192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	28.0	28.0	51.0
1980	2	8	96192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	58.0	0.0	0.0	0.0	0.0	0.0	52.0	28.0	36.0	19.3
1980	2	9	96192	0.0	0.0	0.0	0.03	0.0	0.0	0.0	37.0	56.0	0.06	0.0	0.0	0.0	0.0	63.0	36.0	62.0	36.0
