1																																																																																						
1																																																																																						
1																																																																																						
Year	Mnth	Day	LATITUDE	LONGITUDE	ELEVATION	ACMH	ACSH	AWND	DAPR	FMTM	FRGB	FRGT	MDPR	MDSF	PGTM	prcp(mm/day)	Nitrate	PSUN	SNOW	SNWD	TAVG	tmax	tmin	TOBS	TSUN	WDF1	WDF2	WDF5	WDFG	WDFM	WESD	WESF	WSF1	WSF2	WSF5	WSFG	WSFM	WT01	WT02	WT03	WT04	WT05	WT06	WT07	WT08	WT09	WT10	WT11	WT13	WT14	WT15	WT16	WT17	WT18	WT19	WT21	WT22	WV03	WV20	DAEV	DAWM	EVAP	MDEV	MDWM	MNPN	MXPN	WDMV	FRTH	GAHT	SN32	SX32	DASF	SN02	SX02	SN01	SN03	SX01	SX03	SN52	SX52	Occur	srad(W/m2)	swe(mm)	tmax(C)	tmin(C)	vp(Pa)
2000	1	1	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	0	0	76	49	56	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				189.91	0	10.91	3.53	787.71
2000	1	2	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	0	0	77	56	67	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				243.48	0	11.71	1.22	668.64
2000	1	3	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	4.03	0	78	67	68	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				255.93	0	12.09	0.54	631.53
2000	1	4	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	3.47	0	77	56	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				252.41	0	12.11	0.87	643.97
2000	1	5	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	7.45	0	64	30	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				232.91	0	12.09	2.43	724.29
2000	1	6	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	0	0	54	30	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				278.66	0	13.62	-0.34	594.6
2000	1	7	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	0	0	63	33	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				281.35	0	13.9	-0.39	593.86
2000	1	8	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	0	0	64	35	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				269.16	0	13.7	1.22	663.35
2000	1	9	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	0	0	70	45	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				278.55	0	13.89	0.4	626.91
2000	1	10	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	141.84	0	76	57	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				264.55	0	13.21	1.52	681.36
2000	1	11	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	1.46	71.69	0	73	44	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				198.96	0	12.79	4.6	845.21
2000	1	12	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	3.12	0	0	77	45	57	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				150.26	0	12.31	4.98	872.54
2000	1	13	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	4.3	0	76	57	64	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				266.35	0	13.53	2.08	705.62
2000	1	14	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	0	0	79	39	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				255.18	0	14.53	3.95	800.46
2000	1	15	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	1.81	0	0	58	31	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				211.76	0	13.99	6.08	945.74
2000	1	16	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	5.5	0	0	67	37	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				153.03	0	14.84	7.5	1043.41
