1
1
1										
Year	Mnth	Day	Hr	dayl(s)	prcp(mm/day)	Nitrate	srad(W/m2)	swe(mm)	tmax(C)	tmin(C)	vp(Pa)
1980	1	1	12	34214.4	1.19	0	105.83	0	14.38	10.1	1192.17
1980	1	2	12	34214.4	0	0	252.78	0	15.46	3.27	567.64
1980	1	3	12	34214.4	0	0	273.37	0	14.62	0.45	440.57
1980	1	4	12	34214.4	0	0	159	0	8.71	2.58	692.93
1980	1	5	12	34214.4	0	0	214.4	0	11.52	2.42	615.35
1980	1	6	12	34226.47	0	0	178.46	0	12.18	5.06	786.87
1980	1	7	12	34515.53	0	0	249.73	0	13.18	1.96	528.05
1980	1	8	12	34560.01	0	0	213.01	0	12.5	3.84	655.94
1980	1	9	12	34560.01	13.12	0	109.32	0	12.42	6.89	968.67
1980	1	10	12	34560.01	8.68	0	100.67	0	12.01	6.98	1002.07
1980	1	11	12	34560.01	28.78	0	165.55	0	13.16	4.02	818.98
1980	1	12	12	34639.91	15.38	0	161.64	0	16.3	7.27	1033.61
1980	1	13	12	34905.58	12.91	0	133.27	0	16.85	9.79	1225.29
1980	1	14	12	34905.58	18.99	0	105.08	0	16.33	11	1319.67
1980	1	15	12	34905.58	5.39	0	138.19	0	13.94	6.79	1003.03
1980	1	16	12	34905.58	3.35	0	144.72	0	14.28	6.84	998.5
1980	1	17	12	35109.7	9.03	0	85.15	0	13.47	9.4	1193.72
1980	1	18	12	35251.18	6.17	0	119.12	0	10.25	4.62	854.52
1980	1	19	12	35251.18	0	0	281.35	0	9.74	-2.49	515.43
1980	1	20	12	35251.18	0	0	305.66	0	12.31	-2.79	506.67
1980	1	21	12	35331.1	0	0	311.8	0	14.13	-2.05	534.61
1980	1	22	12	35596.8	0	0	312.59	0	15.56	-0.55	587.03
1980	1	23	12	35596.8	0	0	319.15	0	13.7	-2.9	499.23
1980	1	24	12	35596.8	0	0	312.46	0	13.29	-2.05	533.69
1980	1	25	12	35897.9	0	0	288.02	0	10.65	-1.68	547.17
1980	1	26	12	35942.39	0	0	279.88	0	9.6	-1.78	543.46
1980	1	27	12	35942.39	0	0	244.88	0	8.52	-0.36	602.42
1980	1	28	12	36022.28	0	0	270.91	0	10.88	0.41	635.9
1980	1	29	12	36287.99	0.59	0	276.21	0	9.48	-1.01	579.5
1980	1	30	12	36287.99	0	0	315.49	0	12.02	-1.39	553.22
1980	1	31	12	36287.99	0	0	295.98	0	13.18	1.35	674.67
1980	2	1	12	36633.6	0	0	334.34	0	15.29	-0.64	589.97
1980	2	2	12	36633.6	0	0	329.87	0	15.59	0.47	637.06
1980	2	3	12	36633.6	0	0	305.37	0	14.08	1.51	690.1
1980	2	4	12	36979.22	0	0	287.74	0	15.24	3.9	811.87
1980	2	5	12	36979.22	0	0	233.37	0	14.79	6.4	965.4
1980	2	6	12	36979.22	0	0	280.69	0	14.56	4.04	826.29
1980	2	7	12	37324.8	0	0	338.86	0	17.98	2.47	739.93
1980	2	8	12	37324.8	0	0	316.96	0	15.83	2.46	728.34
1980	2	9	12	37324.8	0	0	352.25	0	16.25	-0.49	595.69
1980	2	10	12	37670.41	0	0	346.46	0	16.2	0.22	627.96
1980	2	11	12	37670.41	0	0	323.05	0	15.48	1.79	703.09
1980	2	12	12	37874.52	0	0	345.69	0	15.53	-0.08	615.86
1980	2	13	12	38016	0	0	304.27	0	13.86	1.57	691.8
1980	2	14	12	38016	7.03	0	105.54	0	11.97	7.28	1022.53
1980	2	15	12	38361.61	13.07	0	178.6	0	13.39	4.75	868.03
1980	2	16	12	38361.61	12.24	0	168.28	0	13.92	5.81	934.84
1980	2	17	12	38361.61	15.62	0	125.06	0	13.93	8.17	1094.6
1980	2	18	12	38707.2	13.51	0	97.45	0	14.65	10.4	1271.67
1980	2	19	12	38707.2	15.23	0	180.04	0	14.17	5.99	946.23
1980	2	20	12	39008.31	15.59	0	193.71	0	11.68	3.14	773.96
1980	2	21	12	39052.8	21.96	0	191.74	0	12.44	4.2	831.66
1980	2	22	12	39052.8	2.72	0	287.96	0	16.07	4.24	835.36
1980	2	23	12	39398.38	1.22	0	346.73	0	15.03	1.01	665.58
1980	2	24	12	39398.38	0	0	306.48	0	16.06	5.97	934.2
1980	2	25	12	39699.54	0	0	333.9	0	17.67	6.12	953.47
1980	2	26	12	39744.02	0	0	332.97	0	18.08	6.65	990.22
1980	2	27	12	39744.02	0	0	360.35	0	18.01	5.12	892.72
1980	2	28	12	40089.61	5.72	0	202.4	0	17.21	8.68	1134.38
1980	2	29	12	40089.61	0	0	393.42	0	16.76	2.12	723.64
1980	3	1	12	40435.18	0	0	349.03	0	15.18	3.71	806.01
1980	3	2	12	40435.18	2.99	0	199.96	0	12.71	5.63	920.2
1980	3	3	12	40435.18	6.2	0	159.06	0	11.68	5.99	935.37
1980	3	4	12	40780.82	0.27	0	355.32	0	14.21	3.46	785.93
1980	3	5	12	40780.82	7.75	0	197.06	0	13.32	6.21	950.09
1980	3	6	12	41126.39	6.07	0	211.69	0	12.03	4.47	845.47
1980	3	7	12	41126.39	3.07	0	351.4	0	15.1	-0.04	617.9
1980	3	8	12	41138.46	0	0	423.55	0	14.85	0.85	659.19
1980	3	9	12	41472	0	0	447.2	0	17.29	0.9	661.86
1980	3	10	12	41472	0	0	445.37	0	19.1	2.75	762.2
1980	3	11	12	41817.61	0	0	319.56	0	15.95	7.28	1023.6
1980	3	12	12	41817.61	0	0	419.55	0	13.79	0.94	666.08
1980	3	13	12	42163.18	0	0	461.3	0	17.89	1.21	674.13
1980	3	14	12	42163.18	0	0	405.96	0	15.72	3.79	815.53
1980	3	15	12	42163.18	0.68	0	400.62	0	14.09	2.6	746.4
1980	3	16	12	42508.81	0	0	428.05	0	14.89	1.7	699.5
1980	3	17	12	42508.81	0	0	466.29	0	15.94	-0.3	609.32
1980	3	18	12	42854.4	0	0	408.74	0	17.23	4.77	872.07
1980	3	19	12	42854.4	0	0	468.69	0	17.26	0.45	636.08
1980	3	20	12	43200.01	0	0	437.1	0	17.16	2.81	762.39
1980	3	21	12	43200.01	0	0	381.39	0	16.22	4.84	867.59
1980	3	22	12	43200.01	0	0	476.19	0	19.51	1.54	692.12
1980	3	23	12	43545.6	0	0	476.43	0	19.22	1.46	689.92
1980	3	24	12	43545.6	0	0	420.85	0	17.34	3.82	823.07
1980	3	25	12	43891.19	6.89	0	216.38	0	13.89	5.95	923.65
1980	3	26	12	43891.19	2.83	0	355.91	0	13.13	1.88	709.62
1980	3	27	12	44236.81	0	0	377.3	0	15.74	4.77	868.12
1980	3	28	12	44236.81	0	0	490.28	0	20.55	2.12	728.55
