1																																																																																		
1																																																																																		
1																																																																																		
Year	Mnth	Day	LATITUDE	LONGITUDE	ELEVATION	ACMH	ACSH	AWND	DAPR	FMTM	FRGB	FRGT	MDPR	MDSF	PGTM	Nitrate	Q	prcp(mm/day)	PSUN	SNOW	SNWD	TAVG	tmax(C)_daymet tmin(C)_daymet	TOBS	TSUN	WDF1	WDF2	WDF5	WDFG	WDFM	WESD	WESF	WSF1	WSF2	WSF5	WSFG	WSFM	WT01	WT02	WT03	WT04	WT05	WT06	WT07	WT08	WT09	WT10	WT11	WT13	WT14	WT15	WT16	WT17	WT18	WT19	WT21	WT22	WV03	WV20	DAEV	DAWM	EVAP	MDEV	MDWM	MNPN	MXPN	WDMV	FRTH	GAHT	SN32	SX32	DASF	SN02	SX02	SN01	SN03	SX01	SX03	SN52	SX52	Occur	
2000	1	1	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		65	0	0	0	0	0	76	52	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	19.3	0	0	50	60	0	0	0	0	0	0	0	0	0	37984
2000	1	2	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		65	0	0	0	0	0	76	55	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	24.2	0	0	54	61	0	0	0	0	0	0	0	0	0	37984
2000	1	3	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		65	0	0	0	0	0	78	61	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	62.1	0	0	57	65	0	0	0	0	0	0	0	0	0	37984
2000	1	4	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		65	0.12	0	0	0	0	78	57	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	87	0	0	63	68	0	0	0	0	0	0	0	0	0	37984
2000	1	5	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		64	0.01	0	0	0	0	62	32	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	80.2	0	0	47	64	0	0	0	0	0	0	0	0	0	37984
2000	1	6	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		63	0	0	0	0	0	55	32	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	18	0	0	45	54	0	0	0	0	0	0	0	0	0	37984
2000	1	7	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		63	0	0	0	0	0	61	35	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	13	0	0	45	52	0	0	0	0	0	0	0	0	0	37984
2000	1	8	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		63	0	0	0	0	0	65	38	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	37.9	0	0	45	54	0	0	0	0	0	0	0	0	0	37984
2000	1	9	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		66	0.15	0	0	0	0	73	46	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	34.8	0	0	48	59	0	0	0	0	0	0	0	0	0	37984
2000	1	10	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		75	0.67	0	0	0	0	74	59	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	72.1	0	0	59	65	0	0	0	0	0	0	0	0	0	37984
2000	1	11	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		70	0	0	0	0	0	71	50	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	24.2	0	0	55	64	0	0	0	0	0	0	0	0	0	37984
2000	1	12	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		66	0	0	0	0	0	73	53	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	19.9	0	0	55	62	0	0	0	0	0	0	0	0	0	37984
2000	1	13	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		65	0	0	0	0	0	75	57	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	37.3	0	0	55	62	0	0	0	0	0	0	0	0	0	37984
2000	1	14	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		65	0.09	0	0	0	0	76	40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0	0	0	0	65.9	0	0	50	66	0	0	0	0	0	0	0	0	0	37984
2000	1	15	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		64	0	0	0	0	0	59	37	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	44.1	0	0	45	54	0	0	0	0	0	0	0	0	0	37984
2000	1	16	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		64	0	0	0	0	0	65	39	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	19.3	0	0	44	55	0	0	0	0	0	0	0	0	0	37984
2000	1	17	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		63	0	0	0	0	0	72	45	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	18	0	0	49	59	0	0	0	0	0	0	0	0	0	37984
2000	1	18	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		63	0	0	0	0	0	75	55	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	31.7	0	0	52	61	0	0	0	0	0	0	0	0	0	37984
2000	1	19	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		63	0.06	0	0	0	0	74	59	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	52.8	0	0	51	62	0	0	0	0	0	0	0	0	0	37984
2000	1	20	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		63	0.01	0	0	0	0	71	52	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	85.1	0	0	59	63	0	0	0	0	0	0	0	0	0	37984
2000	1	21	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		62	0	0	0	0	0	61	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	77.1	0	0	46	59	0	0	0	0	0	0	0	0	0	37984
2000	1	22	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		62	0	0	0	0	0	54	30	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	31.1	0	0	45	53	0	0	0	0	0	0	0	0	0	37984
2000	1	23	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		70	0.3	0	0	0	0	68	45	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	64	0	0	47	58	0	0	0	0	0	0	0	0	0	37984
2000	1	24	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		90	1.26	0	0	0	0	66	41	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	54.1	0	0	54	60	0	0	0	0	0	0	0	0	0	37984
2000	1	25	30.5468	87.8807	7	0	0	0	0	0	0	0	0	0	0		77	0	0	0	0	0	47	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	83.3	0	0	44	53	0	0	0	0	0	0	0	0	0	37984
