1																																																																																	
1																																																																																	
1																																																																																	
Year	Mnth	Day	STATION	NAME	LATITUDE	LONGITUDE	ELEVATION	AWND	DAPR	FMTM	FRGB	FRGT	MDPR	MDSF	PGTM	Q	prcp(mm/day)	PSUN	SNOW	SNWD	TAVG	tmax(C)_daymet	tmin(C)_daymet	TOBS	TSUN	WDF1	WDF2	WDF5	WDFG	WDFM	WESD	WESF	WSF1	WSF2	WSF5	WSFG	WSFM	WT01	WT02	WT03	WT04	WT05	WT06	WT07	WT08	WT09	WT10	WT11	WT13	WT14	WT15	WT16	WT17	WT18	WT19	WT21	WT22	WV03	WV20	DAEV	DAWM	EVAP	MDEV	MDWM	MNPN	MXPN	WDMV	FRTH	GAHT	SN32	SX32	DASF	SN02	SX02	SN01	SN03	SX01	SX03	SN52	SX52	Occur
2000	1	1	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	7.83		1202				3920	1341		0		0	0	64	74	54				200	200			0			16.1	19.9			1	1										1																																27226
2000	1	2	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	10.07		1200				2770	1157		0		0	0	66	77	55				180	180			0			19.9	23			1	1										1			1																													27226
2000	1	3	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	15.21		1140				2640	1418		0		0	0	72	75	69				170	190			0			25.1	31.1																	1																													27226
2000	1	4	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	11.18		40				14600	1334		0.37		0	0	56	71	40				200	310			0			23	29.1																	1																													27226
2000	1	5	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	5.37		104				19700	138		0		0	0	44	56	31				340	10			0			17.9	23																																														27226
2000	1	6	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	2.91		1006				17900	1244		0		0	0	47	61	32				70	220			0			8.9	10.1										1																																				27226
2000	1	7	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	6.71		1431				14400	1414		0		0	0	50	64	35				20	20			0			17.9	23																																														27226
2000	1	8	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	7.83		1345				9140	1345		0		0	0	57	71	42				190	190			0			14.1	16.1			1											1																																27226
2000	1	9	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	12.53		2328				10500	2124		0.41		0	0	69	72	65				200	210			0			21.9	28			1											1			1																													27226
2000	1	10	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	7.83		2358				18700	4		0.48		0	0	62	72	52				210	200			0			23	25.9			1		1									1			1																													27226
2000	1	11	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	6.49		1522				24500	1521		0		0	0	63	76	49				220	220			0			15	17			1	1										1																																27226
2000	1	12	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	7.61		1441				24400	1435		0		0	0	63	75	50				190	190			0			15	17.9			1	1										1																																27226
2000	1	13	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	10.07		1340				17900	1339		0		0	0	66	79	52				350	330			0			21.9	28			1	1										1			1																													27226
2000	1	14	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	11.63		1045				11500	1044		0		0	0	48	58	38				20	20			0			19.9	23.9																																														27226
2000	1	15	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.5		1057				9270	1108		0		0	0	50	64	36				150	130			0			21	23																																														27226
2000	1	16	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	4.25		1625				5880	1609		0		0	0	58	72	44				200	190			0			13	15																																														27226
2000	1	17	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	6.04		1559				8440	1558		0		0	0	62	75	48				200	200			0			15	17			1											1																																27226
2000	1	18	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	6.49		1227				8130	1227		0		0	0	65	75	55				270	270			0			17.9	23			1											1																																27226
2000	1	19	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	9.17		1521				8410	2232		0		0	0	68	75	60				220	280			0			21	25.1			1											1	1		1																													27226
2000	1	20	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	12.08		1405				9520	326		0		0	0	53	67	38				350	330			0			21.9	28																	1																													27226
2000	1	21	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	7.61		907				8140	919		0		0	0	42	53	30				40	30			0			16.1	17.9																																														27226
2000	1	22	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	11.18		1332				7670	1537		0.38		0	0	56	67	45				170	180			0			21.9	25.1			1											1			1																													27226
2000	1	23	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	5.82		13				9610	18		0.05		0	0	58	66	49				210	200			0			17	19.9			1		1									1			1																													27226
2000	1	24	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	12.75		512				12800	512		0.59		0	0	41	49	33				350	350			0			28	32			1		1									1			1																													27226
2000	1	25	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.5		1258				13900	1544		0		0	0	39	49	29				340	300			0			17	21																																														27226
2000	1	26	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	9.84		859				14400	858		0		0	0	34	43	25				10	10			0			17.9	21.9																																														27226
2000	1	27	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.5		2325				11800	2318		0		0	0	39	46	32				30	30			0			17	21																	1																													27226
2000	1	28	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	15.21		716				12500	716		0.17		0	0	43	49	37				110	110			0			25.9	32			1											1	1		1																													27226
2000	1	29	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.95		124				16400	123		0.01		0	0	47	51	43				90	90			0			16.1	17.9			1											1	1		1																													27226
2000	1	30	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	7.16		1459				23900	1449		0.21		0	0	44	50	37				10	10			0			14.1	17			1											1			1																													27226
2000	1	31	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.5		948				28200	948		0		0	0	42	53	30				10	20			0			19.9	23																																														27226
2000	2	1	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	5.14		1405				22800	1336		0		0	0	46	58	34				30	30			0			13	16.1																																														27226
2000	2	2	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	6.93		1113				19400	1112		0		0	0	49	59	38				40	40			0			14.1	17																																														27226
2000	2	3	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	4.03		1707				15000	1415		0		0	0	48	65	31				240	260			0			10.1	14.1			1							1				1																																27226
