  33.71										
 165										
 577320463										
Year	Mnth	Day	Hr	dayl(s)	prcp(mm/day)	srad(W/m2)	swe(mm)	tmax(C)	tmin(C)	vp(Pa)	DrainageDensity
1980	1	1	12	35251.21	0	170.81	0	7.37	1.57	685.57	0.65
1980	1	2	12	35251.21	0	312.86	0	10.73	-3.67	465.89	0.65
1980	1	3	12	35268.18	0	322.94	0	13.6	-2.67	503.24	0.65
1980	1	4	12	35404.58	14.51	229.51	0	13.02	-0.75	579.82	0.65
1980	1	5	12	35536.15	0	141.99	0	3.72	-0.89	571.32	0.65
1980	1	6	12	35596.81	0	282.61	0	6.02	-4.91	438.83	0.65
1980	1	7	12	35596.81	0	315.09	0	11.4	-2.73	499.23	0.65
1980	1	8	12	35596.81	12.92	169.36	0	10.43	2.46	730.1	0.65
1980	1	9	12	35596.81	0.35	139.05	0	7.61	2.98	758.74	0.65
1980	1	10	12	35596.81	0	221.66	0	10.12	2.43	730.45	0.65
1980	1	11	12	35675.39	13.05	170.26	0	13.68	5.62	917.61	0.65
1980	1	12	12	35932.8	5.96	244.62	0	15.27	0.01	607.54	0.65
1980	1	13	12	35942.38	0	214.43	0	8.51	1.33	666.39	0.65
1980	1	14	12	35942.38	0	221.51	0	11.07	3.52	798.48	0.65
1980	1	15	12	35942.38	0	287.54	0	15.17	4	800	0.65
1980	1	16	12	35942.38	0	277.71	0	16	5.48	918.63	0.65
1980	1	17	12	36165.03	9.57	147.37	0	14.71	8.12	1089.84	0.65
1980	1	18	12	36288	9.3	108.26	0	15.12	10.42	1273.41	0.65
1980	1	19	12	36288	0	345.23	0	17.76	0.95	643.92	0.65
1980	1	20	12	36288	0	349.05	0	19.07	1.59	686.87	0.65
1980	1	21	12	36304.99	0	293.89	0	15.39	4.43	834.55	0.65
1980	1	22	12	36624.06	18.11	149.42	0	12.36	6	920.04	0.65
1980	1	23	12	36633.64	42.35	234.79	0	11.17	-0.41	592.56	0.65
1980	1	24	12	36633.64	0	312.37	0	7.77	-3.4	478.23	0.65
1980	1	25	12	36633.64	0	362.87	0	15.43	-1.54	554.8	0.65
1980	1	26	12	36918.54	2.99	186.42	0	14.19	6.08	939.48	0.65
1980	1	27	12	36979.2	2.06	198.79	0	12.19	5.98	931.57	0.65
1980	1	28	12	36979.2	0	312.02	0	10.32	-0.47	591.14	0.65
1980	1	29	12	36979.2	0.98	285.41	0	8.68	-0.53	587.03	0.65
1980	1	30	12	37315.22	0	187.93	0	4.08	-1.3	558.49	0.65
1980	1	31	12	37324.8	21.85	208.51	0	4.49	-4.1	449.92	0.65
1980	2	1	12	37324.8	0	253.84	0	-1.67	-8.94	312.85	0.65
1980	2	2	12	37403.38	0	338.31	0	0.28	-10.58	280	0.65
1980	2	3	12	37670.41	0	375.83	0	4.84	-8.93	308.41	0.65
1980	2	4	12	37670.41	0	325.91	0	5.78	-4.53	440.12	0.65
1980	2	5	12	37670.41	0	313.19	0	6.05	-3.49	472.29	0.65
1980	2	6	12	38006.4	3.26	206.63	0	5.87	-1.88	534.83	0.65
1980	2	7	12	38015.98	0	344.6	0	5.28	-5.48	401.81	0.65
1980	2	8	12	38015.98	0	342.36	0	6.87	-3.91	447.29	0.65
1980	2	9	12	38238.6	32.97	172.61	0	6.21	0	600.12	0.65
1980	2	10	12	38361.58	9.7	211.91	0	4.56	-3.27	479.77	0.65
1980	2	11	12	38361.58	0	351.78	0	3.62	-6.9	360.37	0.65
1980	2	12	12	38440.18	0	360.72	0	5.21	-5.83	400.92	0.65
1980	2	13	12	38707.2	0	375.24	0	7.45	-4.59	439.91	0.65
1980	2	14	12	38707.2	0	423.34	0	13.16	-4.41	440	0.65
1980	2	15	12	38724.18	0	432.92	0	17.44	-3.03	486.72	0.65
1980	2	16	12	39052.81	8.65	299.33	0	14.61	-0.18	599.72	0.65
1980	2	17	12	39052.81	0	378.49	0	2.98	-9.37	294.75	0.65
1980	2	18	12	39069.79	0	418.29	0	5.69	-9.61	287.63	0.65
1980	2	19	12	39398.38	0	433.72	0	11.04	-6.27	377.94	0.65
1980	2	20	12	39398.38	5.14	229.17	0	14.65	5.57	913.75	0.65
1980	2	21	12	39415.36	0.21	380.33	0	22.56	8.74	1139.29	0.65
1980	2	22	12	39744.01	0	321.84	0	22.36	11.95	1396.19	0.65
1980	2	23	12	39744.01	0	426.59	0	26.31	7.54	1043.13	0.65
1980	2	24	12	39897.37	0	439.97	0	26.56	5.99	926.66	0.65
1980	2	25	12	40089.63	0	449.11	0	21.06	1.05	651.84	0.65
1980	2	26	12	40089.63	0	437.86	0	10.58	-6.17	383.32	0.65
1980	2	27	12	40425.59	0	414.96	0	9.03	-5.56	402.9	0.65
1980	2	28	12	40435.16	0	466.68	0	19.04	-2.87	490.49	0.65
