  41.42
  93.00
  10407302
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	32486.40	0.00	230.71	0.00	-0.13	-0.13	385.79
1980 01 02 12	32589.66	0.00	204.44	0.00	-0.64	-0.64	391.93
1980 01 03 12	32832.00	0.00	192.99	0.00	-1.70	-1.70	366.05
1980 01 04 12	32832.00	0.00	213.30	0.00	-5.13	-5.13	283.68
1980 01 05 12	32832.00	1.26	194.17	0.00	-3.56	-3.56	313.14
1980 01 06 12	32832.00	0.33	257.14	0.00	-5.42	-5.42	266.48
1980 01 07 12	32832.00	0.70	231.74	0.00	-2.96	-2.96	283.50
1980 01 08 12	32935.26	0.18	249.22	0.00	1.41	1.41	423.24
1980 01 09 12	33177.60	0.02	211.79	0.00	-2.90	-2.90	328.38
1980 01 10 12	33177.60	0.00	277.63	0.00	-3.77	-3.77	304.29
1980 01 11 12	33177.60	7.10	235.39	0.00	1.60	1.60	392.73
1980 01 12 12	33177.60	16.64	232.71	0.00	4.25	4.25	449.06
1980 01 13 12	33523.20	3.89	255.09	0.00	-2.45	-2.45	336.76
1980 01 14 12	33523.20	0.00	297.38	0.00	1.54	1.54	471.48
1980 01 15 12	33523.20	0.00	197.44	0.00	7.32	7.32	739.57
1980 01 16 12	33523.20	0.00	245.43	0.00	3.53	3.53	580.77
1980 01 17 12	33868.80	0.00	211.79	0.00	0.90	0.90	501.65
1980 01 18 12	33868.80	0.22	150.77	0.00	2.65	2.65	586.61
1980 01 19 12	33868.80	0.25	128.74	0.00	4.64	4.64	659.31
1980 01 20 12	33868.80	0.05	212.24	0.00	2.40	2.40	532.62
1980 01 21 12	34214.40	0.00	231.32	0.00	-0.41	-0.41	406.71
1980 01 22 12	34214.40	4.80	232.44	0.00	-2.25	-2.25	357.07
1980 01 23 12	34214.40	3.62	195.41	0.00	0.68	0.68	443.70
1980 01 24 12	34560.00	0.62	254.83	0.00	-4.84	-4.84	294.99
1980 01 25 12	34560.00	0.00	270.49	0.00	-5.62	-5.62	276.82
1980 01 26 12	34560.00	0.00	279.46	0.00	-3.58	-3.58	323.27
1980 01 27 12	34905.60	0.00	294.66	0.00	-1.71	-1.71	353.47
1980 01 28 12	34905.60	0.00	303.14	0.00	-2.58	-2.58	322.89
1980 01 29 12	34905.60	0.00	275.71	0.00	-3.46	-3.46	305.51
1980 01 30 12	35251.20	0.00	280.43	0.00	-6.42	-6.42	244.39
1980 01 31 12	35251.20	0.00	321.52	0.00	-7.29	-7.29	212.03
1980 02 01 12	35354.46	0.00	330.56	0.00	-7.93	-7.93	195.95
1980 02 02 12	35596.80	0.00	302.53	0.00	-7.68	-7.68	209.14
