  39.81
  41.00
   6083870
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	33177.60	0.00	260.41	0.00	0.16	0.16	358.22
1980 01 02 12	33177.60	0.00	222.82	0.00	1.39	1.39	438.12
1980 01 03 12	33177.60	0.00	216.06	0.00	0.47	0.47	428.97
1980 01 04 12	33401.59	4.61	185.74	0.00	-2.09	-2.09	367.81
1980 01 05 12	33523.20	10.40	134.13	0.00	-2.79	-2.79	359.25
1980 01 06 12	33523.20	2.42	288.72	0.00	-6.54	-6.54	234.24
1980 01 07 12	33523.20	0.40	244.24	0.00	-5.42	-5.42	249.44
1980 01 08 12	33523.20	0.11	228.40	0.00	0.92	0.92	448.35
1980 01 09 12	33523.20	0.72	165.04	0.00	-1.64	-1.64	382.43
1980 01 10 12	33868.80	0.24	240.19	0.00	-5.09	-5.09	268.32
1980 01 11 12	33868.80	13.88	251.81	0.00	0.51	0.51	370.53
1980 01 12 12	33868.80	14.77	245.74	0.00	5.52	5.52	508.53
1980 01 13 12	33868.80	2.98	234.19	0.00	-1.04	-1.04	371.17
1980 01 14 12	33868.80	0.13	248.51	0.00	3.34	3.34	548.52
1980 01 15 12	34214.40	0.03	230.81	0.00	9.74	9.74	849.89
1980 01 16 12	34214.40	0.00	308.18	0.00	5.52	5.52	603.74
1980 01 17 12	34214.40	0.00	280.50	0.00	3.14	3.14	535.23
1980 01 18 12	34214.40	7.45	120.36	0.00	3.71	3.71	654.01
1980 01 19 12	34560.00	7.33	141.71	0.00	4.53	4.53	684.72
1980 01 20 12	34560.00	1.41	259.29	0.00	2.59	2.59	523.71
1980 01 21 12	34560.00	0.00	281.36	0.00	-0.24	-0.24	393.03
1980 01 22 12	34783.99	4.76	240.64	0.00	-0.30	-0.30	409.20
1980 01 23 12	34905.60	3.68	175.74	0.00	2.70	2.70	532.49
1980 01 24 12	34905.60	0.64	306.71	0.00	-2.51	-2.51	339.40
1980 01 25 12	34905.60	0.00	289.98	0.00	-3.19	-3.19	322.92
1980 01 26 12	35251.20	0.00	277.24	0.00	-1.78	-1.78	359.96
1980 01 27 12	35251.20	0.00	327.83	0.00	-3.13	-3.13	310.50
1980 01 28 12	35251.20	0.00	298.61	0.00	-1.14	-1.14	367.32
1980 01 29 12	35596.80	0.00	289.32	0.00	-1.97	-1.97	349.55
1980 01 30 12	35596.80	0.00	275.80	0.00	-4.05	-4.05	304.29
1980 01 31 12	35596.80	0.00	275.74	0.00	-5.28	-5.28	274.69
1980 02 01 12	35942.40	0.00	316.15	0.00	-7.32	-7.32	226.68
1980 02 02 12	35942.40	0.00	332.24	0.00	-6.22	-6.22	236.04
1980 02 03 12	36166.39	0.00	327.00	0.00	-5.96	-5.96	237.78
1980 02 04 12	36288.00	0.00	352.98	0.00	-6.24	-6.24	226.76
1980 02 05 12	36288.00	0.00	351.58	0.00	-4.86	-4.86	248.57
1980 02 06 12	36633.60	0.00	355.91	0.00	-5.33	-5.33	255.61
