  38.17
   8.00
  12426629
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	33868.80	0.00	276.99	0.00	1.73	1.73	433.12
1980 01 02 12	33868.80	0.00	200.54	0.00	3.83	3.83	561.02
1980 01 03 12	33868.80	0.00	255.56	0.00	0.94	0.94	452.62
1980 01 04 12	33868.80	1.13	174.76	0.00	0.79	0.79	455.45
1980 01 05 12	33868.80	7.84	138.71	0.00	0.04	0.04	448.04
1980 01 06 12	34049.82	4.42	192.03	0.00	-3.02	-3.02	351.20
1980 01 07 12	34214.40	1.49	253.41	0.00	-2.88	-2.88	337.62
1980 01 08 12	34214.40	0.22	207.80	0.00	3.11	3.11	571.63
1980 01 09 12	34214.40	0.00	172.94	0.00	1.79	1.79	531.21
1980 01 10 12	34214.40	0.00	265.63	0.00	-0.67	-0.67	430.86
1980 01 11 12	34214.40	3.18	217.01	0.00	6.11	6.11	606.65
1980 01 12 12	34560.00	16.05	210.90	0.00	8.63	8.63	683.41
1980 01 13 12	34560.00	4.00	239.29	0.00	5.12	5.12	620.94
1980 01 14 12	34560.00	0.06	215.61	0.00	6.79	6.79	699.55
1980 01 15 12	34560.00	0.08	186.86	0.00	10.40	10.40	917.84
1980 01 16 12	34560.00	0.02	265.25	0.00	7.33	7.33	734.90
1980 01 17 12	34905.60	0.00	278.07	0.00	5.59	5.59	646.28
1980 01 18 12	34905.60	9.11	77.74	0.00	6.25	6.25	770.40
1980 01 19 12	34905.60	22.13	130.21	0.00	5.07	5.07	710.26
1980 01 20 12	34905.60	5.19	267.56	0.00	2.71	2.71	550.54
1980 01 21 12	35251.20	0.00	249.43	0.00	2.73	2.73	534.69
1980 01 22 12	35251.20	1.09	229.30	0.00	2.11	2.11	493.79
1980 01 23 12	35251.20	17.36	191.52	0.00	4.90	4.90	599.50
1980 01 24 12	35596.80	4.49	278.59	0.00	-0.52	-0.52	414.74
1980 01 25 12	35596.80	0.00	263.72	0.00	0.23	0.23	443.74
1980 01 26 12	35596.80	0.00	314.52	0.00	2.18	2.18	466.78
1980 01 27 12	35596.80	0.00	231.41	0.00	0.93	0.93	476.23
1980 01 28 12	35942.40	0.00	244.35	0.00	2.03	2.03	530.94
1980 01 29 12	35942.40	0.00	268.57	0.00	1.01	1.01	464.76
1980 01 30 12	35942.40	0.00	277.73	0.00	-1.61	-1.61	373.44
1980 01 31 12	36288.00	0.10	174.40	0.00	-3.77	-3.77	333.02
1980 02 01 12	36288.00	0.03	306.20	0.00	-5.80	-5.80	279.48
1980 02 02 12	36288.00	0.00	315.84	0.00	-5.41	-5.41	279.17
1980 02 03 12	36633.60	0.00	295.83	0.00	-4.98	-4.98	287.85
1980 02 04 12	36633.60	0.00	371.68	0.00	-4.94	-4.94	263.77
1980 02 05 12	36633.60	0.00	378.71	0.00	-4.67	-4.67	258.96
1980 02 06 12	36979.20	0.10	290.11	0.00	-4.24	-4.24	300.20
1980 02 07 12	36979.20	0.24	203.48	0.00	-0.13	-0.13	441.36
1980 02 08 12	36979.20	0.06	254.54	0.00	-0.12	-0.12	451.29
1980 02 09 12	37324.80	0.09	186.09	0.00	-0.25	-0.25	449.95
1980 02 10 12	37324.80	4.91	125.22	0.00	-2.00	-2.00	380.98
1980 02 11 12	37670.40	1.29	384.82	0.00	-6.30	-6.30	219.93
1980 02 12 12	37670.40	0.00	342.05	0.00	-2.01	-2.01	300.99
1980 02 13 12	37670.40	0.00	385.58	0.00	-4.17	-4.17	256.47
1980 02 14 12	38016.00	0.00	388.82	0.00	-0.50	-0.50	326.63
1980 02 15 12	38016.00	0.00	367.09	0.00	2.20	2.20	452.26
1980 02 16 12	38197.02	4.17	213.42	0.00	4.24	4.24	567.19
1980 02 17 12	38361.60	1.10	339.26	0.00	-0.50	-0.50	384.43
1980 02 18 12	38361.60	0.00	354.58	0.00	-2.30	-2.30	325.72
1980 02 19 12	38707.20	0.00	407.43	0.00	0.74	0.74	355.11
1980 02 20 12	38707.20	0.00	406.04	0.00	5.50	5.50	507.26
1980 02 21 12	39052.80	0.12	290.05	0.00	9.14	9.14	729.12
1980 02 22 12	39052.80	2.85	278.28	0.00	9.24	9.24	778.37
1980 02 23 12	39052.80	0.75	345.95	0.00	10.40	10.40	819.32
1980 02 24 12	39398.40	0.06	288.84	0.00	8.57	8.57	707.66
1980 02 25 12	39398.40	6.39	276.90	0.00	5.66	5.66	592.62
1980 02 26 12	39744.00	1.69	187.94	0.00	2.14	2.14	509.83
1980 02 27 12	39744.00	0.00	418.69	0.00	-0.42	-0.42	373.89
1980 02 28 12	39744.00	0.01	363.38	0.00	1.60	1.60	409.48
1980 02 29 12	40089.60	0.17	312.83	0.00	-2.49	-2.49	327.35
1980 03 01 12	40089.60	0.32	265.41	0.00	-6.58	-6.58	245.16
1980 03 02 12	40435.20	12.69	310.11	0.00	-7.74	-7.74	217.43
1980 03 03 12	40435.20	3.32	463.76	0.00	-5.59	-5.59	228.30
1980 03 04 12	40780.80	0.00	497.76	0.00	-2.48	-2.48	313.82
1980 03 05 12	40780.80	0.48	235.28	0.00	7.54	7.54	735.13
1980 03 06 12	40780.80	0.13	364.02	0.00	6.77	6.77	681.12
1980 03 07 12	41126.40	0.00	487.60	0.00	6.70	6.70	654.13
1980 03 08 12	41126.40	0.00	328.95	0.00	14.75	14.75	1106.57
1980 03 09 12	41472.00	0.00	344.56	0.00	12.07	12.07	900.12
1980 03 10 12	41472.00	0.00	469.65	0.00	6.53	6.53	551.63
1980 03 11 12	41817.60	0.00	427.55	0.00	8.04	8.04	596.82
1980 03 12 12	41817.60	0.00	400.12	0.00	2.78	2.78	473.05
1980 03 13 12	41817.60	9.66	292.05	0.00	3.69	3.69	551.81
1980 03 14 12	42163.20	17.90	268.25	0.00	5.37	5.37	631.64
1980 03 15 12	42163.20	4.04	430.30	0.00	5.99	5.99	590.32
1980 03 16 12	42508.80	0.00	479.02	0.00	4.44	4.44	540.26
1980 03 17 12	42508.80	1.16	310.69	0.00	10.78	10.78	854.90
1980 03 18 12	42854.40	11.16	328.42	0.00	10.66	10.66	784.79
1980 03 19 12	42854.40	2.86	491.74	0.00	5.50	5.50	538.00
1980 03 20 12	43200.00	0.00	468.59	0.00	9.11	9.11	765.99
1980 03 21 12	43200.00	21.48	261.55	0.00	14.54	14.54	1118.38
1980 03 22 12	43200.00	6.80	357.80	0.00	9.75	9.75	792.57
1980 03 23 12	43545.60	0.47	305.11	0.00	8.70	8.70	747.31
1980 03 24 12	43545.60	0.18	350.72	0.00	6.64	6.64	693.67
1980 03 25 12	43891.20	9.67	225.11	0.00	9.26	9.26	841.94
1980 03 26 12	43891.20	2.54	410.06	0.00	6.09	6.09	657.77
1980 03 27 12	44236.80	0.00	487.69	0.00	6.54	6.54	610.23
1980 03 28 12	44236.80	0.29	363.20	0.00	6.29	6.29	613.46
1980 03 29 12	44582.40	24.34	362.33	0.00	7.07	7.07	703.67
1980 03 30 12	44582.40	6.75	317.11	0.00	11.50	11.50	952.17
1980 03 31 12	44582.40	3.76	131.50	0.00	9.27	9.27	912.54
1980 04 01 12	44928.00	0.97	463.32	0.00	7.55	7.55	710.71
1980 04 02 12	44928.00	0.00	533.27	0.00	8.75	8.75	709.12
1980 04 03 12	45273.60	0.00	442.04	0.00	13.76	13.76	1047.98
1980 04 04 12	45273.60	22.96	367.06	0.00	15.48	15.48	1080.52
1980 04 05 12	45619.20	6.35	398.64	0.00	11.23	11.23	745.42
1980 04 06 12	45619.20	0.08	542.35	0.00	10.18	10.18	697.07
1980 04 07 12	45619.20	0.00	511.31	0.00	13.19	13.19	935.29
1980 04 08 12	45964.80	0.00	455.73	0.00	15.38	15.38	1199.60
1980 04 09 12	45964.80	13.46	233.57	0.00	16.93	16.93	1449.28
1980 04 10 12	46310.40	3.55	411.72	0.00	16.81	16.81	1295.00
