  35.54
 543.00
  66534242
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	34560.00	0.00	137.72	0.00	5.00	5.00	668.52
1980 01 02 12	34905.60	0.00	303.02	0.00	3.92	3.92	522.26
1980 01 03 12	34905.60	0.10	223.27	0.00	4.11	4.11	505.12
1980 01 04 12	34905.60	6.24	166.09	0.00	3.57	3.57	545.83
1980 01 05 12	34905.60	1.90	143.76	0.00	1.02	1.02	473.38
1980 01 06 12	34905.60	0.07	309.59	0.00	-1.35	-1.35	354.87
1980 01 07 12	34905.60	1.35	197.23	0.00	0.84	0.84	450.71
1980 01 08 12	34905.60	0.61	140.91	0.00	3.45	3.45	613.26
1980 01 09 12	34905.60	0.08	241.19	0.00	6.17	6.17	672.87
1980 01 10 12	35251.20	3.90	209.53	0.00	4.56	4.56	586.41
1980 01 11 12	35251.20	14.47	123.30	0.00	3.73	3.73	620.18
1980 01 12 12	35251.20	3.67	210.39	0.00	4.30	4.30	626.54
1980 01 13 12	35251.20	31.51	179.14	0.00	2.48	2.48	549.92
1980 01 14 12	35251.20	10.59	242.30	0.00	5.16	5.16	594.60
1980 01 15 12	35596.80	0.61	328.32	0.00	7.53	7.53	630.71
1980 01 16 12	35596.80	2.31	216.29	0.00	8.10	8.10	732.54
1980 01 17 12	35596.80	16.71	136.63	0.00	8.12	8.12	849.00
1980 01 18 12	35596.80	10.93	181.51	0.00	9.03	9.03	874.94
1980 01 19 12	35596.80	1.76	338.76	0.00	8.12	8.12	680.32
1980 01 20 12	35942.40	0.00	338.74	0.00	7.42	7.42	611.34
1980 01 21 12	35942.40	0.10	244.89	0.00	7.15	7.15	663.11
1980 01 22 12	35942.40	8.69	165.37	0.00	7.44	7.44	754.75
1980 01 23 12	35942.40	2.42	197.57	0.00	4.81	4.81	634.19
1980 01 24 12	36288.00	0.04	349.41	0.00	2.97	2.97	502.45
1980 01 25 12	36288.00	0.00	323.25	0.00	7.17	7.17	684.03
1980 01 26 12	36288.00	1.07	203.85	0.00	8.25	8.25	785.30
1980 01 27 12	36288.00	0.40	171.05	0.00	6.04	6.04	719.63
1980 01 28 12	36633.60	0.03	318.59	0.00	5.60	5.60	652.71
1980 01 29 12	36633.60	0.00	326.43	0.00	4.86	4.86	572.90
1980 01 30 12	36633.60	5.14	239.96	0.00	0.68	0.68	430.59
1980 01 31 12	36979.20	1.82	161.07	0.00	-1.61	-1.61	381.32
1980 02 01 12	36979.20	0.12	300.13	0.00	-5.48	-5.48	276.11
1980 02 02 12	36979.20	0.00	368.73	0.00	-5.05	-5.05	252.39
1980 02 03 12	37057.99	0.00	382.89	0.00	-4.18	-4.18	258.81
1980 02 04 12	37324.80	0.00	325.39	0.00	-2.35	-2.35	312.54
1980 02 05 12	37324.80	4.14	330.65	0.00	-3.96	-3.96	276.52
1980 02 06 12	37324.80	1.89	248.19	0.00	-0.85	-0.85	381.38
1980 02 07 12	37670.40	0.85	314.98	0.00	-1.71	-1.71	344.96
1980 02 08 12	37670.40	2.97	318.86	0.00	-2.39	-2.39	327.52
1980 02 09 12	37670.40	8.49	198.55	0.00	-0.54	-0.54	426.50
1980 02 10 12	38016.00	2.86	284.78	0.00	-0.35	-0.35	405.63
1980 02 11 12	38016.00	0.22	448.51	0.00	-1.89	-1.89	316.55
1980 02 12 12	38016.00	0.00	380.71	0.00	1.50	1.50	413.11
1980 02 13 12	38361.60	0.00	449.48	0.00	-0.83	-0.83	328.75
1980 02 14 12	38361.60	0.00	461.00	0.00	2.25	2.25	370.47
1980 02 15 12	38440.39	1.61	352.22	0.00	6.27	6.27	511.48
1980 02 16 12	38707.20	0.51	315.80	0.00	8.56	8.56	642.56
1980 02 17 12	38707.20	0.02	436.69	0.00	0.91	0.91	374.27
1980 02 18 12	39052.80	0.00	471.60	0.00	-2.41	-2.41	263.08
1980 02 19 12	39052.80	0.09	364.95	0.00	0.72	0.72	358.43
1980 02 20 12	39052.80	0.34	294.76	0.00	4.42	4.42	549.40
1980 02 21 12	39398.40	3.22	327.88	0.00	7.59	7.59	663.26
1980 02 22 12	39398.40	0.86	339.13	0.00	14.23	14.23	1016.87
1980 02 23 12	39398.40	0.62	314.05	0.00	14.75	14.75	1014.45
1980 02 24 12	39744.00	0.45	315.19	0.00	13.43	13.43	886.64
1980 02 25 12	39744.00	0.19	381.05	0.00	10.03	10.03	658.55
1980 02 26 12	40089.60	0.03	446.03	0.00	3.29	3.29	405.17
1980 02 27 12	40089.60	0.00	463.01	0.00	2.50	2.50	393.26
1980 02 28 12	40089.60	0.00	464.79	0.00	8.68	8.68	558.85
1980 02 29 12	40435.20	2.88	420.94	0.00	4.48	4.48	436.15
1980 03 01 12	40435.20	5.76	381.06	0.00	0.28	0.28	313.34
1980 03 02 12	40435.20	3.17	241.17	0.00	-5.35	-5.35	243.25
1980 03 03 12	40780.80	0.44	526.31	0.00	-5.90	-5.90	208.50
1980 03 04 12	40780.80	2.93	387.73	0.00	2.13	2.13	417.37
1980 03 05 12	41126.40	1.50	277.90	0.00	6.64	6.64	649.22
1980 03 06 12	41126.40	0.19	498.67	0.00	6.72	6.72	585.84
1980 03 07 12	41126.40	4.70	340.03	0.00	7.79	7.79	713.93
1980 03 08 12	41472.00	2.70	277.71	0.00	13.40	13.40	1028.52
1980 03 09 12	41472.00	0.39	432.97	0.00	12.14	12.14	843.49
1980 03 10 12	41817.60	0.00	488.89	0.00	9.39	9.39	639.15
1980 03 11 12	41817.60	0.10	408.51	0.00	10.06	10.06	664.14
1980 03 12 12	41817.60	2.40	317.92	0.00	4.78	4.78	525.91
1980 03 13 12	42163.20	1.45	230.80	0.00	2.41	2.41	525.67
1980 03 14 12	42163.20	0.22	374.44	0.00	4.91	4.91	583.06
