  27.54
  34.00
 169053929
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	36979.20	0.02	296.38	0.00	12.71	12.71	926.53
1980 01 02 12	36979.20	0.00	388.59	0.00	8.70	8.70	649.06
1980 01 03 12	36979.20	0.70	305.53	0.00	9.92	9.92	671.45
1980 01 04 12	37030.00	5.10	269.32	0.00	13.59	13.59	905.70
1980 01 05 12	37305.12	1.29	319.69	0.00	12.47	12.47	874.79
1980 01 06 12	37324.80	0.00	364.15	0.00	8.02	8.02	648.30
1980 01 07 12	37324.80	0.00	403.22	0.00	9.21	9.21	636.07
1980 01 08 12	37324.80	0.00	397.13	0.00	14.71	14.71	892.03
1980 01 09 12	37324.80	0.00	334.11	0.00	19.62	19.62	1338.24
1980 01 10 12	37324.80	0.00	339.12	0.00	20.86	20.86	1499.18
1980 01 11 12	37324.80	0.26	249.41	0.00	21.62	21.62	1627.04
1980 01 12 12	37324.80	9.09	221.13	0.00	21.51	21.51	1704.14
1980 01 13 12	37375.61	9.29	196.30	0.00	21.41	21.41	1837.73
1980 01 14 12	37670.40	2.26	145.99	0.00	22.36	22.36	1962.34
1980 01 15 12	37670.40	0.12	339.95	0.00	17.48	17.48	1293.21
1980 01 16 12	37670.40	0.00	378.60	0.00	16.55	16.55	1100.36
1980 01 17 12	37670.40	0.00	376.93	0.00	18.15	18.15	1215.95
1980 01 18 12	37670.40	0.00	308.09	0.00	19.95	19.95	1440.88
1980 01 19 12	37670.40	0.00	360.32	0.00	18.97	18.97	1310.56
1980 01 20 12	37882.96	0.00	376.68	0.00	18.42	18.42	1191.05
1980 01 21 12	38016.00	0.00	396.60	0.00	17.20	17.20	1089.06
1980 01 22 12	38016.00	0.70	293.07	0.00	18.56	18.56	1282.84
1980 01 23 12	38016.00	9.48	184.88	0.00	19.74	19.74	1486.93
1980 01 24 12	38016.00	2.45	407.97	0.00	11.45	11.45	833.50
1980 01 25 12	38016.00	0.00	419.56	0.00	12.25	12.25	857.14
1980 01 26 12	38361.60	2.56	268.69	0.00	18.57	18.57	1397.06
1980 01 27 12	38361.60	5.67	191.45	0.00	20.33	20.33	1657.01
1980 01 28 12	38361.60	1.31	329.07	0.00	17.52	17.52	1324.57
1980 01 29 12	38361.60	0.00	397.78	0.00	15.71	15.71	1074.71
1980 01 30 12	38361.60	0.00	424.36	0.00	15.88	15.88	1020.15
1980 01 31 12	38707.20	0.03	386.04	0.00	17.27	17.27	1087.22
1980 02 01 12	38707.20	0.02	433.21	0.00	13.61	13.61	798.39
1980 02 02 12	38707.20	0.00	445.99	0.00	7.66	7.66	569.56
1980 02 03 12	38707.20	0.00	364.46	0.00	9.17	9.17	692.27
1980 02 04 12	38919.76	0.00	447.31	0.00	6.77	6.77	556.33
1980 02 05 12	39052.80	0.00	456.67	0.00	8.36	8.36	572.57
1980 02 06 12	39052.80	0.00	464.88	0.00	10.39	10.39	611.19
1980 02 07 12	39052.80	0.00	459.53	0.00	9.80	9.80	608.76
1980 02 08 12	39052.80	0.00	472.18	0.00	10.84	10.84	674.52
1980 02 09 12	39398.40	2.59	343.15	0.00	15.70	15.70	993.64
1980 02 10 12	39398.40	21.28	261.10	0.00	18.20	18.20	1286.82
1980 02 11 12	39398.40	5.42	349.63	0.00	13.64	13.64	1024.72
1980 02 12 12	39398.40	0.00	410.08	0.00	12.11	12.11	902.45
1980 02 13 12	39744.00	0.07	333.88	0.00	13.58	13.58	1010.43
1980 02 14 12	39744.00	2.80	226.71	0.00	16.54	16.54	1357.87
