  33.71								
 165								
 577320463								
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)	DrainageDensity
1980 01 01 12	35251.2	0	184.56	0	4.8	4.8	663.27	0.65
1980 01 02 12	35251.2	0	314.62	0	2.85	2.85	505.69	0.65
1980 01 03 12	35268.21	6.54	245.58	0	4.4	4.4	522.84	0.65
1980 01 04 12	35404.62	2.18	315.93	0	6.59	6.59	604.4	0.65
1980 01 05 12	35536.19	0	134.38	0	3.47	3.47	575.66	0.65
1980 01 06 12	35596.8	0.02	258.66	0	0.69	0.69	484.93	0.65
1980 01 07 12	35596.8	9.47	241.88	0	3.79	3.79	560.08	0.65
1980 01 08 12	35596.8	3.55	193.84	0	7.11	7.11	731.54	0.65
1980 01 09 12	35596.8	0.13	155.55	0	6.12	6.12	756.5	0.65
1980 01 10 12	35596.8	7.63	159.81	0	5.81	5.81	769.27	0.65
1980 01 11 12	35675.46	7.99	190.64	0	8.44	8.44	842.43	0.65
1980 01 12 12	35932.83	1.82	339.68	0	7.52	7.52	669.43	0.65
1980 01 13 12	35942.4	0	248.17	0	5.88	5.88	660.15	0.65
1980 01 14 12	35942.4	0	266.88	0	5.98	5.98	726.53	0.65
1980 01 15 12	35942.4	0	311.78	0	8.7	8.7	823.04	0.65
1980 01 16 12	35942.4	6.48	227.69	0	10.23	10.23	905.37	0.65
1980 01 17 12	36165.09	7.86	209.65	0	10.77	10.77	1000.79	0.65
1980 01 18 12	36288	1.9	139.31	0	12.64	12.64	1150.26	0.65
1980 01 19 12	36288	0	355.62	0	8.43	8.43	745.37	0.65
1980 01 20 12	36288	0.01	343.54	0	9.82	9.82	718.82	0.65
1980 01 21 12	36305.01	11.43	255	0	9.98	9.98	803.01	0.65
1980 01 22 12	36624.03	33.65	171.4	0	9.26	9.26	861.74	0.65
1980 01 23 12	36633.6	9.95	340.28	0	6.27	6.27	661.25	0.65
1980 01 24 12	36633.6	0	320.83	0	2.67	2.67	524.72	0.65
1980 01 25 12	36633.6	1.38	278.5	0	6.04	6.04	659.44	0.65
1980 01 26 12	36918.59	2.05	188.65	0	11.34	11.34	995.07	0.65
1980 01 27 12	36979.2	1.21	158.36	0	10.01	10.01	953.15	0.65
1980 01 28 12	36979.2	0.64	263.12	0	5.47	5.47	662.98	0.65
1980 01 29 12	36979.2	0.28	271.95	0	5.45	5.45	624.2	0.65
1980 01 30 12	37315.23	15.64	140.05	0	2.22	2.22	549.78	0.65
1980 01 31 12	37324.8	5.41	215.31	0	0.5	0.5	466.7	0.65
1980 02 01 12	37324.8	0.07	283.92	0	-4.16	-4.16	310.38	0.65
1980 02 02 12	37403.46	0	364.79	0	-5.69	-5.69	264.31	0.65
1980 02 03 12	37670.4	0	400.45	0	-3.39	-3.39	302.48	0.65
1980 02 04 12	37670.4	0.05	304.69	0	0.59	0.59	427.57	0.65
1980 02 05 12	37670.4	1.9	261.4	0	1.01	1.01	471.84	0.65
1980 02 06 12	38006.43	0.64	310.75	0	2.52	2.52	517.47	0.65
1980 02 07 12	38016	0	377.38	0	0.4	0.4	425.31	0.65
1980 02 08 12	38016	22.5	290.91	0	1.01	1.01	453.22	0.65
1980 02 09 12	38238.69	14.09	228.01	0	3.11	3.11	554.72	0.65
1980 02 10 12	38361.6	2.2	325.03	0	1.44	1.44	479.82	0.65
