  30.87
  72.00
1141696521
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	36211.32	0.00	321.28	0.00	6.74	6.74	690.77
1980 01 02 12	36285.69	0.00	353.84	0.00	7.77	7.77	671.51
1980 01 03 12	36288.00	0.90	281.02	0.00	9.98	9.98	754.30
1980 01 04 12	36288.00	1.07	263.77	0.00	9.43	9.43	705.92
1980 01 05 12	36288.00	0.26	331.11	0.00	4.77	4.77	551.38
1980 01 06 12	36288.00	0.33	298.27	0.00	5.50	5.50	652.77
1980 01 07 12	36288.00	0.93	233.37	0.00	13.99	13.99	1138.34
1980 01 08 12	36288.00	4.03	233.46	0.00	15.19	15.19	1222.19
1980 01 09 12	36332.23	5.40	183.98	0.00	14.28	14.28	1227.89
1980 01 10 12	36556.92	10.94	224.23	0.00	14.42	14.42	1280.08
1980 01 11 12	36633.60	24.33	164.05	0.00	17.34	17.34	1491.20
1980 01 12 12	36633.60	7.05	337.78	0.00	13.83	13.83	1116.69
1980 01 13 12	36633.60	0.05	248.90	0.00	13.22	13.22	1123.94
1980 01 14 12	36633.60	0.17	221.16	0.00	14.80	14.80	1240.42
1980 01 15 12	36633.60	0.05	354.09	0.00	13.96	13.96	1084.36
1980 01 16 12	36762.69	5.57	245.28	0.00	15.25	15.25	1188.14
1980 01 17 12	36979.20	11.35	218.17	0.00	14.61	14.61	1206.43
1980 01 18 12	36979.20	3.90	248.50	0.00	14.28	14.28	1165.62
1980 01 19 12	36979.20	0.25	347.92	0.00	14.94	14.94	1156.70
1980 01 20 12	36979.20	0.00	354.64	0.00	15.49	15.49	1183.08
1980 01 21 12	37023.43	0.06	287.52	0.00	16.52	16.52	1334.16
1980 01 22 12	37322.50	5.28	208.98	0.00	17.19	17.19	1400.65
1980 01 23 12	37324.80	6.95	282.60	0.00	12.30	12.30	917.72
1980 01 24 12	37324.80	1.73	389.81	0.00	8.39	8.39	687.04
1980 01 25 12	37324.80	1.46	273.28	0.00	9.71	9.71	862.69
1980 01 26 12	37453.89	3.34	128.24	0.00	13.71	13.71	1250.49
1980 01 27 12	37670.40	0.95	205.57	0.00	12.67	12.67	1181.55
1980 01 28 12	37670.40	0.00	234.52	0.00	9.92	9.92	968.30
1980 01 29 12	37670.40	0.00	366.90	0.00	9.52	9.52	872.72
1980 01 30 12	37670.40	2.24	320.98	0.00	12.06	12.06	888.79
1980 01 31 12	38016.00	3.41	306.75	0.00	10.61	10.61	709.26
1980 02 01 12	38016.00	0.90	345.02	0.00	2.59	2.59	442.44
1980 02 02 12	38016.00	0.00	381.10	0.00	0.34	0.34	432.24
1980 02 03 12	38016.00	0.00	393.90	0.00	4.43	4.43	580.39
1980 02 04 12	38361.60	0.00	398.45	0.00	6.36	6.36	640.74
1980 02 05 12	38361.60	2.22	307.64	0.00	7.46	7.46	687.93
1980 02 06 12	38361.60	7.55	288.93	0.00	8.65	8.65	733.89
1980 02 07 12	38490.69	2.27	428.30	0.00	5.68	5.68	592.17
1980 02 08 12	38707.20	5.58	312.14	0.00	8.34	8.34	724.04
1980 02 09 12	38707.20	14.07	294.37	0.00	9.69	9.69	791.17
1980 02 10 12	38707.20	4.17	262.61	0.00	5.73	5.73	637.44
1980 02 11 12	39022.47	0.03	417.17	0.00	2.89	2.89	508.81
1980 02 12 12	39052.80	0.00	391.22	0.00	4.09	4.09	575.94
1980 02 13 12	39052.80	0.00	337.62	0.00	6.96	6.96	736.27
