  45.34
 485.00
1198651903
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	30935.04	0.00	194.50	0.00	-2.34	-2.34	326.22
1980 01 02 12	31048.21	0.11	96.40	0.00	-4.94	-4.94	304.70
1980 01 03 12	31089.16	0.11	156.13	0.00	-9.06	-9.06	211.41
1980 01 04 12	31104.00	0.03	238.16	0.00	-12.70	-12.70	142.65
1980 01 05 12	31106.96	2.72	144.45	0.00	-9.02	-9.02	206.31
1980 01 06 12	31208.28	12.29	174.18	0.00	-8.74	-8.74	207.83
1980 01 07 12	31343.78	5.25	198.47	0.00	-10.08	-10.08	157.51
1980 01 08 12	31434.76	0.49	245.51	0.00	-18.75	-18.75	71.14
1980 01 09 12	31449.60	0.01	241.77	0.00	-23.61	-23.61	47.84
1980 01 10 12	31468.58	2.35	210.58	0.00	-17.99	-17.99	80.29
1980 01 11 12	31689.38	1.98	213.02	0.00	-9.41	-9.41	125.15
1980 01 12 12	31780.36	0.49	226.95	0.00	-13.68	-13.68	101.51
1980 01 13 12	31795.20	0.33	209.71	0.00	-10.96	-10.96	154.17
1980 01 14 12	31845.75	0.23	236.13	0.00	-6.38	-6.38	236.89
1980 01 15 12	32112.22	5.51	169.42	0.00	-3.37	-3.37	351.66
1980 01 16 12	32140.80	11.73	92.86	0.00	-0.27	-0.27	502.57
1980 01 17 12	32159.78	8.32	99.07	0.00	-0.44	-0.44	503.33
1980 01 18 12	32430.61	1.70	137.82	0.00	-2.05	-2.05	416.06
1980 01 19 12	32486.40	0.01	235.78	0.00	-5.53	-5.53	274.55
1980 01 20 12	32505.38	0.00	278.82	0.00	-10.60	-10.60	158.85
1980 01 21 12	32776.21	0.71	218.25	0.00	-8.85	-8.85	179.14
1980 01 22 12	32832.00	1.31	209.86	0.00	-7.33	-7.33	197.74
1980 01 23 12	32882.56	1.06	222.80	0.00	-14.47	-14.47	105.56
1980 01 24 12	33162.76	0.63	223.13	0.00	-17.77	-17.77	77.01
1980 01 25 12	33177.60	0.13	282.28	0.00	-16.37	-16.37	88.10
1980 01 26 12	33417.38	0.00	279.50	0.00	-15.87	-15.87	89.66
1980 01 27 12	33523.20	0.00	294.91	0.00	-18.40	-18.40	69.20
1980 01 28 12	33542.18	0.03	256.27	0.00	-18.82	-18.82	69.64
1980 01 29 12	33864.49	0.05	251.47	0.00	-17.45	-17.45	77.36
1980 01 30 12	33868.80	0.01	308.01	0.00	-18.57	-18.57	67.06
1980 01 31 12	34158.61	0.00	297.21	0.00	-16.86	-16.86	77.68
1980 02 01 12	34214.40	0.00	320.25	0.00	-18.78	-18.78	58.37
1980 02 02 12	34391.04	0.00	322.82	0.00	-17.58	-17.58	60.56
1980 02 03 12	34560.00	0.00	321.35	0.00	-16.48	-16.48	69.40
1980 02 04 12	34610.56	0.05	304.79	0.00	-16.93	-16.93	71.67
1980 02 05 12	34905.60	0.48	244.60	0.00	-12.98	-12.98	112.90
1980 02 06 12	34908.56	0.15	309.66	0.00	-11.70	-11.70	124.77
1980 02 07 12	35251.20	0.00	335.15	0.00	-13.89	-13.89	92.69
