  38.17
1139.00
 208146032
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	33868.80	0.00	238.46	0.00	-1.04	-1.04	350.19
1980 01 02 12	33868.80	0.00	195.51	0.00	-3.52	-3.52	324.34
1980 01 03 12	33868.80	0.39	101.41	0.00	-3.81	-3.81	354.97
1980 01 04 12	33868.80	5.45	98.09	0.00	-3.83	-3.83	361.77
1980 01 05 12	33868.80	3.40	176.87	0.00	-4.92	-4.92	311.66
1980 01 06 12	33911.50	1.41	203.83	0.00	-5.29	-5.29	286.95
1980 01 07 12	34214.40	1.12	248.09	0.00	-3.83	-3.83	289.20
1980 01 08 12	34214.40	0.31	257.41	0.00	-3.50	-3.50	295.23
1980 01 09 12	34214.40	0.03	250.63	0.00	-2.69	-2.69	325.46
1980 01 10 12	34214.40	0.17	312.80	0.00	-3.09	-3.09	304.13
1980 01 11 12	34214.40	4.62	260.42	0.00	3.56	3.56	462.92
1980 01 12 12	34408.10	1.29	289.88	0.00	0.73	0.73	349.23
1980 01 13 12	34560.00	7.06	261.23	0.00	-0.74	-0.74	355.84
1980 01 14 12	34560.00	3.79	167.51	0.00	2.00	2.00	529.66
1980 01 15 12	34560.00	2.31	202.16	0.00	2.29	2.29	555.20
1980 01 16 12	34560.00	2.96	263.73	0.00	3.46	3.46	541.83
1980 01 17 12	34905.60	5.47	216.40	0.00	4.94	4.94	622.34
1980 01 18 12	34905.60	8.90	159.86	0.00	4.54	4.54	632.89
1980 01 19 12	34905.60	2.34	235.16	0.00	0.68	0.68	449.13
1980 01 20 12	34905.60	0.29	241.27	0.00	-0.64	-0.64	381.13
1980 01 21 12	35251.20	0.20	225.74	0.00	-1.91	-1.91	359.00
1980 01 22 12	35251.20	6.86	209.67	0.00	-1.69	-1.69	365.85
1980 01 23 12	35251.20	4.21	274.69	0.00	-4.77	-4.77	260.55
1980 01 24 12	35444.90	15.86	286.73	0.00	-7.91	-7.91	223.35
1980 01 25 12	35596.80	4.28	189.58	0.00	-1.70	-1.70	395.93
1980 01 26 12	35596.80	0.07	337.65	0.00	-2.35	-2.35	348.88
1980 01 27 12	35596.80	0.00	368.94	0.00	-2.16	-2.16	326.90
1980 01 28 12	35942.40	0.20	240.62	0.00	-2.26	-2.26	335.95
1980 01 29 12	35942.40	0.46	223.86	0.00	-6.43	-6.43	248.59
1980 01 30 12	35942.40	5.74	283.66	0.00	-11.18	-11.18	162.61
1980 01 31 12	36288.00	3.52	250.31	0.00	-11.18	-11.18	160.67
1980 02 01 12	36288.00	1.02	246.69	0.00	-13.56	-13.56	131.46
1980 02 02 12	36288.00	0.20	353.57	0.00	-16.07	-16.07	98.07
1980 02 03 12	36633.60	0.02	416.43	0.00	-16.13	-16.13	88.57
1980 02 04 12	36633.60	0.05	352.89	0.00	-12.22	-12.22	132.74
1980 02 05 12	36633.60	0.91	328.49	0.00	-10.49	-10.49	154.71
1980 02 06 12	36979.20	1.25	272.19	0.00	-5.77	-5.77	244.95
1980 02 07 12	36979.20	0.37	294.64	0.00	-6.09	-6.09	248.46
1980 02 08 12	36979.20	1.59	327.30	0.00	-7.74	-7.74	209.86
1980 02 09 12	37324.80	1.97	263.99	0.00	-4.06	-4.06	281.62
1980 02 10 12	37324.80	0.53	390.09	0.00	-7.42	-7.42	198.51
1980 02 11 12	37651.96	0.38	349.68	0.00	-10.86	-10.86	132.22
1980 02 12 12	37670.40	0.09	431.51	0.00	-9.21	-9.21	147.87
1980 02 13 12	37670.40	0.00	456.15	0.00	-10.79	-10.79	121.36
1980 02 14 12	38016.00	0.00	454.24	0.00	-6.08	-6.08	195.58
1980 02 15 12	38016.00	7.37	308.01	0.00	0.59	0.59	381.42
1980 02 16 12	38058.70	3.99	332.07	0.00	-0.92	-0.92	327.56
1980 02 17 12	38361.60	0.69	306.65	0.00	-8.99	-8.99	177.10
1980 02 18 12	38361.60	0.04	471.62	0.00	-10.83	-10.83	135.30
1980 02 19 12	38707.20	0.00	469.45	0.00	-3.58	-3.58	226.06
1980 02 20 12	38707.20	4.38	361.76	0.00	0.78	0.78	355.48
1980 02 21 12	38900.90	7.84	324.77	0.00	4.34	4.34	532.17
1980 02 22 12	39052.80	1.78	450.48	0.00	7.16	7.16	588.16
1980 02 23 12	39052.80	2.24	361.67	0.00	6.56	6.56	534.73
1980 02 24 12	39398.40	0.90	292.49	0.00	4.27	4.27	510.26
1980 02 25 12	39398.40	4.41	275.18	0.00	-0.34	-0.34	380.01
1980 02 26 12	39744.00	1.68	355.82	0.00	-5.36	-5.36	224.51
1980 02 27 12	39744.00	1.00	360.64	0.00	-8.92	-8.92	180.27
1980 02 28 12	39744.00	3.14	255.63	0.00	-5.35	-5.35	255.76
1980 02 29 12	40089.60	7.22	269.56	0.00	-8.72	-8.72	196.86
1980 03 01 12	40089.60	11.31	285.69	0.00	-12.10	-12.10	137.92
1980 03 02 12	40435.20	2.70	444.13	0.00	-14.63	-14.63	106.52
1980 03 03 12	40435.20	0.00	522.30	0.00	-12.53	-12.53	106.67
1980 03 04 12	40780.80	9.68	408.73	0.00	-6.61	-6.61	191.84
1980 03 05 12	40780.80	5.39	323.83	0.00	1.52	1.52	413.57
1980 03 06 12	40780.80	0.75	454.25	0.00	-0.30	-0.30	374.37
1980 03 07 12	41126.40	0.24	395.09	0.00	1.70	1.70	439.20
1980 03 08 12	41126.40	1.03	355.51	0.00	7.39	7.39	636.61
1980 03 09 12	41472.00	0.26	513.70	0.00	5.50	5.50	485.43
1980 03 10 12	41472.00	2.20	414.41	0.00	2.78	2.78	355.75
1980 03 11 12	41817.60	0.58	529.55	0.00	1.07	1.07	290.32
1980 03 12 12	41817.60	4.48	386.99	0.00	-4.56	-4.56	237.06
1980 03 13 12	41817.60	9.43	333.38	0.00	-2.94	-2.94	313.58
1980 03 14 12	42163.20	2.30	360.49	0.00	-2.42	-2.42	322.49
1980 03 15 12	42163.20	0.03	559.34	0.00	-3.12	-3.12	251.40
1980 03 16 12	42508.80	2.20	436.78	0.00	1.50	1.50	355.32
1980 03 17 12	42508.80	16.38	360.52	0.00	7.79	7.79	615.37
1980 03 18 12	42854.40	4.16	517.17	0.00	3.18	3.18	428.34
1980 03 19 12	42854.40	0.00	567.18	0.00	0.95	0.95	344.51
1980 03 20 12	43200.00	10.94	399.19	0.00	4.20	4.20	488.94
1980 03 21 12	43200.00	9.08	380.58	0.00	4.70	4.70	517.12
1980 03 22 12	43200.00	1.63	451.87	0.00	-0.33	-0.33	371.05
1980 03 23 12	43545.60	0.65	446.88	0.00	0.91	0.91	373.58
1980 03 24 12	43545.60	20.92	383.90	0.00	6.07	6.07	572.40
1980 03 25 12	43891.20	5.58	301.32	0.00	3.88	3.88	540.83
1980 03 26 12	43891.20	0.03	548.72	0.00	1.64	1.64	404.79
1980 03 27 12	44236.80	0.75	533.87	0.00	3.29	3.29	418.01
1980 03 28 12	44236.80	11.00	399.31	0.00	5.91	5.91	564.41
1980 03 29 12	44582.40	2.84	545.99	0.00	7.18	7.18	604.94
1980 03 30 12	44582.40	6.70	431.46	0.00	8.07	8.07	640.74
1980 03 31 12	44582.40	10.30	305.92	0.00	7.51	7.51	704.01
1980 04 01 12	44928.00	2.25	511.66	0.00	7.30	7.30	650.68
1980 04 02 12	44928.00	0.00	590.99	0.00	7.64	7.64	564.34
1980 04 03 12	45273.60	8.97	451.00	0.00	9.32	9.32	626.83
1980 04 04 12	45273.60	4.24	431.81	0.00	10.44	10.44	686.81
1980 04 05 12	45619.20	0.50	526.45	0.00	4.76	4.76	493.51
1980 04 06 12	45619.20	0.00	604.14	0.00	4.04	4.04	431.46
1980 04 07 12	45619.20	0.00	580.66	0.00	7.04	7.04	610.98
1980 04 08 12	45964.80	24.95	228.73	0.00	10.38	10.38	904.58
1980 04 09 12	45964.80	6.60	503.58	0.00	9.12	9.12	744.31
1980 04 10 12	46310.40	0.01	542.50	0.00	8.03	8.03	644.62
1980 04 11 12	46310.40	0.00	597.38	0.00	7.56	7.56	597.99
1980 04 12 12	46656.00	5.45	416.80	0.00	9.73	9.73	729.95
1980 04 13 12	46656.00	15.95	311.50	0.00	7.37	7.37	737.12
1980 04 14 12	46656.00	11.75	419.47	0.00	9.79	9.79	757.66
1980 04 15 12	47001.60	3.74	445.19	0.00	6.79	6.79	569.56
1980 04 16 12	47001.60	0.44	388.57	0.00	2.64	2.64	474.95
1980 04 17 12	47347.20	0.00	622.26	0.00	2.03	2.03	370.03
1980 04 18 12	47347.20	0.00	617.53	0.00	5.64	5.64	446.26
1980 04 19 12	47499.10	0.00	610.70	0.00	7.20	7.20	492.50
1980 04 20 12	47692.80	0.13	499.96	0.00	9.15	9.15	588.18
1980 04 21 12	47692.80	0.03	576.72	0.00	11.37	11.37	695.36
1980 04 22 12	48038.40	0.00	611.04	0.00	8.49	8.49	619.82
1980 04 23 12	48038.40	0.00	571.85	0.00	15.10	15.10	908.01
1980 04 24 12	48341.30	4.18	447.13	0.00	13.09	13.09	779.25
1980 04 25 12	48384.00	4.97	426.04	0.00	9.88	9.88	702.94
1980 04 26 12	48384.00	18.47	372.56	0.00	9.11	9.11	761.39
1980 04 27 12	48729.60	9.78	311.63	0.00	8.99	8.99	778.69
1980 04 28 12	48729.60	1.42	505.48	0.00	6.58	6.58	614.77
1980 04 29 12	48748.04	17.37	415.93	0.00	5.52	5.52	580.52
1980 04 30 12	49075.20	8.59	305.72	0.00	5.78	5.78	675.47
1980 05 01 12	49075.20	1.73	284.64	0.00	7.36	7.36	755.34
1980 05 02 12	49420.80	0.18	564.38	0.00	7.99	7.99	670.42
1980 05 03 12	49420.80	0.00	598.29	0.00	9.12	9.12	664.46
1980 05 04 12	49420.80	0.00	592.61	0.00	11.83	11.83	734.87
1980 05 05 12	49766.40	0.00	596.89	0.00	11.74	11.74	704.62
1980 05 06 12	49766.40	4.31	444.38	0.00	12.81	12.81	783.06
1980 05 07 12	49766.40	1.48	521.89	0.00	13.51	13.51	842.95
1980 05 08 12	50112.00	0.09	550.59	0.00	11.53	11.53	720.28
1980 05 09 12	50112.00	0.00	595.07	0.00	4.08	4.08	435.05
