  40.46
3298.00
   8129086
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	32832.00	0.00	345.04	0.00	-6.84	-6.84	193.41
1980 01 02 12	33177.60	5.43	247.00	0.00	-7.54	-7.54	204.64
1980 01 03 12	33177.60	3.37	296.89	0.00	-12.15	-12.15	144.93
1980 01 04 12	33177.60	16.81	240.61	0.00	-8.00	-8.00	218.26
1980 01 05 12	33177.60	6.73	348.69	0.00	-5.12	-5.12	256.80
1980 01 06 12	33177.60	2.06	313.35	0.00	-7.54	-7.54	178.48
1980 01 07 12	33177.60	2.95	279.11	0.00	-12.12	-12.12	128.90
1980 01 08 12	33177.60	16.61	252.26	0.00	-12.07	-12.07	156.00
1980 01 09 12	33523.20	10.40	279.56	0.00	-8.14	-8.14	216.23
1980 01 10 12	33523.20	11.23	249.04	0.00	-6.31	-6.31	232.12
1980 01 11 12	33523.20	4.31	352.86	0.00	-14.41	-14.41	113.37
1980 01 12 12	33523.20	14.13	301.71	0.00	-7.26	-7.26	217.63
1980 01 13 12	33868.80	14.82	230.64	0.00	-1.46	-1.46	391.22
1980 01 14 12	33868.80	5.46	234.82	0.00	-1.22	-1.22	403.23
1980 01 15 12	33868.80	1.23	242.70	0.00	-3.87	-3.87	315.86
1980 01 16 12	33868.80	0.99	305.57	0.00	-7.48	-7.48	219.18
1980 01 17 12	34214.40	1.30	304.27	0.00	-7.48	-7.48	205.98
1980 01 18 12	34214.40	6.26	298.79	0.00	-7.94	-7.94	194.97
1980 01 19 12	34214.40	4.82	324.08	0.00	-11.94	-11.94	130.73
1980 01 20 12	34214.40	0.99	433.98	0.00	-14.93	-14.93	85.84
1980 01 21 12	34560.00	0.16	337.64	0.00	-9.78	-9.78	130.71
1980 01 22 12	34560.00	0.06	420.72	0.00	-12.90	-12.90	105.04
1980 01 23 12	34560.00	0.00	439.19	0.00	-14.32	-14.32	87.09
1980 01 24 12	34905.60	0.00	437.16	0.00	-10.93	-10.93	116.07
1980 01 25 12	34905.60	8.33	311.42	0.00	-8.28	-8.28	163.65
1980 01 26 12	34905.60	16.96	347.60	0.00	-16.43	-16.43	88.73
1980 01 27 12	35251.20	31.00	342.74	0.00	-15.81	-15.81	89.88
1980 01 28 12	35251.20	47.32	290.19	0.00	-14.53	-14.53	115.34
1980 01 29 12	35251.20	51.41	332.96	0.00	-12.17	-12.17	141.60
1980 01 30 12	35596.80	24.77	361.01	0.00	-13.26	-13.26	106.96
1980 01 31 12	35596.80	4.06	463.15	0.00	-15.54	-15.54	80.92
1980 02 01 12	35596.80	0.09	422.00	0.00	-9.87	-9.87	158.28
1980 02 02 12	35942.40	0.97	275.76	0.00	-5.24	-5.24	273.89
1980 02 03 12	35942.40	0.39	362.66	0.00	-3.98	-3.98	320.78
1980 02 04 12	35942.40	0.00	335.94	0.00	-3.23	-3.23	319.58
1980 02 05 12	36288.00	0.00	467.21	0.00	-9.64	-9.64	172.47
1980 02 06 12	36288.00	0.00	466.52	0.00	-6.53	-6.53	196.52
