  37.48
 200.00
 921641636
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	33961.64	0.00	274.95	0.00	0.44	0.44	400.80
1980 01 02 12	34054.94	2.84	161.55	0.00	0.99	0.99	444.98
1980 01 03 12	34154.06	1.17	123.07	0.00	-2.29	-2.29	399.38
1980 01 04 12	34214.40	0.01	144.35	0.00	-2.62	-2.62	411.88
1980 01 05 12	34214.40	0.00	216.88	0.00	-0.75	-0.75	431.97
1980 01 06 12	34214.40	0.00	283.77	0.00	-1.24	-1.24	347.35
1980 01 07 12	34214.40	0.00	258.01	0.00	-5.06	-5.06	252.28
1980 01 08 12	34254.86	0.00	259.25	0.00	-6.12	-6.12	246.59
1980 01 09 12	34400.54	0.00	273.45	0.00	-5.41	-5.41	283.59
1980 01 10 12	34549.18	0.00	300.94	0.00	2.52	2.52	459.68
1980 01 11 12	34560.00	0.00	295.66	0.00	3.20	3.20	453.11
1980 01 12 12	34560.00	0.00	237.92	0.00	3.39	3.39	544.63
1980 01 13 12	34560.00	0.00	303.73	0.00	6.59	6.59	632.52
1980 01 14 12	34700.64	0.00	305.35	0.00	9.52	9.52	689.70
1980 01 15 12	34905.60	0.75	187.66	0.00	8.14	8.14	708.99
1980 01 16 12	34905.60	0.31	204.29	0.00	4.00	4.00	593.34
1980 01 17 12	34905.60	0.00	309.73	0.00	1.31	1.31	453.07
1980 01 18 12	34998.44	9.37	203.65	0.00	3.80	3.80	540.80
1980 01 19 12	35240.38	6.66	207.06	0.00	1.97	1.97	489.44
1980 01 20 12	35251.20	3.11	78.09	0.00	-1.51	-1.51	434.34
1980 01 21 12	35251.20	0.80	205.53	0.00	-1.76	-1.76	436.92
1980 01 22 12	35344.04	0.00	242.09	0.00	-1.19	-1.19	422.92
1980 01 23 12	35596.80	0.00	326.43	0.00	0.78	0.78	445.35
1980 01 24 12	35596.80	0.00	326.75	0.00	6.80	6.80	609.65
1980 01 25 12	35596.80	0.16	242.58	0.00	4.74	4.74	512.28
1980 01 26 12	35830.55	0.27	292.01	0.00	-4.63	-4.63	253.54
1980 01 27 12	35942.40	0.46	164.14	0.00	-9.89	-9.89	189.66
1980 01 28 12	35942.40	0.40	140.89	0.00	-12.05	-12.05	182.92
1980 01 29 12	36083.04	0.15	201.39	0.00	-11.28	-11.28	182.03
1980 01 30 12	36288.00	0.03	289.63	0.00	-11.21	-11.21	156.94
1980 01 31 12	36288.00	0.00	392.95	0.00	-12.88	-12.88	119.19
1980 02 01 12	36328.46	0.00	400.15	0.00	-6.76	-6.76	177.00
1980 02 02 12	36633.60	0.00	400.89	0.00	-0.83	-0.83	258.62
1980 02 03 12	36633.60	0.00	385.95	0.00	1.26	1.26	319.06
1980 02 04 12	36674.07	0.00	251.73	0.00	0.87	0.87	394.98
1980 02 05 12	36979.20	0.00	332.78	0.00	1.88	1.88	404.33
1980 02 06 12	36979.20	0.05	293.22	0.00	0.72	0.72	355.33
1980 02 07 12	37072.04	14.03	244.53	0.00	-2.74	-2.74	280.99
1980 02 08 12	37324.80	6.10	267.90	0.00	-8.44	-8.44	188.39
1980 02 09 12	37324.80	0.13	428.04	0.00	-11.69	-11.69	126.87
1980 02 10 12	37558.55	0.00	427.52	0.00	-6.52	-6.52	170.70
1980 02 11 12	37670.40	0.00	403.99	0.00	-5.07	-5.07	196.85
1980 02 12 12	37670.40	0.00	435.60	0.00	-5.37	-5.37	197.63
1980 02 13 12	38016.00	0.00	354.42	0.00	-2.53	-2.53	284.01
1980 02 14 12	38016.00	0.12	197.97	0.00	-2.29	-2.29	344.87
1980 02 15 12	38056.46	0.05	312.98	0.00	-5.93	-5.93	248.57
1980 02 16 12	38361.60	0.00	346.48	0.00	-9.49	-9.49	176.84
1980 02 17 12	38361.60	0.00	449.46	0.00	-8.17	-8.17	177.51
1980 02 18 12	38646.86	0.00	376.04	0.00	-1.96	-1.96	301.86
1980 02 19 12	38707.20	0.00	410.60	0.00	2.58	2.58	416.05
