  40.45
2070.00
  10847411
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	32839.49	0.63	218.50	0.00	-2.88	-2.88	338.04
1980 01 02 12	33170.04	0.01	206.73	0.00	-2.91	-2.91	343.26
1980 01 03 12	33177.60	0.00	271.56	0.00	-3.70	-3.70	303.91
1980 01 04 12	33177.60	0.00	311.84	0.00	-2.59	-2.59	305.03
1980 01 05 12	33177.60	0.00	322.00	0.00	1.35	1.35	365.21
1980 01 06 12	33177.60	0.00	321.71	0.00	0.11	0.11	304.91
1980 01 07 12	33177.60	0.00	310.87	0.00	-5.19	-5.19	230.78
1980 01 08 12	33368.40	1.60	204.67	0.00	-2.16	-2.16	350.05
1980 01 09 12	33523.20	0.79	257.11	0.00	-0.34	-0.34	388.39
1980 01 10 12	33523.20	8.58	258.48	0.00	-3.13	-3.13	281.72
1980 01 11 12	33523.20	5.89	240.22	0.00	-6.37	-6.37	229.99
1980 01 12 12	33523.20	3.02	260.19	0.00	-1.22	-1.22	385.78
1980 01 13 12	33861.24	2.66	182.99	0.00	5.38	5.38	616.58
1980 01 14 12	33868.80	21.59	240.43	0.00	2.93	2.93	517.13
1980 01 15 12	33868.80	11.07	229.82	0.00	1.12	1.12	444.14
1980 01 16 12	33868.80	7.52	199.00	0.00	0.00	0.00	442.60
1980 01 17 12	34206.84	3.70	214.98	0.00	0.65	0.65	470.69
1980 01 18 12	34214.40	10.18	230.64	0.00	-0.41	-0.41	404.93
1980 01 19 12	34214.40	5.10	230.40	0.00	-4.03	-4.03	293.58
1980 01 20 12	34214.40	0.03	326.35	0.00	-7.58	-7.58	216.09
1980 01 21 12	34560.00	0.00	280.46	0.00	-6.95	-6.95	229.59
1980 01 22 12	34560.00	0.00	321.81	0.00	-7.67	-7.67	213.54
1980 01 23 12	34560.00	0.00	348.73	0.00	-7.61	-7.61	204.89
1980 01 24 12	34898.04	0.00	346.06	0.00	-5.24	-5.24	243.38
1980 01 25 12	34905.60	0.00	344.50	0.00	-3.85	-3.85	263.30
1980 01 26 12	34905.60	0.00	341.55	0.00	-6.52	-6.52	217.75
1980 01 27 12	35243.64	2.77	237.68	0.00	-7.10	-7.10	220.85
1980 01 28 12	35251.20	7.26	247.34	0.00	-10.79	-10.79	170.98
1980 01 29 12	35251.20	30.36	269.56	0.00	-10.81	-10.81	163.25
1980 01 30 12	35589.24	13.79	320.83	0.00	-15.26	-15.26	97.03
1980 01 31 12	35596.80	0.06	406.57	0.00	-15.18	-15.18	91.67
1980 02 01 12	35596.80	0.00	410.87	0.00	-11.62	-11.62	131.23
1980 02 02 12	35942.40	0.00	410.86	0.00	-8.00	-8.00	175.38
1980 02 03 12	35942.40	0.00	406.41	0.00	-4.89	-4.89	229.83
1980 02 04 12	35942.40	0.00	396.55	0.00	-3.97	-3.97	254.75
1980 02 05 12	36288.00	0.00	398.69	0.00	-5.06	-5.06	243.16
1980 02 06 12	36288.00	0.00	381.43	0.00	-4.17	-4.17	277.91
1980 02 07 12	36626.04	4.18	260.69	0.00	-2.55	-2.55	329.13
1980 02 08 12	36633.60	2.08	400.34	0.00	-6.97	-6.97	218.05
1980 02 09 12	36633.60	0.00	429.44	0.00	-9.07	-9.07	163.69
1980 02 10 12	36979.20	0.00	429.74	0.00	-8.89	-8.89	159.12
1980 02 11 12	36979.20	0.00	439.62	0.00	-8.87	-8.87	160.01
1980 02 12 12	37324.80	0.00	437.30	0.00	-6.85	-6.85	194.99
1980 02 13 12	37324.80	0.00	430.65	0.00	-3.90	-3.90	269.83
1980 02 14 12	37324.80	7.93	282.62	0.00	0.14	0.14	419.43
1980 02 15 12	37670.40	6.34	299.35	0.00	2.05	2.05	493.08
1980 02 16 12	37670.40	1.19	400.03	0.00	1.60	1.60	452.27
1980 02 17 12	38016.00	4.39	309.31	0.00	2.90	2.90	514.77
1980 02 18 12	38016.00	12.01	268.50	0.00	4.15	4.15	582.16
1980 02 19 12	38361.60	7.57	312.27	0.00	3.06	3.06	531.03
1980 02 20 12	38361.60	4.56	272.21	0.00	2.52	2.52	502.84
1980 02 21 12	38361.60	3.90	320.58	0.00	-0.41	-0.41	404.21
1980 02 22 12	38707.20	13.58	330.59	0.00	0.16	0.16	403.40
1980 02 23 12	38707.20	7.12	330.05	0.00	-0.58	-0.58	376.83
1980 02 24 12	39052.80	0.46	448.09	0.00	-0.60	-0.60	367.43
1980 02 25 12	39052.80	0.00	460.44	0.00	1.30	1.30	409.20
