  45.25
 598.00
   7999642
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	31104.00	4.84	95.11	0.00	5.92	5.92	777.27
1980 01 02 12	31104.00	6.30	103.80	0.00	5.35	5.35	718.38
1980 01 03 12	31104.00	4.39	127.66	0.00	2.70	2.70	580.64
1980 01 04 12	31104.00	20.30	91.16	0.00	2.54	2.54	588.11
1980 01 05 12	31104.00	11.83	102.65	0.00	2.47	2.47	592.01
1980 01 06 12	31449.60	1.07	193.29	0.00	-0.51	-0.51	425.40
1980 01 07 12	31449.60	7.71	184.84	0.00	-2.02	-2.02	365.01
1980 01 08 12	31449.60	41.64	170.36	0.00	-0.61	-0.61	446.17
1980 01 09 12	31449.60	38.99	149.00	0.00	1.08	1.08	520.11
1980 01 10 12	31449.60	15.72	181.56	0.00	-0.34	-0.34	456.23
1980 01 11 12	31795.20	50.55	192.48	0.00	0.09	0.09	458.97
1980 01 12 12	31795.20	64.96	190.19	0.00	3.87	3.87	603.57
1980 01 13 12	31795.20	46.24	182.85	0.00	4.87	4.87	642.94
1980 01 14 12	31905.85	23.06	114.16	0.00	4.07	4.07	635.31
1980 01 15 12	32140.80	19.19	134.62	0.00	2.79	2.79	601.72
1980 01 16 12	32140.80	16.34	81.91	0.00	4.20	4.20	668.05
1980 01 17 12	32140.80	5.18	138.01	0.00	2.30	2.30	570.15
1980 01 18 12	32486.40	0.38	153.83	0.00	-0.67	-0.67	421.95
1980 01 19 12	32486.40	0.06	214.10	0.00	-0.09	-0.09	435.27
1980 01 20 12	32486.40	0.00	210.37	0.00	1.68	1.68	491.51
1980 01 21 12	32832.00	0.00	226.30	0.00	1.73	1.73	481.70
1980 01 22 12	32832.00	0.00	226.14	0.00	3.76	3.76	538.38
1980 01 23 12	32942.65	0.00	233.20	0.00	2.93	2.93	492.06
1980 01 24 12	33177.60	0.00	226.68	0.00	2.65	2.65	490.79
1980 01 25 12	33177.60	0.02	161.78	0.00	2.05	2.05	492.13
1980 01 26 12	33523.20	0.03	165.40	0.00	-0.33	-0.33	405.02
1980 01 27 12	33523.20	0.01	220.73	0.00	-5.42	-5.42	264.29
1980 01 28 12	33523.20	0.00	230.51	0.00	-8.29	-8.29	209.19
1980 01 29 12	33868.80	0.00	238.76	0.00	-8.51	-8.51	207.35
1980 01 30 12	33868.80	0.00	242.64	0.00	-6.12	-6.12	258.26
1980 01 31 12	34214.40	16.45	198.19	0.00	-3.34	-3.34	344.53
1980 02 01 12	34214.40	28.38	215.91	0.00	-0.31	-0.31	466.50
1980 02 02 12	34560.00	30.33	180.81	0.00	3.90	3.90	650.03
1980 02 03 12	34560.00	11.29	187.65	0.00	5.86	5.86	737.59
1980 02 04 12	34670.65	1.43	232.79	0.00	4.63	4.63	636.29
1980 02 05 12	34905.60	16.56	194.39	0.00	6.00	6.00	696.13
1980 02 06 12	34905.60	12.57	169.84	0.00	5.70	5.70	718.97
1980 02 07 12	35251.20	2.25	299.65	0.00	3.22	3.22	575.04
1980 02 08 12	35251.20	0.00	305.59	0.00	3.90	3.90	558.57
1980 02 09 12	35596.80	0.07	238.48	0.00	3.27	3.27	538.18
1980 02 10 12	35596.80	0.03	255.96	0.00	3.71	3.71	573.69
1980 02 11 12	35942.40	0.00	283.30	0.00	3.55	3.55	542.57
1980 02 12 12	35942.40	0.00	294.05	0.00	2.72	2.72	472.70
1980 02 13 12	36288.00	0.00	276.09	0.00	1.95	1.95	461.63
1980 02 14 12	36288.00	4.37	164.69	0.00	1.22	1.22	481.03
1980 02 15 12	36633.60	4.02	137.02	0.00	-0.60	-0.60	456.08
1980 02 16 12	36633.60	3.55	150.26	0.00	0.42	0.42	521.91
1980 02 17 12	36979.20	32.05	121.90	0.00	3.01	3.01	640.55
1980 02 18 12	36979.20	39.73	149.33	0.00	5.12	5.12	741.72
1980 02 19 12	37324.80	15.87	138.22	0.00	5.98	5.98	755.40
1980 02 20 12	37324.80	3.88	203.08	0.00	4.25	4.25	641.58
1980 02 21 12	37670.40	1.76	237.66	0.00	2.59	2.59	523.78
1980 02 22 12	37670.40	5.29	209.88	0.00	3.69	3.69	584.15
