  41.44
1832.00
1944249631
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	32720.32	3.99	191.85	0.00	1.74	1.74	466.96
1980 01 02 12	32801.49	0.85	237.15	0.00	1.49	1.49	444.62
1980 01 03 12	32832.00	0.04	257.96	0.00	1.07	1.07	419.97
1980 01 04 12	32832.00	0.64	202.50	0.00	0.37	0.37	406.50
1980 01 05 12	32832.00	3.30	184.56	0.00	0.96	0.96	444.07
1980 01 06 12	32880.87	9.45	191.88	0.00	1.00	1.00	454.45
1980 01 07 12	33018.15	3.98	259.79	0.00	0.83	0.83	432.55
1980 01 08 12	33147.09	1.52	215.11	0.00	0.56	0.56	408.71
1980 01 09 12	33177.60	9.18	215.28	0.00	0.85	0.85	403.74
1980 01 10 12	33177.60	11.01	243.25	0.00	-0.64	-0.64	342.13
1980 01 11 12	33197.91	30.26	238.81	0.00	-1.21	-1.21	334.78
1980 01 12 12	33363.75	35.86	249.31	0.00	0.89	0.89	429.73
1980 01 13 12	33518.47	43.01	194.92	0.00	4.49	4.49	584.72
1980 01 14 12	33523.20	36.26	172.33	0.00	4.41	4.41	617.43
1980 01 15 12	33527.33	15.24	211.76	0.00	1.61	1.61	503.09
1980 01 16 12	33709.35	12.31	182.05	0.00	1.89	1.89	520.67
1980 01 17 12	33864.07	6.99	177.87	0.00	2.79	2.79	552.21
1980 01 18 12	33868.80	1.15	305.25	0.00	-1.18	-1.18	353.64
1980 01 19 12	33889.11	0.05	345.79	0.00	-2.64	-2.64	266.27
1980 01 20 12	34148.09	0.00	346.38	0.00	-2.08	-2.08	276.11
1980 01 21 12	34214.40	0.00	348.11	0.00	-1.03	-1.03	303.04
1980 01 22 12	34214.40	0.00	350.79	0.00	0.81	0.81	348.41
1980 01 23 12	34400.55	0.00	337.44	0.00	2.13	2.13	377.08
1980 01 24 12	34560.00	0.00	344.20	0.00	2.46	2.46	385.07
1980 01 25 12	34560.00	0.00	348.32	0.00	1.40	1.40	354.64
1980 01 26 12	34746.15	0.00	348.67	0.00	0.06	0.06	319.79
1980 01 27 12	34905.60	0.00	322.40	0.00	-0.54	-0.54	321.90
1980 01 28 12	34905.60	0.00	359.26	0.00	-3.56	-3.56	248.95
1980 01 29 12	35139.52	0.00	363.28	0.00	-3.55	-3.55	219.84
1980 01 30 12	35251.20	0.00	368.83	0.00	-4.42	-4.42	204.61
1980 01 31 12	35255.33	0.60	294.40	0.00	-2.20	-2.20	274.27
1980 02 01 12	35566.29	0.92	292.92	0.00	0.97	0.97	398.50
1980 02 02 12	35596.80	6.62	256.01	0.00	2.75	2.75	481.30
1980 02 03 12	35686.93	30.16	222.37	0.00	4.53	4.53	563.81
1980 02 04 12	35942.40	13.69	330.18	0.00	2.38	2.38	474.73
1980 02 05 12	35942.40	5.51	263.67	0.00	2.27	2.27	452.75
1980 02 06 12	36221.69	4.34	257.01	0.00	1.74	1.74	440.93
1980 02 07 12	36288.00	0.82	372.06	0.00	0.51	0.51	376.10
1980 02 08 12	36336.87	0.00	386.41	0.00	1.47	1.47	364.87
1980 02 09 12	36633.60	0.00	385.22	0.00	2.10	2.10	377.97
1980 02 10 12	36633.60	0.00	371.50	0.00	2.54	2.54	409.09
1980 02 11 12	36974.47	0.00	392.92	0.00	1.37	1.37	372.26
1980 02 12 12	36979.20	0.00	396.31	0.00	2.15	2.15	371.37
1980 02 13 12	37165.35	0.00	399.14	0.00	1.93	1.93	367.53
1980 02 14 12	37324.80	0.80	303.71	0.00	1.91	1.91	389.67
1980 02 15 12	37345.11	1.00	249.27	0.00	2.85	2.85	483.00
1980 02 16 12	37670.40	2.21	263.27	0.00	3.80	3.80	556.30
1980 02 17 12	37670.40	11.39	184.12	0.00	4.73	4.73	604.84
1980 02 18 12	38016.00	44.43	181.43	0.00	3.34	3.34	581.92
1980 02 19 12	38016.00	31.52	229.48	0.00	2.76	2.76	540.70
1980 02 20 12	38331.09	8.91	231.67	0.00	2.16	2.16	504.74
1980 02 21 12	38361.60	6.39	257.42	0.00	2.72	2.72	523.66
1980 02 22 12	38547.75	4.62	266.95	0.00	2.86	2.86	505.03
1980 02 23 12	38707.20	1.47	318.00	0.00	1.19	1.19	433.33
1980 02 24 12	38756.07	1.54	286.67	0.00	3.36	3.36	514.03
1980 02 25 12	39052.80	3.54	263.25	0.00	4.52	4.52	585.60
1980 02 26 12	39052.80	2.26	257.41	0.00	5.32	5.32	636.95
1980 02 27 12	39398.40	17.65	265.70	0.00	6.65	6.65	682.40
1980 02 28 12	39398.40	11.16	247.83	0.00	4.58	4.58	577.10
1980 02 29 12	39744.00	5.58	322.30	0.00	3.89	3.89	531.68
1980 03 01 12	39744.00	0.00	398.92	0.00	3.19	3.19	486.24
1980 03 02 12	40089.60	0.77	322.25	0.00	3.03	3.03	495.88
1980 03 03 12	40089.60	6.82	301.65	0.00	3.64	3.64	513.12
1980 03 04 12	40435.20	5.38	314.75	0.00	1.58	1.58	443.30
1980 03 05 12	40435.20	4.23	309.33	0.00	1.90	1.90	458.51
1980 03 06 12	40780.80	1.96	325.34	0.00	1.45	1.45	437.81
1980 03 07 12	40780.80	0.19	454.86	0.00	1.38	1.38	408.40
1980 03 08 12	41126.40	0.00	470.31	0.00	2.38	2.38	410.17
1980 03 09 12	41126.40	0.00	482.71	0.00	3.16	3.16	416.15
1980 03 10 12	41472.00	0.27	384.19	0.00	3.89	3.89	420.87
1980 03 11 12	41472.00	1.71	364.07	0.00	4.61	4.61	452.00
1980 03 12 12	41817.60	5.05	320.73	0.00	0.95	0.95	398.11
1980 03 13 12	41817.60	29.69	271.16	0.00	0.70	0.70	448.83
1980 03 14 12	42163.20	23.21	284.72	0.00	0.64	0.64	448.38
1980 03 15 12	42163.20	6.06	363.25	0.00	0.11	0.11	397.23
1980 03 16 12	42508.80	3.49	393.99	0.00	0.10	0.10	351.86
1980 03 17 12	42508.80	6.09	392.59	0.00	1.28	1.28	374.45
1980 03 18 12	42854.40	2.83	398.49	0.00	1.92	1.92	415.56
1980 03 19 12	42854.40	1.19	407.08	0.00	1.29	1.29	376.87
1980 03 20 12	43200.00	3.43	403.42	0.00	2.90	2.90	389.02
1980 03 21 12	43200.00	4.38	400.35	0.00	2.80	2.80	405.26
1980 03 22 12	43200.00	1.45	515.40	0.00	2.43	2.43	398.67
1980 03 23 12	43545.60	0.00	539.73	0.00	3.05	3.05	379.71
1980 03 24 12	43545.60	1.44	433.04	0.00	2.52	2.52	355.54
1980 03 25 12	43891.20	1.76	407.16	0.00	2.78	2.78	398.05
1980 03 26 12	43891.20	0.63	399.12	0.00	2.37	2.37	416.21
1980 03 27 12	44236.80	0.05	514.58	0.00	2.37	2.37	407.00
1980 03 28 12	44236.80	0.00	554.87	0.00	2.30	2.30	370.58
1980 03 29 12	44582.40	0.00	555.32	0.00	4.17	4.17	394.50
1980 03 30 12	44582.40	0.00	563.54	0.00	4.15	4.15	375.83
1980 03 31 12	44928.00	1.22	437.02	0.00	2.60	2.60	357.81
1980 04 01 12	44928.00	0.64	465.35	0.00	2.36	2.36	394.24
1980 04 02 12	45273.60	0.01	548.16	0.00	0.62	0.62	342.58
1980 04 03 12	45273.60	1.65	418.01	0.00	1.70	1.70	386.73
1980 04 04 12	45619.20	4.55	304.91	0.00	2.63	2.63	476.20
1980 04 05 12	45619.20	7.38	293.13	0.00	1.81	1.81	481.27
1980 04 06 12	45964.80	13.97	320.34	0.00	0.93	0.93	438.01
1980 04 07 12	45964.80	6.13	389.34	0.00	0.58	0.58	410.11
1980 04 08 12	46310.40	6.06	405.30	0.00	3.78	3.78	502.32
1980 04 09 12	46310.40	6.42	383.02	0.00	6.09	6.09	563.44
1980 04 10 12	46656.00	1.76	556.57	0.00	2.99	2.99	409.91
1980 04 11 12	46656.00	0.00	589.48	0.00	4.64	4.64	410.54
1980 04 12 12	47001.60	0.00	587.22	0.00	8.14	8.14	484.00
1980 04 13 12	47001.60	0.62	464.09	0.00	9.10	9.10	509.73
1980 04 14 12	47347.20	0.59	432.33	0.00	8.16	8.16	526.07
1980 04 15 12	47347.20	0.54	433.55	0.00	6.22	6.22	523.00
1980 04 16 12	47643.93	0.20	563.69	0.00	8.14	8.14	573.43
1980 04 17 12	47692.80	0.00	575.37	0.00	10.96	10.96	633.88
1980 04 18 12	47852.25	0.00	568.25	0.00	10.44	10.44	626.94
