  41.42
  93.00
  10407302
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	32486.40	0.00	275.63	0.00	-0.82	-0.82	349.53
1980 01 02 12	32589.66	0.00	249.14	0.00	1.17	1.17	507.05
1980 01 03 12	32832.00	0.00	235.03	0.00	-1.37	-1.37	359.42
1980 01 04 12	32832.00	0.00	273.65	0.00	-2.87	-2.87	237.24
1980 01 05 12	32832.00	1.27	149.62	0.00	-1.71	-1.71	408.65
1980 01 06 12	32832.00	0.48	291.83	0.00	-4.94	-4.94	301.40
1980 01 07 12	32832.00	0.05	207.87	0.00	-0.09	-0.09	524.00
1980 01 08 12	32935.26	0.05	262.76	0.00	0.97	0.97	464.35
1980 01 09 12	33177.60	0.04	170.34	0.00	-0.82	-0.82	316.12
1980 01 10 12	33177.60	0.00	239.71	0.00	-1.86	-1.86	283.19
1980 01 11 12	33177.60	9.73	191.44	0.00	2.54	2.54	612.51
1980 01 12 12	33177.60	20.06	257.47	0.00	5.19	5.19	767.59
1980 01 13 12	33523.20	0.03	257.67	0.00	-2.55	-2.55	234.01
1980 01 14 12	33523.20	0.01	156.03	0.00	3.23	3.23	694.99
1980 01 15 12	33523.20	0.00	162.12	0.00	6.84	6.84	905.38
1980 01 16 12	33523.20	0.00	294.90	0.00	2.28	2.28	545.05
1980 01 17 12	33868.80	0.05	176.33	0.00	0.30	0.30	472.94
1980 01 18 12	33868.80	0.18	220.66	0.00	2.75	2.75	648.93
1980 01 19 12	33868.80	0.97	246.62	0.00	4.63	4.63	698.02
1980 01 20 12	33868.80	0.00	229.75	0.00	1.69	1.69	467.04
1980 01 21 12	34214.40	3.90	206.29	0.00	-1.88	-1.88	271.56
1980 01 22 12	34214.40	0.55	139.99	0.00	-1.12	-1.12	370.93
1980 01 23 12	34214.40	3.98	185.58	0.00	2.72	2.72	662.77
1980 01 24 12	34560.00	0.00	245.38	0.00	-3.72	-3.72	230.80
1980 01 25 12	34560.00	0.00	282.02	0.00	-5.09	-5.09	206.78
