  41.87
 685.00
  99154142
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	32486.40	0.00	247.03	0.00	-2.73	-2.73	265.95
1980 01 02 12	32486.40	0.00	241.20	0.00	-2.22	-2.22	369.64
1980 01 03 12	32486.40	0.00	242.12	0.00	-5.51	-5.51	281.86
1980 01 04 12	32486.40	0.00	246.31	0.00	-8.69	-8.69	171.57
1980 01 05 12	32549.50	0.00	178.11	0.00	-6.14	-6.14	156.66
1980 01 06 12	32832.00	0.05	262.91	0.00	-8.39	-8.39	148.79
1980 01 07 12	32832.00	1.03	107.95	0.00	-5.70	-5.70	289.47
1980 01 08 12	32832.00	0.00	261.19	0.00	-5.27	-5.27	280.09
1980 01 09 12	32832.00	0.00	154.15	0.00	-7.38	-7.38	236.38
1980 01 10 12	32832.00	0.00	173.50	0.00	-8.17	-8.17	200.36
1980 01 11 12	33177.60	5.54	88.18	0.00	-1.60	-1.60	491.03
1980 01 12 12	33177.60	12.69	181.98	0.00	-1.20	-1.20	498.44
1980 01 13 12	33177.60	0.00	182.44	0.00	-8.05	-8.05	177.56
1980 01 14 12	33177.60	0.54	75.89	0.00	-0.65	-0.65	517.81
1980 01 15 12	33523.20	0.36	260.99	0.00	2.88	2.88	687.87
1980 01 16 12	33523.20	0.00	269.68	0.00	-0.37	-0.37	326.87
1980 01 17 12	33523.20	0.00	246.52	0.00	-0.90	-0.90	410.27
1980 01 18 12	33523.20	0.00	245.13	0.00	0.70	0.70	573.31
1980 01 19 12	33868.80	0.07	233.68	0.00	-0.47	-0.47	503.24
1980 01 20 12	33868.80	0.18	231.51	0.00	-3.70	-3.70	344.50
1980 01 21 12	33868.80	0.18	196.01	0.00	-6.25	-6.25	222.61
1980 01 22 12	34214.40	0.14	96.08	0.00	-5.15	-5.15	307.95
1980 01 23 12	34214.40	0.66	157.34	0.00	-2.51	-2.51	429.51
1980 01 24 12	34214.40	0.24	196.08	0.00	-10.98	-10.98	129.45
1980 01 25 12	34560.00	0.00	172.33	0.00	-10.53	-10.53	173.28
1980 01 26 12	34560.00	0.00	274.17	0.00	-7.55	-7.55	211.28
1980 01 27 12	34560.00	0.03	291.32	0.00	-7.31	-7.31	246.63
1980 01 28 12	34905.60	0.00	210.73	0.00	-5.34	-5.34	277.21
1980 01 29 12	34905.60	0.17	241.94	0.00	-7.19	-7.19	209.05
1980 01 30 12	34905.60	0.00	296.72	0.00	-11.24	-11.24	140.46
1980 01 31 12	35251.20	0.00	109.06	0.00	-14.71	-14.71	118.07
1980 02 01 12	35251.20	0.00	268.82	0.00	-15.56	-15.56	109.36
1980 02 02 12	35517.94	0.00	319.17	0.00	-15.52	-15.52	112.31
1980 02 03 12	35596.80	0.00	207.80	0.00	-15.59	-15.59	114.81
1980 02 04 12	35596.80	0.00	180.00	0.00	-12.60	-12.60	152.60
1980 02 05 12	35942.40	0.00	279.75	0.00	-11.78	-11.78	163.67
1980 02 06 12	35942.40	0.00	282.75	0.00	-10.11	-10.11	164.54
1980 02 07 12	36288.00	0.00	242.52	0.00	-6.05	-6.05	238.39
1980 02 08 12	36288.00	0.00	338.88	0.00	-7.01	-7.01	186.96
1980 02 09 12	36288.00	0.00	224.47	0.00	-8.26	-8.26	203.89
1980 02 10 12	36633.60	0.00	218.75	0.00	-7.33	-7.33	201.76
1980 02 11 12	36633.60	0.63	204.09	0.00	-8.73	-8.73	225.19
1980 02 12 12	36979.20	0.11	190.16	0.00	-5.92	-5.92	258.01
1980 02 13 12	36979.20	0.00	278.14	0.00	-6.51	-6.51	196.44
1980 02 14 12	37324.80	0.00	213.21	0.00	-4.48	-4.48	248.02
1980 02 15 12	37324.80	2.79	282.33	0.00	-5.56	-5.56	280.92
1980 02 16 12	37324.80	16.94	204.75	0.00	-4.77	-4.77	381.95
1980 02 17 12	37670.40	0.03	282.38	0.00	-11.63	-11.63	197.90
1980 02 18 12	37670.40	0.00	368.07	0.00	-12.21	-12.21	192.73
1980 02 19 12	38016.00	0.00	307.73	0.00	-6.49	-6.49	268.70
1980 02 20 12	38016.00	0.00	270.92	0.00	-2.16	-2.16	330.05
1980 02 21 12	38361.60	1.00	260.13	0.00	-0.31	-0.31	471.69
1980 02 22 12	38361.60	5.79	143.88	0.00	-2.95	-2.95	448.60
1980 02 23 12	38707.20	2.07	344.02	0.00	-0.07	-0.07	549.18
1980 02 24 12	38707.20	0.82	211.65	0.00	-0.76	-0.76	513.67
1980 02 25 12	39052.80	0.00	258.14	0.00	-1.83	-1.83	360.93
1980 02 26 12	39052.80	0.29	329.90	0.00	-6.36	-6.36	234.46
1980 02 27 12	39398.40	3.29	100.82	0.00	-11.69	-11.69	191.24
1980 02 28 12	39398.40	0.00	301.03	0.00	-9.22	-9.22	227.50
1980 02 29 12	39744.00	0.00	352.39	0.00	-13.44	-13.44	171.42
1980 03 01 12	39744.00	0.00	406.38	0.00	-17.67	-17.67	115.32
1980 03 02 12	40089.60	0.00	437.22	0.00	-15.40	-15.40	141.74
1980 03 03 12	40089.60	0.00	440.84	0.00	-12.59	-12.59	173.15
1980 03 04 12	40356.34	0.00	423.30	0.00	-5.74	-5.74	254.40
1980 03 05 12	40435.20	3.44	150.93	0.00	-1.43	-1.43	450.01
1980 03 06 12	40498.30	2.12	447.86	0.00	-1.91	-1.91	404.41
1980 03 07 12	40780.80	0.00	304.61	0.00	-0.67	-0.67	393.47
1980 03 08 12	40843.90	12.93	202.28	0.00	4.97	4.97	821.44
1980 03 09 12	41126.40	1.65	431.76	0.00	1.51	1.51	585.57
1980 03 10 12	41126.40	0.00	366.10	0.00	-0.01	-0.01	368.59
1980 03 11 12	41472.00	3.80	332.01	0.00	-1.20	-1.20	451.29
1980 03 12 12	41472.00	0.66	470.00	0.00	-9.12	-9.12	161.54
1980 03 13 12	41817.60	2.35	296.06	0.00	-9.53	-9.53	177.44
1980 03 14 12	41817.60	27.88	221.68	0.00	-4.14	-4.14	411.93
1980 03 15 12	42163.20	0.23	364.64	0.00	-6.30	-6.30	298.42
1980 03 16 12	42163.20	0.02	459.21	0.00	-8.44	-8.44	220.35
