  38.83
  16.00
   7818421
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	33523.20	0.00	261.67	0.00	2.35	2.35	540.11
1980 01 02 12	33523.20	0.00	278.26	0.00	2.58	2.58	551.64
1980 01 03 12	33523.20	0.00	185.26	0.00	1.60	1.60	520.31
1980 01 04 12	33868.80	1.83	131.65	0.00	1.08	1.08	490.46
1980 01 05 12	33868.80	13.06	62.18	0.00	1.19	1.19	594.21
1980 01 06 12	33868.80	2.89	305.44	0.00	-2.41	-2.41	380.82
1980 01 07 12	33868.80	0.09	167.89	0.00	0.33	0.33	511.19
1980 01 08 12	33868.80	0.28	240.48	0.00	1.08	1.08	517.37
1980 01 09 12	33868.80	0.12	80.56	0.00	0.11	0.11	457.26
1980 01 10 12	34191.26	0.00	304.70	0.00	-2.11	-2.11	409.20
1980 01 11 12	34214.40	10.59	112.98	0.00	4.86	4.86	821.79
1980 01 12 12	34214.40	11.38	286.93	0.00	4.89	4.89	720.01
1980 01 13 12	34214.40	0.00	243.80	0.00	0.13	0.13	352.96
1980 01 14 12	34214.40	2.18	105.27	0.00	5.93	5.93	882.36
1980 01 15 12	34560.00	0.92	299.40	0.00	8.07	8.07	950.56
1980 01 16 12	34560.00	0.00	306.91	0.00	4.25	4.25	608.17
1980 01 17 12	34560.00	1.92	224.96	0.00	3.92	3.92	664.40
1980 01 18 12	34560.00	16.10	84.93	0.00	5.35	5.35	819.30
1980 01 19 12	34905.60	7.58	293.58	0.00	4.37	4.37	702.38
1980 01 20 12	34905.60	0.00	310.43	0.00	2.41	2.41	526.41
1980 01 21 12	34905.60	6.31	312.75	0.00	0.99	0.99	434.55
1980 01 22 12	34905.60	2.97	114.14	0.00	2.09	2.09	571.65
1980 01 23 12	35251.20	5.82	111.32	0.00	4.17	4.17	722.86
1980 01 24 12	35251.20	0.00	263.80	0.00	-2.40	-2.40	235.10
1980 01 25 12	35251.20	0.29	198.69	0.00	1.99	1.99	515.95
1980 01 26 12	35596.80	0.00	316.52	0.00	1.90	1.90	492.57
1980 01 27 12	35596.80	0.00	168.23	0.00	0.32	0.32	357.24
1980 01 28 12	35596.80	0.00	203.14	0.00	1.40	1.40	431.45
1980 01 29 12	35919.26	0.00	145.85	0.00	0.49	0.49	362.73
1980 01 30 12	35942.40	0.00	268.60	0.00	-2.79	-2.79	235.69
1980 01 31 12	35942.40	0.49	118.93	0.00	-3.86	-3.86	263.79
1980 02 01 12	36264.86	0.00	306.48	0.00	-7.35	-7.35	236.89
1980 02 02 12	36288.00	0.00	344.97	0.00	-8.36	-8.36	233.70
1980 02 03 12	36288.00	0.00	355.42	0.00	-7.89	-7.89	253.64
1980 02 04 12	36633.60	0.00	153.93	0.00	-5.60	-5.60	282.25
1980 02 05 12	36633.60	0.94	360.20	0.00	-5.22	-5.22	312.19
1980 02 06 12	36633.60	0.64	263.25	0.00	-2.15	-2.15	383.06
1980 02 07 12	36979.20	0.22	262.73	0.00	-0.22	-0.22	476.79
1980 02 08 12	36979.20	0.02	369.91	0.00	-2.98	-2.98	362.63
1980 02 09 12	36979.20	0.08	107.54	0.00	-2.42	-2.42	376.66
1980 02 10 12	37324.80	1.43	283.99	0.00	-1.86	-1.86	433.24
1980 02 11 12	37324.80	0.00	330.62	0.00	-3.57	-3.57	349.97
1980 02 12 12	37670.40	0.00	374.02	0.00	-1.48	-1.48	404.34
1980 02 13 12	37670.40	0.00	309.06	0.00	-2.13	-2.13	340.13
1980 02 14 12	37670.40	0.00	297.89	0.00	-1.14	-1.14	408.08
1980 02 15 12	38016.00	0.00	189.99	0.00	1.12	1.12	453.13
1980 02 16 12	38016.00	9.91	117.27	0.00	3.00	3.00	675.69
1980 02 17 12	38361.60	0.00	333.29	0.00	-2.52	-2.52	284.44
1980 02 18 12	38361.60	0.00	394.24	0.00	-2.97	-2.97	239.77
1980 02 19 12	38361.60	0.00	376.43	0.00	1.00	1.00	437.35
1980 02 20 12	38707.20	0.00	351.93	0.00	4.32	4.32	647.26
