  38.17
   8.00
  12426629
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	33868.80	0.00	214.04	0.00	2.48	2.48	629.07
1980 01 02 12	33868.80	0.00	289.10	0.00	2.87	2.87	619.35
1980 01 03 12	33868.80	0.28	193.07	0.00	1.41	1.41	543.78
1980 01 04 12	33868.80	1.29	140.46	0.00	1.62	1.62	578.56
1980 01 05 12	33868.80	11.32	54.32	0.00	3.22	3.22	702.67
1980 01 06 12	34049.82	3.25	315.26	0.00	-1.28	-1.28	442.19
1980 01 07 12	34214.40	0.00	186.53	0.00	1.06	1.06	557.37
1980 01 08 12	34214.40	0.00	211.64	0.00	2.74	2.74	569.68
1980 01 09 12	34214.40	0.00	66.20	0.00	1.92	1.92	560.01
1980 01 10 12	34214.40	0.00	315.81	0.00	0.31	0.31	486.89
1980 01 11 12	34214.40	8.43	112.15	0.00	6.66	6.66	968.70
1980 01 12 12	34560.00	7.65	297.50	0.00	6.72	6.72	846.24
1980 01 13 12	34560.00	0.00	238.51	0.00	1.33	1.33	423.52
1980 01 14 12	34560.00	0.55	86.69	0.00	7.98	7.98	1020.41
1980 01 15 12	34560.00	0.31	308.41	0.00	8.56	8.56	989.17
1980 01 16 12	34560.00	0.11	319.40	0.00	4.28	4.28	661.97
1980 01 17 12	34905.60	1.99	213.58	0.00	4.22	4.22	721.39
1980 01 18 12	34905.60	19.58	80.22	0.00	6.25	6.25	890.80
1980 01 19 12	34905.60	8.69	329.30	0.00	4.55	4.55	736.95
1980 01 20 12	34905.60	0.00	309.87	0.00	2.19	2.19	563.71
1980 01 21 12	35251.20	7.23	334.81	0.00	1.28	1.28	487.43
1980 01 22 12	35251.20	4.81	129.37	0.00	2.63	2.63	649.25
1980 01 23 12	35251.20	9.34	96.42	0.00	5.54	5.54	841.43
1980 01 24 12	35596.80	0.00	287.10	0.00	-0.95	-0.95	305.21
1980 01 25 12	35596.80	0.00	250.72	0.00	3.97	3.97	672.45
1980 01 26 12	35596.80	0.00	329.09	0.00	2.82	2.82	575.35
1980 01 27 12	35596.80	0.00	137.29	0.00	0.63	0.63	418.05
1980 01 28 12	35942.40	0.00	186.17	0.00	1.83	1.83	496.74
1980 01 29 12	35942.40	1.10	128.31	0.00	0.96	0.96	463.68
1980 01 30 12	35942.40	0.03	280.38	0.00	-2.25	-2.25	286.70
1980 01 31 12	36288.00	2.02	107.27	0.00	-3.10	-3.10	347.93
1980 02 01 12	36288.00	0.00	322.12	0.00	-7.05	-7.05	270.67
1980 02 02 12	36288.00	0.00	359.94	0.00	-7.85	-7.85	259.48
1980 02 03 12	36633.60	0.00	362.54	0.00	-7.77	-7.77	273.90
1980 02 04 12	36633.60	0.00	153.41	0.00	-6.05	-6.05	309.03
1980 02 05 12	36633.60	0.27	366.63	0.00	-5.37	-5.37	336.18
1980 02 06 12	36979.20	1.70	248.56	0.00	-1.98	-1.98	421.95
1980 02 07 12	36979.20	0.56	286.53	0.00	0.25	0.25	513.68
1980 02 08 12	36979.20	0.55	371.54	0.00	-2.50	-2.50	387.15
1980 02 09 12	37324.80	1.22	103.37	0.00	-1.53	-1.53	439.78
1980 02 10 12	37324.80	5.81	289.82	0.00	-1.34	-1.34	479.78
1980 02 11 12	37670.40	0.00	353.55	0.00	-2.44	-2.44	366.06
1980 02 12 12	37670.40	0.00	381.37	0.00	-0.94	-0.94	420.54
1980 02 13 12	37670.40	0.00	314.03	0.00	-1.85	-1.85	354.18
1980 02 14 12	38016.00	0.00	360.64	0.00	-0.26	-0.26	441.06
1980 02 15 12	38016.00	0.00	176.45	0.00	1.69	1.69	537.96
1980 02 16 12	38197.02	7.23	108.36	0.00	4.32	4.32	776.75
1980 02 17 12	38361.60	0.00	326.56	0.00	-1.84	-1.84	311.41
1980 02 18 12	38361.60	0.00	403.61	0.00	-2.13	-2.13	290.13
1980 02 19 12	38707.20	0.00	377.01	0.00	1.32	1.32	492.70
1980 02 20 12	38707.20	0.00	348.57	0.00	4.90	4.90	723.14
