  29.87
  32.00
 346910054
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	36288.00	0.40	272.02	0.00	8.02	8.02	796.56
1980 01 02 12	36322.28	0.00	409.11	0.00	6.80	6.80	686.98
1980 01 03 12	36615.77	0.00	407.32	0.00	9.03	9.03	703.37
1980 01 04 12	36633.60	9.87	208.04	0.00	12.64	12.64	1110.15
1980 01 05 12	36633.60	0.42	410.87	0.00	9.18	9.18	947.18
1980 01 06 12	36633.60	0.00	414.00	0.00	4.07	4.07	584.48
1980 01 07 12	36633.60	0.00	405.18	0.00	8.75	8.75	732.29
1980 01 08 12	36633.60	0.04	354.31	0.00	14.91	14.91	1201.53
1980 01 09 12	36633.60	0.06	283.57	0.00	19.05	19.05	1565.39
1980 01 10 12	36633.60	0.00	355.95	0.00	19.04	19.04	1735.08
1980 01 11 12	36667.88	3.88	231.17	0.00	19.97	19.97	1953.91
1980 01 12 12	36979.20	2.96	224.54	0.00	19.31	19.31	1972.12
1980 01 13 12	36979.20	17.42	182.54	0.00	17.36	17.36	1773.20
1980 01 14 12	36979.20	15.89	212.12	0.00	15.27	15.27	1504.26
1980 01 15 12	36979.20	0.00	416.93	0.00	12.56	12.56	1162.60
1980 01 16 12	36979.20	0.71	411.60	0.00	15.21	15.21	1276.18
1980 01 17 12	36979.20	0.07	178.12	0.00	17.70	17.70	1648.60
1980 01 18 12	37306.97	0.58	331.07	0.00	19.75	19.75	1796.34
1980 01 19 12	37324.80	0.30	415.36	0.00	18.29	18.29	1656.21
1980 01 20 12	37324.80	0.34	426.51	0.00	15.77	15.77	1195.68
1980 01 21 12	37324.80	0.30	421.06	0.00	15.96	15.96	1094.36
1980 01 22 12	37324.80	0.32	408.86	0.00	18.17	18.17	1377.10
1980 01 23 12	37505.90	14.65	169.70	0.00	18.42	18.42	1833.51
1980 01 24 12	37670.40	0.08	445.36	0.00	6.61	6.61	615.71
1980 01 25 12	37670.40	0.00	188.90	0.00	10.49	10.49	1038.62
1980 01 26 12	37670.40	36.92	163.63	0.00	16.25	16.25	1671.57
1980 01 27 12	37670.40	8.56	259.56	0.00	18.76	18.76	1916.83
1980 01 28 12	37998.17	0.00	377.94	0.00	15.38	15.38	1389.95
1980 01 29 12	38016.00	0.00	440.66	0.00	12.76	12.76	1047.40
1980 01 30 12	38016.00	0.25	434.31	0.00	13.48	13.48	1107.78
1980 01 31 12	38016.00	5.82	201.84	0.00	15.03	15.03	1435.97
1980 02 01 12	38050.28	0.15	449.36	0.00	5.39	5.39	677.38
1980 02 02 12	38361.60	0.00	378.24	0.00	3.40	3.40	536.35
1980 02 03 12	38361.60	0.00	222.43	0.00	5.67	5.67	624.09
1980 02 04 12	38361.60	0.05	395.47	0.00	5.07	5.07	531.81
1980 02 05 12	38395.88	0.02	371.56	0.00	6.71	6.71	689.52
1980 02 06 12	38707.20	0.45	439.46	0.00	11.90	11.90	924.85
1980 02 07 12	38707.20	0.00	468.55	0.00	6.52	6.52	647.50
1980 02 08 12	38707.20	0.00	342.04	0.00	8.96	8.96	934.25
1980 02 09 12	38888.30	0.06	425.67	0.00	16.96	16.96	1464.74
1980 02 10 12	39052.80	3.37	417.87	0.00	17.18	17.18	1600.35
1980 02 11 12	39052.80	0.00	463.72	0.00	10.28	10.28	931.45
1980 02 12 12	39052.80	0.06	232.92	0.00	8.97	8.97	743.84
1980 02 13 12	39398.40	0.07	208.73	0.00	11.37	11.37	856.16
1980 02 14 12	39398.40	0.33	98.42	0.00	13.28	13.28	1174.20
1980 02 15 12	39398.40	2.35	323.85	0.00	16.43	16.43	1475.52
1980 02 16 12	39398.40	3.29	302.86	0.00	16.44	16.44	1516.26
1980 02 17 12	39744.00	0.85	386.93	0.00	11.78	11.78	1136.80
1980 02 18 12	39744.00	0.01	323.74	0.00	11.22	11.22	978.60
1980 02 19 12	39744.00	0.23	374.39	0.00	15.64	15.64	1290.34
1980 02 20 12	40089.60	0.00	339.46	0.00	16.19	16.19	1271.27
1980 02 21 12	40089.60	0.00	462.28	0.00	18.20	18.20	1635.92
1980 02 22 12	40089.60	0.00	475.10	0.00	20.85	20.85	1715.53
1980 02 23 12	40270.70	0.00	435.75	0.00	21.00	21.00	1979.00
1980 02 24 12	40435.20	31.30	335.29	0.00	21.82	21.82	2154.54
1980 02 25 12	40435.20	1.82	390.80	0.00	20.47	20.47	1969.23
1980 02 26 12	40435.20	0.00	526.55	0.00	8.50	8.50	751.42
1980 02 27 12	40780.80	0.00	466.23	0.00	6.10	6.10	538.63
1980 02 28 12	40780.80	0.00	510.41	0.00	10.31	10.31	887.46
1980 02 29 12	40780.80	1.97	375.79	0.00	13.17	13.17	1168.96
1980 03 01 12	41126.40	3.93	239.15	0.00	16.04	16.04	1449.87
1980 03 02 12	41126.40	1.19	367.56	0.00	11.06	11.06	1180.21
1980 03 03 12	41126.40	0.00	544.24	0.00	0.76	0.76	364.56
1980 03 04 12	41472.00	0.00	520.15	0.00	7.10	7.10	628.35
1980 03 05 12	41472.00	0.00	348.29	0.00	16.15	16.15	1340.53
1980 03 06 12	41472.00	0.37	496.30	0.00	19.51	19.51	1748.57
1980 03 07 12	41799.77	0.00	517.50	0.00	20.00	20.00	1681.33
1980 03 08 12	41817.60	13.97	221.42	0.00	20.28	20.28	1979.03
1980 03 09 12	41817.60	46.81	214.37	0.00	20.56	20.56	2205.16
1980 03 10 12	41817.60	6.05	319.39	0.00	19.90	19.90	2012.23
1980 03 11 12	42163.20	0.40	476.85	0.00	18.93	18.93	1686.93
1980 03 12 12	42163.20	2.36	376.76	0.00	19.74	19.74	1728.02
1980 03 13 12	42163.20	9.13	344.22	0.00	22.61	22.61	2292.62
1980 03 14 12	42508.80	0.00	547.64	0.00	16.57	16.57	1464.69
1980 03 15 12	42508.80	0.00	459.11	0.00	13.46	13.46	1083.04
1980 03 16 12	42508.80	0.00	412.90	0.00	17.18	17.18	1520.64
1980 03 17 12	42854.40	0.25	475.03	0.00	21.28	21.28	2023.63
1980 03 18 12	42854.40	7.68	337.53	0.00	21.35	21.35	2072.57
1980 03 19 12	42854.40	0.00	506.80	0.00	18.29	18.29	1667.48
1980 03 20 12	43200.00	1.55	393.82	0.00	22.50	22.50	2202.44
1980 03 21 12	43200.00	2.05	367.21	0.00	20.86	20.86	2028.84
1980 03 22 12	43200.00	0.00	579.16	0.00	12.31	12.31	873.96
1980 03 23 12	43545.60	0.00	564.47	0.00	14.37	14.37	1037.46
1980 03 24 12	43545.60	0.01	474.38	0.00	18.57	18.57	1622.63
1980 03 25 12	43545.60	0.06	531.35	0.00	21.36	21.36	1990.29
1980 03 26 12	43891.20	2.45	438.04	0.00	19.26	19.26	1606.81
1980 03 27 12	43891.20	0.00	190.67	0.00	18.70	18.70	1845.45
1980 03 28 12	43891.20	7.62	386.00	0.00	21.73	21.73	2180.89
1980 03 29 12	44236.80	7.71	191.63	0.00	20.81	20.81	2139.10
1980 03 30 12	44236.80	19.06	438.62	0.00	22.95	22.95	2375.78
1980 03 31 12	44236.80	0.05	574.97	0.00	21.00	21.00	1824.12
1980 04 01 12	44582.40	14.75	197.74	0.00	15.47	15.47	1400.15
1980 04 02 12	44582.40	14.72	264.06	0.00	17.85	17.85	1832.10
1980 04 03 12	44582.40	19.59	506.24	0.00	22.81	22.81	2287.16
1980 04 04 12	44600.23	6.87	425.71	0.00	24.31	24.31	2427.97
1980 04 05 12	44928.00	0.11	566.03	0.00	18.28	18.28	1532.76
1980 04 06 12	44928.00	0.00	467.01	0.00	14.87	14.87	1216.91
1980 04 07 12	44928.00	0.55	343.07	0.00	19.81	19.81	1850.81
1980 04 08 12	45273.60	4.09	362.03	0.00	22.99	22.99	2235.40
1980 04 09 12	45273.60	4.19	535.82	0.00	24.32	24.32	2378.25
1980 04 10 12	45273.60	0.00	597.55	0.00	19.51	19.51	1435.89
1980 04 11 12	45619.20	0.07	595.17	0.00	18.12	18.12	1166.01
1980 04 12 12	45619.20	0.73	469.89	0.00	20.94	20.94	1826.33
1980 04 13 12	45619.20	0.37	551.20	0.00	24.04	24.04	2142.41
1980 04 14 12	45964.80	13.37	348.58	0.00	21.43	21.43	2161.62
1980 04 15 12	45964.80	0.00	526.60	0.00	15.42	15.42	1255.22
1980 04 16 12	45964.80	0.00	603.19	0.00	15.30	15.30	1061.80
1980 04 17 12	46129.30	0.00	478.24	0.00	17.22	17.22	1152.44
1980 04 18 12	46310.40	0.08	531.68	0.00	18.83	18.83	1546.55
1980 04 19 12	46310.40	28.29	315.51	0.00	20.27	20.27	1885.30
1980 04 20 12	46310.40	1.90	426.09	0.00	19.44	19.44	1680.02
1980 04 21 12	46656.00	0.00	586.72	0.00	20.32	20.32	1542.05
1980 04 22 12	46656.00	0.00	594.80	0.00	21.09	21.09	1468.99
1980 04 23 12	46656.00	0.00	587.07	0.00	21.41	21.41	1611.29
1980 04 24 12	47001.60	0.00	583.25	0.00	21.85	21.85	1890.90
1980 04 25 12	47001.60	0.00	580.60	0.00	21.34	21.34	1816.75
1980 04 26 12	47001.60	5.77	425.59	0.00	22.80	22.80	1966.42
1980 04 27 12	47001.60	1.74	416.46	0.00	23.53	23.53	2258.28
1980 04 28 12	47347.20	0.05	534.12	0.00	18.88	18.88	1596.14
1980 04 29 12	47347.20	0.00	561.80	0.00	17.41	17.41	1353.11
1980 04 30 12	47347.20	1.03	497.99	0.00	18.89	18.89	1579.87
1980 05 01 12	47511.70	0.07	375.02	0.00	20.17	20.17	1823.22
1980 05 02 12	47692.80	1.42	442.79	0.00	21.20	21.20	1740.02
1980 05 03 12	47692.80	2.13	479.31	0.00	22.45	22.45	1826.33
1980 05 04 12	47692.80	0.11	397.31	0.00	22.87	22.87	2127.43
1980 05 05 12	48004.12	4.70	335.61	0.00	22.62	22.62	2163.26
1980 05 06 12	48038.40	0.00	605.27	0.00	22.79	22.79	1803.26
1980 05 07 12	48038.40	0.00	588.41	0.00	22.76	22.76	1897.11
1980 05 08 12	48038.40	23.91	300.21	0.00	22.06	22.06	2198.73
1980 05 09 12	48349.72	10.76	323.29	0.00	21.39	21.39	2147.75
1980 05 10 12	48384.00	0.01	486.03	0.00	20.31	20.31	1970.16
1980 05 11 12	48384.00	0.00	605.96	0.00	23.03	23.03	2040.59
1980 05 12 12	48384.00	0.00	606.86	0.00	23.23	23.23	1912.47
1980 05 13 12	48401.83	0.00	548.94	0.00	24.58	24.58	2190.36
1980 05 14 12	48729.60	5.08	495.18	0.00	25.77	25.77	2409.17
1980 05 15 12	48729.60	7.66	426.90	0.00	26.03	26.03	2546.79
1980 05 16 12	48729.60	3.93	318.50	0.00	25.78	25.78	2751.75
1980 05 17 12	48729.60	3.30	438.16	0.00	25.88	25.88	2593.67
1980 05 18 12	48894.10	3.38	264.30	0.00	25.38	25.38	2701.12
1980 05 19 12	49075.20	0.43	515.63	0.00	27.63	27.63	2741.18
1980 05 20 12	49075.20	0.58	453.08	0.00	27.41	27.41	2795.07
1980 05 21 12	49075.20	4.67	430.23	0.00	26.00	26.00	2607.29
1980 05 22 12	49075.20	20.89	322.51	0.00	25.88	25.88	2635.34
1980 05 23 12	49093.03	1.47	433.35	0.00	25.96	25.96	2530.21
1980 05 24 12	49420.80	7.41	340.32	0.00	25.74	25.74	2650.01
1980 05 25 12	49420.80	5.42	402.69	0.00	25.46	25.46	2531.39
1980 05 26 12	49420.80	2.76	431.41	0.00	25.04	25.04	2374.86
1980 05 27 12	49420.80	0.00	604.95	0.00	23.89	23.89	2189.61
1980 05 28 12	49420.80	0.00	613.04	0.00	22.91	22.91	1976.83
1980 05 29 12	49420.80	0.40	586.25	0.00	23.13	23.13	1995.01
1980 05 30 12	49732.12	0.00	577.78	0.00	23.35	23.35	2150.88
1980 05 31 12	49766.40	0.24	497.66	0.00	23.91	23.91	2308.32
1980 06 01 12	49766.40	0.00	570.79	0.00	24.37	24.37	2342.45
1980 06 02 12	49766.40	0.00	571.00	0.00	24.64	24.64	2364.91
1980 06 03 12	49766.40	0.00	604.73	0.00	25.94	25.94	2428.50
1980 06 04 12	49766.40	0.00	608.80	0.00	27.83	27.83	2581.21
1980 06 05 12	49766.40	0.00	552.99	0.00	28.23	28.23	2603.10
1980 06 06 12	49766.40	0.00	460.32	0.00	27.44	27.44	2819.22
1980 06 07 12	49784.23	0.00	488.41	0.00	25.51	25.51	2323.16
1980 06 08 12	50077.72	0.00	605.98	0.00	27.08	27.08	2527.09
1980 06 09 12	50112.00	1.51	426.99	0.00	27.34	27.34	2741.46
1980 06 10 12	50112.00	3.03	416.89	0.00	27.31	27.31	2702.47
1980 06 11 12	50112.00	0.01	557.27	0.00	26.54	26.54	2308.98
1980 06 12 12	50112.00	0.00	574.11	0.00	26.77	26.77	2459.29
