  33.71								
 165								
 577320463								
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)	DrainageDensity
1980 01 01 12	35251.2	0	287.81	0	5.76	5.76	768.09	0.65
1980 01 02 12	35251.2	0	246.02	0	4.63	4.63	634.99	0.65
1980 01 03 12	35268.21	1.77	117.64	0	5.54	5.54	716.87	0.65
1980 01 04 12	35404.62	11.06	243.36	0	6.37	6.37	865.4	0.65
1980 01 05 12	35536.19	0	218.09	0	2.16	2.16	577.12	0.65
1980 01 06 12	35596.8	0.92	310.35	0	2.24	2.24	542.54	0.65
1980 01 07 12	35596.8	9.29	112.23	0	4.56	4.56	759.04	0.65
1980 01 08 12	35596.8	2.28	192.16	0	7.5	7.5	902.68	0.65
1980 01 09 12	35596.8	0.42	240.16	0	9.07	9.07	964.68	0.65
1980 01 10 12	35596.8	0.33	151.76	0	10.61	10.61	1128.1	0.65
1980 01 11 12	35675.46	19.86	135.6	0	14.44	14.44	1487.86	0.65
1980 01 12 12	35932.83	0.37	242.74	0	5.45	5.45	571.49	0.65
1980 01 13 12	35942.4	0	151.5	0	6.67	6.67	692.75	0.65
1980 01 14 12	35942.4	0	293.1	0	10.43	10.43	1017.77	0.65
1980 01 15 12	35942.4	0	264.5	0	10.78	10.78	1027.29	0.65
1980 01 16 12	35942.4	2.57	97.14	0	9.62	9.62	1067.03	0.65
1980 01 17 12	36165.09	7.26	127.13	0	12.33	12.33	1349.93	0.65
1980 01 18 12	36288	7.56	290.88	0	14.41	14.41	1450.69	0.65
1980 01 19 12	36288	0.05	327.74	0	11.02	11.02	1009.72	0.65
1980 01 20 12	36288	0.02	318.49	0	12.11	12.11	967.19	0.65
1980 01 21 12	36305.01	11.24	79.87	0	8.51	8.51	983.14	0.65
1980 01 22 12	36624.03	42.24	79.22	0	10.67	10.67	1228.45	0.65
1980 01 23 12	36633.6	5.95	335.51	0	4.29	4.29	679.97	0.65
1980 01 24 12	36633.6	0.01	339.59	0	3.74	3.74	599.85	0.65
1980 01 25 12	36633.6	0.04	228.36	0	6.89	6.89	846.96	0.65
1980 01 26 12	36918.59	4.34	81.47	0	10.15	10.15	1142.01	0.65
1980 01 27 12	36979.2	0.35	172.11	0	9	9	1028.34	0.65
1980 01 28 12	36979.2	0.04	238.13	0	4.91	4.91	713.07	0.65
1980 01 29 12	36979.2	3.53	148.16	0	2.77	2.77	636.42	0.65
1980 01 30 12	37315.23	6.4	77.35	0	2.41	2.41	658.7	0.65
1980 01 31 12	37324.8	11.84	299.16	0	-0.03	-0.03	539.04	0.65
1980 02 01 12	37324.8	0.05	347.35	0	-4.87	-4.87	318.47	0.65
1980 02 02 12	37403.46	0	379.78	0	-6.07	-6.07	297.74	0.65
1980 02 03 12	37670.4	0	128.54	0	-2.41	-2.41	393.27	0.65
1980 02 04 12	37670.4	0	331.36	0	0.17	0.17	444.52	0.65
1980 02 05 12	37670.4	2.04	79.33	0	-0.37	-0.37	428.22	0.65
1980 02 06 12	38006.43	1.27	278.17	0	2.19	2.19	618.09	0.65
1980 02 07 12	38016	2.21	261.08	0	0.03	0.03	461.7	0.65
1980 02 08 12	38016	3.61	130.54	0	1.23	1.23	530.81	0.65
1980 02 09 12	38238.69	35.86	125.16	0	3.89	3.89	755.8	0.65
1980 02 10 12	38361.6	1.75	398.17	0	0.6	0.6	527.46	0.65
1980 02 11 12	38361.6	0	395.84	0	-0.33	-0.33	442.62	0.65
1980 02 12 12	38440.26	0	385.74	0	0.6	0.6	440.28	0.65
1980 02 13 12	38707.2	0	393.62	0	1.31	1.31	462.47	0.65
1980 02 14 12	38707.2	0	393.75	0	5.87	5.87	569.7	0.65
1980 02 15 12	38724.21	3.03	189.04	0	8.72	8.72	872.07	0.65
1980 02 16 12	39052.8	4.95	212.29	0	7.4	7.4	971.7	0.65
1980 02 17 12	39052.8	0	418.59	0	-2.95	-2.95	322.79	0.65
1980 02 18 12	39069.81	0.75	391.54	0	-0.29	-0.29	351.16	0.65
1980 02 19 12	39398.4	1.69	107.74	0	3.55	3.55	593.62	0.65
1980 02 20 12	39398.4	1.67	338.46	0	12.58	12.58	1299.8	0.65
1980 02 21 12	39415.41	0	285.67	0	16.92	16.92	1643.94	0.65
1980 02 22 12	39744	0	396.94	0	17.98	17.98	1683.96	0.65
1980 02 23 12	39744	0	402.66	0	17.6	17.6	1497.49	0.65
1980 02 24 12	39897.43	0	406.25	0	13.24	13.24	1139.97	0.65
1980 02 25 12	40089.6	0	403.81	0	8.39	8.39	801.41	0.65
1980 02 26 12	40089.6	0	432.64	0	-0.41	-0.41	331.79	0.65
1980 02 27 12	40425.63	0	429.76	0	3.68	3.68	476.75	0.65
1980 02 28 12	40435.2	0	420.19	0	8.79	8.79	855.58	0.65
1980 02 29 12	40435.2	4.52	281.1	0	5.93	5.93	750.3	0.65
1980 03 01 12	40780.8	9.03	140.81	0	3.08	3.08	644.93	0.65
1980 03 02 12	40780.8	0.05	396.4	0	-6.02	-6.02	301.54	0.65
1980 03 03 12	40780.8	1.19	483.79	0	-2.89	-2.89	304.76	0.65
1980 03 04 12	41126.4	1.22	318.02	0	2.33	2.33	553.13	0.65
1980 03 05 12	41126.4	16.96	409.59	0	11.84	11.84	1195.31	0.65
1980 03 06 12	41126.4	10.87	452.69	0	7.11	7.11	798.7	0.65
1980 03 07 12	41472	17.45	213.37	0	12.09	12.09	1326.33	0.65
1980 03 08 12	41472	6.91	370.51	0	17.86	17.86	1798.31	0.65
1980 03 09 12	41817.6	0.48	482.96	0	14.32	14.32	1179.89	0.65
1980 03 10 12	41817.6	0.62	474.91	0	14.11	14.11	1026.59	0.65
1980 03 11 12	41817.6	0	434.09	0	10.44	10.44	815.72	0.65
1980 03 12 12	42163.2	68.94	243.15	0	7.71	7.71	918.45	0.65
1980 03 13 12	42163.2	8.12	469.96	0	9.76	9.76	1068.8	0.65
1980 03 14 12	42163.2	0	507.44	0	7.69	7.69	724.66	0.65
1980 03 15 12	42508.8	0	465.76	0	8.25	8.25	701.53	0.65
1980 03 16 12	42508.8	18.68	115.31	0	11.22	11.22	1125.32	0.65
1980 03 17 12	42844.83	68.81	161.82	0	14.28	14.28	1556.98	0.65
1980 03 18 12	42854.4	6.49	508.69	0	8.98	8.98	919.46	0.65
1980 03 19 12	42854.4	2.05	211.85	0	7.53	7.53	806.96	0.65
1980 03 20 12	43200	28.86	242.16	0	14.47	14.47	1573.36	0.65
1980 03 21 12	43200	28.9	509.5	0	13.65	13.65	1274.05	0.65
1980 03 22 12	43200	0.25	519.42	0	7.68	7.68	702.38	0.65
1980 03 23 12	43545.6	0.66	235.94	0	10.71	10.71	854.55	0.65
1980 03 24 12	43545.6	26.07	415.12	0	14.45	14.45	1338.49	0.65
1980 03 25 12	43555.17	0.35	416.38	0	10.2	10.2	1022.84	0.65
1980 03 26 12	43891.2	0.96	294.48	0	11.32	11.32	1092.76	0.65
1980 03 27 12	43891.2	10.46	290.64	0	12.05	12.05	1220.53	0.65
1980 03 28 12	44236.8	52.51	236.41	0	15.41	15.41	1638.55	0.65
1980 03 29 12	44236.8	1.82	304.41	0	15.49	15.49	1555.37	0.65
1980 03 30 12	44236.8	4.06	478.9	0	16.05	16.05	1529.16	0.65
