  39.21
 211.00
 143682896
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	33523.20	0.00	251.70	0.00	0.96	0.96	519.30
1980 01 02 12	33523.20	0.44	253.84	0.00	0.42	0.42	510.38
1980 01 03 12	33523.20	0.01	141.97	0.00	-0.84	-0.84	478.15
1980 01 04 12	33523.20	0.08	177.80	0.00	-1.45	-1.45	489.69
1980 01 05 12	33523.20	0.33	110.57	0.00	-2.61	-2.61	447.61
1980 01 06 12	33704.24	0.02	223.63	0.00	-2.15	-2.15	465.76
1980 01 07 12	33868.80	0.31	269.16	0.00	-5.13	-5.13	355.69
1980 01 08 12	33868.80	0.00	262.86	0.00	-9.06	-9.06	245.70
1980 01 09 12	33868.80	0.34	270.27	0.00	-10.05	-10.05	240.86
1980 01 10 12	33868.80	0.40	229.61	0.00	-5.98	-5.98	392.55
1980 01 11 12	33868.80	4.77	253.99	0.00	3.76	3.76	683.03
1980 01 12 12	34170.68	0.05	251.64	0.00	-6.93	-6.93	235.39
1980 01 13 12	34214.40	0.05	195.36	0.00	-2.02	-2.02	405.41
1980 01 14 12	34214.40	0.42	271.19	0.00	0.11	0.11	517.65
1980 01 15 12	34214.40	0.00	208.29	0.00	2.49	2.49	634.70
1980 01 16 12	34395.44	2.15	158.05	0.00	6.94	6.94	833.27
1980 01 17 12	34560.00	0.04	272.91	0.00	4.51	4.51	682.14
1980 01 18 12	34560.00	0.00	277.34	0.00	1.48	1.48	541.70
1980 01 19 12	34560.00	1.43	174.05	0.00	1.63	1.63	523.35
1980 01 20 12	34741.04	0.14	235.88	0.00	1.10	1.10	521.06
1980 01 21 12	34905.60	0.00	81.50	0.00	-0.02	-0.02	440.33
1980 01 22 12	34905.60	0.84	219.24	0.00	1.28	1.28	543.59
1980 01 23 12	34905.60	0.00	285.73	0.00	-6.09	-6.09	259.16
1980 01 24 12	35251.20	1.48	206.75	0.00	-2.19	-2.19	446.08
1980 01 25 12	35251.20	0.46	284.46	0.00	2.15	2.15	588.64
1980 01 26 12	35251.20	0.00	107.46	0.00	-1.70	-1.70	336.11
1980 01 27 12	35596.80	0.00	99.78	0.00	-6.38	-6.38	222.99
1980 01 28 12	35596.80	0.00	178.10	0.00	-8.18	-8.18	180.48
1980 01 29 12	35596.80	0.00	276.25	0.00	-8.53	-8.53	148.56
1980 01 30 12	35942.40	6.94	113.25	0.00	-9.32	-9.32	238.37
1980 01 31 12	35942.40	2.47	243.40	0.00	-9.65	-9.65	250.95
1980 02 01 12	35942.40	0.00	324.17	0.00	-11.90	-11.90	198.09
1980 02 02 12	36288.00	0.00	278.54	0.00	-12.37	-12.37	192.53
1980 02 03 12	36288.00	0.00	174.34	0.00	-7.91	-7.91	282.28
