  31.06
  93.00
1320329310
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	36099.45	0.00	325.55	0.00	6.00	6.00	676.57
1980 01 02 12	36222.43	0.00	303.05	0.00	8.19	8.19	793.85
1980 01 03 12	36288.00	7.71	163.28	0.00	10.89	10.89	1173.43
1980 01 04 12	36288.00	0.05	327.35	0.00	6.45	6.45	781.24
1980 01 05 12	36288.00	0.02	326.22	0.00	5.97	5.97	668.45
1980 01 06 12	36288.00	0.02	287.44	0.00	8.46	8.46	955.17
1980 01 07 12	36288.00	1.18	211.63	0.00	15.97	15.97	1606.82
1980 01 08 12	36288.00	1.00	179.04	0.00	11.17	11.17	1157.94
1980 01 09 12	36313.40	8.67	270.61	0.00	10.70	10.70	1121.45
1980 01 10 12	36445.06	0.36	277.67	0.00	12.85	12.85	1362.74
1980 01 11 12	36620.04	17.07	319.94	0.00	19.79	19.79	1934.86
1980 01 12 12	36633.60	0.00	178.22	0.00	8.84	8.84	765.29
1980 01 13 12	36633.60	0.00	326.65	0.00	9.43	9.43	927.61
1980 01 14 12	36633.60	0.00	331.80	0.00	14.45	14.45	1315.20
1980 01 15 12	36633.60	0.02	328.85	0.00	15.03	15.03	1447.78
1980 01 16 12	36692.12	0.81	267.39	0.00	18.40	18.40	1880.89
1980 01 17 12	36965.63	3.37	277.61	0.00	18.22	18.22	1826.59
1980 01 18 12	36979.20	0.00	337.35	0.00	18.32	18.32	1653.28
1980 01 19 12	36979.20	0.00	338.56	0.00	14.59	14.59	1339.87
1980 01 20 12	36979.20	1.00	173.71	0.00	16.46	16.46	1597.40
1980 01 21 12	37004.60	7.99	141.97	0.00	16.24	16.24	1677.54
1980 01 22 12	37259.23	65.00	90.18	0.00	15.59	15.59	1712.48
1980 01 23 12	37324.80	2.37	333.84	0.00	6.65	6.65	747.31
1980 01 24 12	37324.80	1.89	354.20	0.00	6.56	6.56	711.01
1980 01 25 12	37324.80	1.05	78.30	0.00	10.22	10.22	1126.12
1980 01 26 12	37383.32	2.15	341.97	0.00	13.39	13.39	1356.02
1980 01 27 12	37670.40	0.00	259.65	0.00	10.45	10.45	1075.76
1980 01 28 12	37670.40	0.00	263.94	0.00	9.72	9.72	979.61
1980 01 29 12	37670.40	2.56	121.38	0.00	8.57	8.57	996.87
1980 01 30 12	37676.91	1.45	244.80	0.00	11.35	11.35	1247.05
1980 01 31 12	38002.43	6.30	275.55	0.00	5.14	5.14	776.80
1980 02 01 12	38016.00	0.00	385.29	0.00	-0.97	-0.97	385.80
1980 02 02 12	38016.00	0.06	172.30	0.00	0.39	0.39	400.81
1980 02 03 12	38022.51	0.00	381.06	0.00	4.47	4.47	605.26
1980 02 04 12	38361.60	0.00	380.69	0.00	5.69	5.69	686.07
1980 02 05 12	38361.60	3.05	243.29	0.00	8.46	8.46	963.33
1980 02 06 12	38361.60	0.25	394.07	0.00	8.51	8.51	819.60
1980 02 07 12	38420.12	0.00	273.36	0.00	5.37	5.37	633.00
1980 02 08 12	38707.20	26.44	95.65	0.00	9.03	9.03	1035.48
1980 02 09 12	38707.20	58.48	117.38	0.00	6.07	6.07	910.50
1980 02 10 12	38707.20	0.25	371.42	0.00	2.59	2.59	593.25
1980 02 11 12	38923.20	0.00	352.64	0.00	3.71	3.71	575.09
1980 02 12 12	39052.80	0.00	245.53	0.00	6.31	6.31	675.97
1980 02 13 12	39052.80	0.00	218.33	0.00	6.99	6.99	768.14
1980 02 14 12	39059.31	0.00	296.95	0.00	11.29	11.29	1149.82
1980 02 15 12	39398.40	0.17	374.68	0.00	17.11	17.11	1698.71
1980 02 16 12	39398.40	5.00	89.13	0.00	10.38	10.38	1195.28
1980 02 17 12	39398.40	0.30	413.16	0.00	0.96	0.96	455.60
1980 02 18 12	39744.00	0.02	191.08	0.00	2.84	2.84	525.62
1980 02 19 12	39744.00	0.00	372.70	0.00	13.15	13.15	1308.64
1980 02 20 12	39744.00	0.04	405.31	0.00	17.65	17.65	1778.72
1980 02 21 12	39960.00	0.05	183.35	0.00	18.25	18.25	1893.28
1980 02 22 12	40089.60	0.00	377.88	0.00	17.99	17.99	1673.57
1980 02 23 12	40089.60	0.00	402.82	0.00	17.51	17.51	1482.23
1980 02 24 12	40115.00	0.00	411.35	0.00	17.42	17.42	1423.76
1980 02 25 12	40435.20	0.00	431.06	0.00	14.71	14.71	1171.55
1980 02 26 12	40435.20	0.00	445.28	0.00	4.46	4.46	517.28
1980 02 27 12	40435.20	0.92	434.40	0.00	7.50	7.50	737.23
1980 02 28 12	40780.80	1.08	427.66	0.00	13.46	13.46	1243.91
1980 02 29 12	40780.80	14.00	365.93	0.00	11.43	11.43	1191.36
1980 03 01 12	40780.80	26.91	304.21	0.00	9.40	9.40	1138.78
1980 03 02 12	41126.40	0.00	472.83	0.00	-2.51	-2.51	285.99
1980 03 03 12	41126.40	0.37	447.22	0.00	1.47	1.47	426.29
1980 03 04 12	41126.40	1.62	256.08	0.00	10.53	10.53	1107.47
1980 03 05 12	41472.00	1.95	456.48	0.00	13.34	13.34	1248.97
1980 03 06 12	41472.00	2.56	446.06	0.00	10.67	10.67	1111.18
1980 03 07 12	41472.00	0.25	400.11	0.00	19.48	19.48	1995.09
1980 03 08 12	41817.60	0.00	399.17	0.00	21.97	21.97	2210.08
1980 03 09 12	41817.60	0.23	439.74	0.00	19.44	19.44	1673.45
1980 03 10 12	41817.60	0.29	437.17	0.00	20.17	20.17	1861.18
1980 03 11 12	42163.20	0.00	405.38	0.00	20.19	20.19	1781.35
1980 03 12 12	42163.20	0.99	436.92	0.00	21.22	21.22	2044.21
1980 03 13 12	42163.20	0.00	481.09	0.00	16.29	16.29	1322.66
1980 03 14 12	42508.80	0.00	461.83	0.00	10.94	10.94	786.16
1980 03 15 12	42508.80	0.06	426.40	0.00	12.76	12.76	997.61
1980 03 16 12	42508.80	7.89	253.38	0.00	18.44	18.44	1866.34
