  47.32
 463.00
2418014854
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	30067.20	0.00	193.24	0.00	-7.92	-7.92	298.98
1980 01 02 12	30070.79	0.01	169.55	0.00	-12.59	-12.59	180.85
1980 01 03 12	30109.20	0.06	204.62	0.00	-12.40	-12.40	166.89
1980 01 04 12	30210.22	0.80	94.47	0.00	-10.15	-10.15	255.52
1980 01 05 12	30381.95	0.00	100.58	0.00	-7.48	-7.48	312.33
1980 01 06 12	30412.80	14.93	151.44	0.00	-6.27	-6.27	350.87
1980 01 07 12	30416.39	0.86	188.15	0.00	-18.91	-18.91	117.05
1980 01 08 12	30497.28	0.00	214.48	0.00	-24.11	-24.11	69.25
1980 01 09 12	30672.94	0.05	213.83	0.00	-29.32	-29.32	43.94
1980 01 10 12	30758.40	0.33	159.32	0.00	-17.14	-17.14	155.00
1980 01 11 12	30761.99	1.05	113.70	0.00	-16.50	-16.50	165.73
1980 01 12 12	30901.42	0.00	221.12	0.00	-22.73	-22.73	88.00
1980 01 13 12	31073.15	0.39	225.81	0.00	-7.57	-7.57	336.57
1980 01 14 12	31104.00	0.77	171.47	0.00	-9.91	-9.91	233.90
1980 01 15 12	31188.48	3.68	214.87	0.00	-4.35	-4.35	419.08
1980 01 16 12	31418.75	0.00	235.67	0.00	-8.24	-8.24	324.31
1980 01 17 12	31449.60	0.00	233.49	0.00	-13.02	-13.02	216.75
1980 01 18 12	31534.08	0.00	234.41	0.00	-11.58	-11.58	242.79
1980 01 19 12	31792.56	0.00	243.66	0.00	-11.87	-11.87	218.62
1980 01 20 12	31795.20	0.00	214.02	0.00	-13.46	-13.46	196.67
1980 01 21 12	31938.22	0.07	180.63	0.00	-9.73	-9.73	276.97
1980 01 22 12	32140.80	0.24	233.22	0.00	-11.92	-11.92	220.73
1980 01 23 12	32158.29	0.00	207.41	0.00	-18.55	-18.55	120.45
1980 01 24 12	32455.55	5.39	93.48	0.00	-8.88	-8.88	299.74
1980 01 25 12	32486.40	0.19	264.14	0.00	-16.93	-16.93	142.89
1980 01 26 12	32689.45	0.00	195.56	0.00	-23.40	-23.40	74.45
1980 01 27 12	32832.00	0.00	147.66	0.00	-20.82	-20.82	91.74
1980 01 28 12	32916.48	0.00	151.84	0.00	-19.77	-19.77	99.19
1980 01 29 12	33177.60	0.00	212.89	0.00	-21.93	-21.93	78.68
1980 01 30 12	33195.09	0.00	193.66	0.00	-20.51	-20.51	80.71
1980 01 31 12	33523.20	0.00	227.60	0.00	-19.16	-19.16	98.30
1980 02 01 12	33526.79	0.00	266.80	0.00	-18.86	-18.86	113.22
1980 02 02 12	33866.16	0.00	164.05	0.00	-13.53	-13.53	169.79
1980 02 03 12	33868.80	0.00	268.37	0.00	-12.67	-12.67	188.09
1980 02 04 12	34211.76	4.74	156.81	0.00	-12.43	-12.43	208.99
1980 02 05 12	34214.40	2.34	171.21	0.00	-8.65	-8.65	284.38
