  44.32
2537.00
1087330020
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	31382.18	1.35	190.70	0.00	-5.21	-5.21	377.59
1980 01 02 12	31445.46	4.67	217.34	0.00	-6.63	-6.63	328.90
1980 01 03 12	31449.60	1.32	119.23	0.00	-7.88	-7.88	301.06
1980 01 04 12	31449.60	10.12	186.96	0.00	-6.04	-6.04	360.83
1980 01 05 12	31463.03	6.95	160.36	0.00	-3.88	-3.88	404.82
1980 01 06 12	31620.46	10.73	215.45	0.00	-12.21	-12.21	213.27
1980 01 07 12	31767.40	0.12	160.91	0.00	-16.84	-16.84	129.36
1980 01 08 12	31795.20	5.66	204.39	0.00	-12.97	-12.97	198.10
1980 01 09 12	31795.20	5.39	203.04	0.00	-6.29	-6.29	338.45
1980 01 10 12	31845.19	28.96	217.52	0.00	-4.44	-4.44	384.22
1980 01 11 12	32021.03	2.36	209.50	0.00	-15.66	-15.66	141.06
1980 01 12 12	32140.80	23.01	176.93	0.00	-4.89	-4.89	408.01
1980 01 13 12	32140.80	5.92	193.94	0.00	-0.82	-0.82	520.73
1980 01 14 12	32190.80	11.98	194.60	0.00	-0.44	-0.44	555.45
1980 01 15 12	32458.60	0.11	168.64	0.00	-3.76	-3.76	418.33
1980 01 16 12	32486.40	5.37	230.99	0.00	-7.28	-7.28	314.22
1980 01 17 12	32499.83	0.29	207.33	0.00	-7.63	-7.63	308.46
1980 01 18 12	32712.22	2.34	217.03	0.00	-8.14	-8.14	276.81
1980 01 19 12	32832.00	0.01	248.82	0.00	-12.96	-12.96	170.01
1980 01 20 12	32832.18	0.30	247.97	0.00	-12.13	-12.13	134.87
1980 01 21 12	33057.82	0.00	251.62	0.00	-9.58	-9.58	239.26
1980 01 22 12	33177.60	0.04	248.42	0.00	-14.17	-14.17	155.07
1980 01 23 12	33191.04	0.05	250.36	0.00	-10.75	-10.75	233.35
1980 01 24 12	33495.40	1.19	242.90	0.00	-10.24	-10.24	241.87
1980 01 25 12	33523.20	4.09	138.77	0.00	-11.00	-11.00	230.99
1980 01 26 12	33573.19	0.00	159.82	0.00	-17.66	-17.66	123.56
1980 01 27 12	33868.80	1.28	168.33	0.00	-19.38	-19.38	102.73
1980 01 28 12	33868.80	0.17	281.74	0.00	-22.27	-22.27	70.40
1980 01 29 12	34146.98	0.22	228.04	0.00	-20.30	-20.30	92.46
1980 01 30 12	34214.40	0.03	281.13	0.00	-20.41	-20.41	89.93
1980 01 31 12	34264.39	0.01	272.97	0.00	-17.01	-17.01	104.29
1980 02 01 12	34560.00	0.00	188.18	0.00	-9.21	-9.21	234.53
1980 02 02 12	34560.00	0.64	279.95	0.00	-7.10	-7.10	329.80
1980 02 03 12	34901.46	1.62	217.51	0.00	-3.59	-3.59	418.27
1980 02 04 12	34905.60	2.74	296.46	0.00	-5.16	-5.16	369.76
1980 02 05 12	35183.78	0.23	261.73	0.00	-11.20	-11.20	218.72
1980 02 06 12	35251.20	2.07	225.05	0.00	-5.57	-5.57	333.18
1980 02 07 12	35422.06	3.22	307.98	0.00	-5.52	-5.52	354.50
1980 02 08 12	35596.80	0.00	314.02	0.00	-13.51	-13.51	155.59
1980 02 09 12	35646.80	0.00	311.80	0.00	-10.01	-10.01	163.18
1980 02 10 12	35942.40	0.01	316.87	0.00	-12.23	-12.23	180.80
1980 02 11 12	35955.83	0.01	318.96	0.00	-10.52	-10.52	208.22
1980 02 12 12	36288.00	0.18	272.25	0.00	-11.01	-11.01	222.46
1980 02 13 12	36288.18	5.61	284.42	0.00	-7.39	-7.39	299.47
1980 02 14 12	36633.60	8.00	274.47	0.00	-5.89	-5.89	337.29
1980 02 15 12	36633.60	9.83	263.35	0.00	-3.94	-3.94	414.19
1980 02 16 12	36979.20	1.32	285.89	0.00	-6.31	-6.31	347.82
1980 02 17 12	36979.20	4.95	249.88	0.00	-4.68	-4.68	383.81
1980 02 18 12	37324.80	9.43	279.91	0.00	-1.05	-1.05	524.68
1980 02 19 12	37324.80	4.42	234.37	0.00	-1.80	-1.80	473.10
1980 02 20 12	37670.40	6.69	282.82	0.00	-2.36	-2.36	455.23
1980 02 21 12	37670.40	4.46	256.85	0.00	-4.59	-4.59	378.93
1980 02 22 12	38016.00	8.23	240.59	0.00	-4.50	-4.50	372.94
1980 02 23 12	38016.18	2.96	263.38	0.00	-6.79	-6.79	299.60
1980 02 24 12	38361.60	0.37	356.93	0.00	-7.98	-7.98	270.40
1980 02 25 12	38375.04	0.00	235.41	0.00	-9.44	-9.44	251.93
1980 02 26 12	38707.20	0.01	212.81	0.00	-3.21	-3.21	419.04
1980 02 27 12	38809.93	0.00	328.58	0.00	-1.06	-1.06	455.43
1980 02 28 12	39052.80	0.15	320.49	0.00	-2.77	-2.77	378.52
1980 02 29 12	39278.62	0.27	354.42	0.00	-5.24	-5.24	339.47
1980 03 01 12	39398.40	0.39	389.01	0.00	-7.70	-7.70	300.41
1980 03 02 12	39744.00	1.69	321.85	0.00	-5.16	-5.16	330.13
1980 03 03 12	39744.00	4.11	320.03	0.00	-2.74	-2.74	431.15
1980 03 04 12	40089.60	9.01	334.33	0.00	-4.38	-4.38	383.36
1980 03 05 12	40089.60	5.17	333.34	0.00	-4.46	-4.46	364.08
1980 03 06 12	40435.20	5.53	337.91	0.00	-5.57	-5.57	320.27
1980 03 07 12	40435.20	1.89	387.72	0.00	-7.95	-7.95	252.33
1980 03 08 12	40780.80	0.24	345.26	0.00	-6.50	-6.50	289.74
1980 03 09 12	40780.80	0.18	367.96	0.00	-5.65	-5.65	317.25
1980 03 10 12	41126.40	0.51	293.05	0.00	-3.20	-3.20	399.57
1980 03 11 12	41229.13	0.12	309.24	0.00	-2.96	-2.96	390.34
1980 03 12 12	41472.00	7.07	301.67	0.00	-6.37	-6.37	280.04
1980 03 13 12	41817.60	0.97	284.46	0.00	-7.82	-7.82	268.79
1980 03 14 12	41817.60	8.80	325.86	0.00	-2.22	-2.22	429.56
1980 03 15 12	42163.20	9.52	276.26	0.00	-1.82	-1.82	386.01
1980 03 16 12	42163.20	5.32	384.41	0.00	-11.15	-11.15	185.75
1980 03 17 12	42508.80	0.01	359.57	0.00	-11.57	-11.57	190.71
1980 03 18 12	42508.80	2.75	322.01	0.00	-5.20	-5.20	316.12
1980 03 19 12	42854.40	1.11	298.82	0.00	-6.62	-6.62	290.94
1980 03 20 12	42854.40	0.86	437.77	0.00	-7.58	-7.58	281.86
1980 03 21 12	43200.00	0.87	438.28	0.00	-4.02	-4.02	357.41
1980 03 22 12	43545.60	0.55	445.90	0.00	-7.52	-7.52	279.21
1980 03 23 12	43545.60	0.00	346.66	0.00	-6.39	-6.39	279.99
1980 03 24 12	43891.20	1.67	331.58	0.00	-6.32	-6.32	281.67
1980 03 25 12	43891.20	6.59	323.19	0.00	-8.06	-8.06	276.56
1980 03 26 12	44236.80	7.12	394.88	0.00	-8.96	-8.96	247.21
1980 03 27 12	44236.80	1.49	407.40	0.00	-6.80	-6.80	283.81
1980 03 28 12	44582.40	0.32	468.40	0.00	-6.96	-6.96	256.81
1980 03 29 12	44582.40	0.47	466.17	0.00	-7.36	-7.36	265.47
1980 03 30 12	44928.00	11.98	397.35	0.00	-4.59	-4.59	348.33
1980 03 31 12	45170.87	3.19	296.81	0.00	-6.12	-6.12	317.17
1980 04 01 12	45273.60	1.43	387.91	0.00	-4.60	-4.60	346.99
1980 04 02 12	45619.20	0.52	409.05	0.00	-4.27	-4.27	323.54
1980 04 03 12	45619.20	0.66	308.73	0.00	-3.63	-3.63	298.16
1980 04 04 12	45964.80	2.72	326.91	0.00	-2.57	-2.57	337.99
1980 04 05 12	45964.80	4.96	443.38	0.00	-0.72	-0.72	425.17
1980 04 06 12	46310.40	4.40	435.65	0.00	-0.91	-0.91	391.94
1980 04 07 12	46310.40	4.99	261.27	0.00	-5.56	-5.56	243.96
1980 04 08 12	46656.00	0.34	384.63	0.00	-8.65	-8.65	209.39
1980 04 09 12	46656.00	2.28	393.42	0.00	-2.24	-2.24	397.34
