  33.16
1814.00
 781842062
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	35593.65	0.00	314.98	0.00	8.67	8.67	377.99
1980 01 02 12	35596.80	0.00	355.46	0.00	8.19	8.19	414.41
1980 01 03 12	35596.80	0.00	356.15	0.00	4.52	4.52	366.55
1980 01 04 12	35596.80	0.00	352.86	0.00	5.17	5.17	350.00
1980 01 05 12	35596.80	0.00	363.14	0.00	7.32	7.32	270.26
1980 01 06 12	35596.80	0.00	280.11	0.00	7.94	7.94	292.49
1980 01 07 12	35596.80	0.54	259.62	0.00	7.59	7.59	332.21
1980 01 08 12	35665.73	0.00	218.69	0.00	7.59	7.59	543.38
1980 01 09 12	35887.70	1.10	172.97	0.00	6.45	6.45	558.68
1980 01 10 12	35942.40	10.97	133.43	0.00	6.05	6.05	754.70
1980 01 11 12	35942.40	5.92	117.38	0.00	5.93	5.93	795.25
1980 01 12 12	35942.40	0.43	279.26	0.00	7.46	7.46	853.80
1980 01 13 12	35942.40	0.00	348.43	0.00	9.48	9.48	908.31
1980 01 14 12	35964.58	1.43	147.07	0.00	8.99	8.99	859.24
1980 01 15 12	36233.30	5.28	356.69	0.00	8.15	8.15	828.15
1980 01 16 12	36288.00	0.57	362.58	0.00	6.40	6.40	648.93
1980 01 17 12	36288.00	0.00	364.17	0.00	6.86	6.86	605.50
1980 01 18 12	36288.00	10.30	211.51	0.00	6.97	6.97	599.58
1980 01 19 12	36288.00	2.14	286.86	0.00	6.16	6.16	625.17
1980 01 20 12	36578.90	2.32	284.51	0.00	5.94	5.94	564.75
1980 01 21 12	36633.60	1.63	210.76	0.00	6.55	6.55	600.17
1980 01 22 12	36633.60	7.31	335.00	0.00	5.38	5.38	612.72
1980 01 23 12	36633.60	0.00	395.64	0.00	3.73	3.73	408.94
1980 01 24 12	36702.54	0.00	399.77	0.00	3.84	3.84	311.11
1980 01 25 12	36979.20	0.15	391.70	0.00	6.14	6.14	322.37
1980 01 26 12	36979.20	2.05	389.55	0.00	5.46	5.46	335.32
1980 01 27 12	36979.20	2.42	389.76	0.00	5.86	5.86	462.41
1980 01 28 12	37048.13	0.35	228.73	0.00	5.29	5.29	481.85
1980 01 29 12	37324.80	3.18	103.14	0.00	6.01	6.01	643.37
1980 01 30 12	37324.80	6.90	140.79	0.00	7.38	7.38	831.84
1980 01 31 12	37324.80	0.47	306.43	0.00	9.08	9.08	853.96
1980 02 01 12	37458.70	0.20	354.94	0.00	10.14	10.14	825.19
1980 02 02 12	37670.40	0.00	400.02	0.00	9.56	9.56	566.83
1980 02 03 12	37670.40	0.00	403.41	0.00	10.91	10.91	357.27
1980 02 04 12	37670.40	0.00	401.42	0.00	14.05	14.05	395.91
1980 02 05 12	38016.00	0.00	405.28	0.00	12.95	12.95	374.59
1980 02 06 12	38016.00	0.00	367.18	0.00	12.18	12.18	422.97
1980 02 07 12	38016.00	0.93	410.64	0.00	10.47	10.47	500.63
1980 02 08 12	38149.90	24.74	184.59	0.00	3.39	3.39	393.82
1980 02 09 12	38361.60	5.64	374.38	0.00	2.12	2.12	498.11
1980 02 10 12	38361.60	0.00	429.05	0.00	2.23	2.23	368.99
1980 02 11 12	38383.78	0.00	430.63	0.00	3.73	3.73	329.10
1980 02 12 12	38707.20	2.94	397.74	0.00	5.81	5.81	355.21
1980 02 13 12	38707.20	1.86	193.25	0.00	4.37	4.37	529.49
1980 02 14 12	38707.20	40.87	236.97	0.00	7.26	7.26	870.55
1980 02 15 12	39052.80	23.44	189.87	0.00	6.70	6.70	849.16
1980 02 16 12	39052.80	2.42	378.69	0.00	6.31	6.31	740.78
1980 02 17 12	39052.80	9.20	132.99	0.00	6.29	6.29	717.78
1980 02 18 12	39398.40	2.40	155.84	0.00	7.16	7.16	863.64
1980 02 19 12	39398.40	8.20	235.39	0.00	8.55	8.55	923.57
1980 02 20 12	39398.40	11.49	170.16	0.00	7.11	7.11	693.26
1980 02 21 12	39744.00	1.46	210.69	0.00	5.67	5.67	646.54
1980 02 22 12	39744.00	0.18	435.69	0.00	7.26	7.26	625.69
1980 02 23 12	39744.00	0.00	457.18	0.00	7.72	7.72	500.88
1980 02 24 12	40089.60	0.00	453.38	0.00	8.11	8.11	472.67
1980 02 25 12	40089.60	0.00	454.69	0.00	9.45	9.45	404.69
1980 02 26 12	40089.60	0.00	464.86	0.00	10.72	10.72	426.89
1980 02 27 12	40435.20	0.00	465.05	0.00	12.29	12.29	392.01
1980 02 28 12	40435.20	0.00	463.64	0.00	13.57	13.57	399.48
1980 02 29 12	40435.20	0.00	474.95	0.00	11.90	11.90	439.85
1980 03 01 12	40780.80	0.00	482.15	0.00	10.22	10.22	480.21
1980 03 02 12	40780.80	0.00	426.89	0.00	8.96	8.96	385.53
1980 03 03 12	40849.73	9.74	223.56	0.00	8.35	8.35	558.84
1980 03 04 12	41126.40	4.83	351.89	0.00	7.80	7.80	677.19
1980 03 05 12	41126.40	0.00	488.54	0.00	7.53	7.53	612.54
1980 03 06 12	41472.00	0.00	325.89	0.00	8.84	8.84	518.38
1980 03 07 12	41472.00	1.99	345.77	0.00	7.11	7.11	582.98
1980 03 08 12	41472.00	0.00	486.08	0.00	8.72	8.72	550.33
1980 03 09 12	41817.60	0.00	483.73	0.00	8.87	8.87	463.83
1980 03 10 12	41817.60	0.00	377.37	0.00	9.38	9.38	499.00
1980 03 11 12	41817.60	11.50	259.42	0.00	7.87	7.87	720.47
1980 03 12 12	42163.20	0.02	495.95	0.00	7.93	7.93	679.23
1980 03 13 12	42163.20	0.00	506.92	0.00	9.10	9.10	502.35
1980 03 14 12	42163.20	0.00	493.43	0.00	12.20	12.20	485.12
1980 03 15 12	42508.80	0.00	486.04	0.00	12.60	12.60	592.13
1980 03 16 12	42508.80	0.00	523.31	0.00	11.09	11.09	492.75
1980 03 17 12	42854.40	0.00	536.73	0.00	7.32	7.32	355.40
1980 03 18 12	42854.40	0.00	440.56	0.00	8.06	8.06	301.52
1980 03 19 12	42854.40	2.99	262.98	0.00	7.52	7.52	426.60
1980 03 20 12	43200.00	0.00	523.06	0.00	6.02	6.02	488.13
1980 03 21 12	43200.00	0.00	535.60	0.00	10.36	10.36	398.99
1980 03 22 12	43200.00	0.41	449.53	0.00	9.65	9.65	407.80
1980 03 23 12	43545.60	0.38	295.85	0.00	5.20	5.20	437.26
1980 03 24 12	43545.60	0.00	453.58	0.00	7.30	7.30	461.77
1980 03 25 12	43545.60	0.00	451.74	0.00	8.99	8.99	455.30
1980 03 26 12	43891.20	0.00	246.98	0.00	7.89	7.89	455.04
1980 03 27 12	43891.20	5.94	313.74	0.00	6.16	6.16	596.24
1980 03 28 12	44236.80	0.03	432.63	0.00	6.40	6.40	522.66
1980 03 29 12	44236.80	0.00	546.33	0.00	6.20	6.20	340.49
1980 03 30 12	44236.80	0.00	560.16	0.00	8.09	8.09	343.32
1980 03 31 12	44582.40	1.38	546.31	0.00	8.52	8.52	357.92
1980 04 01 12	44582.40	0.71	559.68	0.00	6.77	6.77	334.54
1980 04 02 12	44582.40	0.20	432.85	0.00	8.47	8.47	467.38
1980 04 03 12	44928.00	0.00	550.50	0.00	8.95	8.95	447.55
1980 04 04 12	44928.00	0.00	457.63	0.00	11.72	11.72	421.70
1980 04 05 12	44928.00	0.00	576.67	0.00	13.27	13.27	421.68
1980 04 06 12	45273.60	0.00	582.78	0.00	12.00	12.00	431.39
1980 04 07 12	45273.60	0.00	587.75	0.00	12.30	12.30	471.82
1980 04 08 12	45550.27	0.00	589.18	0.00	13.44	13.44	337.04
1980 04 09 12	45619.20	0.00	590.25	0.00	15.43	15.43	315.75
1980 04 10 12	45619.20	0.00	591.28	0.00	15.99	15.99	420.32
1980 04 11 12	45964.80	0.00	592.98	0.00	15.01	15.01	374.01
1980 04 12 12	45964.80	0.00	399.70	0.00	9.43	9.43	345.16
1980 04 13 12	45964.80	0.00	540.51	0.00	8.68	8.68	371.89
1980 04 14 12	46310.40	0.00	595.71	0.00	10.53	10.53	347.08
1980 04 15 12	46310.40	0.00	596.15	0.00	14.63	14.63	372.71
1980 04 16 12	46310.40	0.00	598.97	0.00	17.28	17.28	414.35
1980 04 17 12	46656.00	0.00	599.87	0.00	18.28	18.28	360.74
1980 04 18 12	46656.00	0.00	598.03	0.00	19.13	19.13	364.43
1980 04 19 12	46656.00	0.00	599.93	0.00	19.82	19.82	375.96
1980 04 20 12	47001.60	0.00	294.57	0.00	21.72	21.72	459.05
1980 04 21 12	47001.60	1.11	324.35	0.00	18.80	18.80	667.21
1980 04 22 12	47001.60	0.00	436.31	0.00	16.05	16.05	484.36
1980 04 23 12	47347.20	0.00	542.65	0.00	11.21	11.21	429.92
1980 04 24 12	47347.20	0.48	442.23	0.00	7.86	7.86	413.51
1980 04 25 12	47347.20	0.00	575.56	0.00	11.15	11.15	500.08
1980 04 26 12	47692.80	0.00	585.53	0.00	15.19	15.19	609.30
1980 04 27 12	47692.80	0.00	516.69	0.00	17.86	17.86	512.98
1980 04 28 12	47692.80	0.00	570.74	0.00	18.02	18.02	478.91
1980 04 29 12	48016.22	0.91	398.42	0.00	15.76	15.76	713.50
1980 04 30 12	48038.40	0.86	377.36	0.00	11.18	11.18	613.76
1980 05 01 12	48038.40	0.02	331.99	0.00	11.52	11.52	621.04
1980 05 02 12	48250.10	0.00	502.44	0.00	14.89	14.89	660.66
1980 05 03 12	48384.00	0.36	542.82	0.00	17.12	17.12	629.35
1980 05 04 12	48384.00	0.42	586.50	0.00	18.07	18.07	669.29
1980 05 05 12	48384.00	0.18	533.93	0.00	19.85	19.85	667.78
1980 05 06 12	48729.60	0.98	591.51	0.00	19.18	19.18	628.47
1980 05 07 12	48729.60	0.00	552.99	0.00	18.45	18.45	664.94
1980 05 08 12	48729.60	0.00	607.82	0.00	17.04	17.04	615.65
1980 05 09 12	48941.30	0.00	611.36	0.00	16.56	16.56	527.70
1980 05 10 12	49075.20	0.00	610.30	0.00	15.67	15.67	444.05
1980 05 11 12	49075.20	0.35	334.07	0.00	15.02	15.02	526.80
1980 05 12 12	49075.20	0.00	595.40	0.00	11.96	11.96	526.09
1980 05 13 12	49351.87	0.00	546.74	0.00	13.98	13.98	399.18
1980 05 14 12	49420.80	0.00	391.89	0.00	16.78	16.78	522.67
1980 05 15 12	49420.80	2.11	508.96	0.00	14.71	14.71	584.24
1980 05 16 12	49420.80	0.00	584.36	0.00	15.18	15.18	650.02
