  47.35
1231.00
  211511578
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	30067.20	19.68	75.94	0.00	2.95	2.95	688.86
1980 01 02 12	30067.20	5.70	75.97	0.00	1.86	1.86	621.36
1980 01 03 12	30067.20	1.50	214.33	0.00	-0.28	-0.28	496.64
1980 01 04 12	30067.20	7.27	172.32	0.00	-0.51	-0.51	476.39
1980 01 05 12	30315.53	13.91	154.07	0.00	-0.36	-0.36	520.28
1980 01 06 12	30412.80	1.33	230.82	0.00	-5.33	-5.33	321.82
1980 01 07 12	30412.80	0.02	208.00	0.00	-6.48	-6.48	300.07
1980 01 08 12	30412.80	29.80	64.44	0.00	-5.27	-5.27	370.19
1980 01 09 12	30462.99	13.21	113.33	0.00	-4.84	-4.84	386.66
1980 01 10 12	30758.40	11.32	156.25	0.00	-5.64	-5.64	350.16
1980 01 11 12	30758.40	10.04	141.72	0.00	-3.31	-3.31	421.85
1980 01 12 12	30758.40	66.53	171.69	0.00	2.85	2.85	678.01
1980 01 13 12	31006.73	23.35	128.52	0.00	-0.50	-0.50	526.88
1980 01 14 12	31104.00	6.22	137.41	0.00	0.70	0.70	563.20
1980 01 15 12	31104.00	23.65	127.04	0.00	0.49	0.49	541.42
1980 01 16 12	31352.33	20.66	118.87	0.00	2.35	2.35	662.33
1980 01 17 12	31449.60	9.97	177.46	0.00	-0.57	-0.57	508.95
1980 01 18 12	31449.60	0.04	272.35	0.00	-4.73	-4.73	308.24
1980 01 19 12	31793.78	0.08	228.43	0.00	-3.72	-3.72	222.31
1980 01 20 12	31795.20	0.01	159.15	0.00	-0.48	-0.48	246.13
1980 01 21 12	31795.20	0.00	260.90	0.00	1.03	1.03	330.51
1980 01 22 12	32140.80	0.00	268.98	0.00	1.17	1.17	436.75
1980 01 23 12	32140.80	0.00	267.69	0.00	2.28	2.28	454.44
1980 01 24 12	32389.13	0.02	260.34	0.00	2.95	2.95	590.90
1980 01 25 12	32486.40	1.60	198.38	0.00	-1.40	-1.40	479.37
1980 01 26 12	32486.40	0.58	273.01	0.00	-7.47	-7.47	217.36
1980 01 27 12	32832.00	0.00	305.48	0.00	-12.22	-12.22	117.08
1980 01 28 12	32832.00	0.00	310.81	0.00	-13.17	-13.17	115.54
1980 01 29 12	33177.60	0.00	311.28	0.00	-13.09	-13.09	118.14
1980 01 30 12	33177.60	1.00	275.33	0.00	-9.96	-9.96	150.22
1980 01 31 12	33523.20	1.72	184.18	0.00	-4.33	-4.33	282.29
1980 02 01 12	33523.20	44.49	116.37	0.00	0.68	0.68	559.77
1980 02 02 12	33867.38	22.56	110.79	0.00	3.64	3.64	694.97
1980 02 03 12	33868.80	9.99	140.55	0.00	2.63	2.63	629.04
1980 02 04 12	34212.98	5.57	292.13	0.00	1.64	1.64	564.13
1980 02 05 12	34214.40	4.61	145.20	0.00	2.44	2.44	494.63
1980 02 06 12	34558.58	33.31	130.18	0.00	2.87	2.87	660.08
1980 02 07 12	34560.00	7.68	311.29	0.00	1.96	1.96	597.08
1980 02 08 12	34904.18	0.10	324.65	0.00	1.46	1.46	507.57
1980 02 09 12	34905.60	0.02	331.29	0.00	1.45	1.45	421.95
1980 02 10 12	35251.20	0.00	332.71	0.00	-0.21	-0.21	419.95
1980 02 11 12	35251.20	0.00	341.15	0.00	0.16	0.16	392.31
1980 02 12 12	35596.80	1.25	339.64	0.00	0.08	0.08	407.42
1980 02 13 12	35596.80	1.91	117.26	0.00	-1.20	-1.20	418.85
1980 02 14 12	35942.40	3.56	194.18	0.00	-4.77	-4.77	296.18
1980 02 15 12	35942.40	4.28	190.99	0.00	-5.41	-5.41	318.09
1980 02 16 12	36288.00	0.84	184.80	0.00	0.56	0.56	476.06
1980 02 17 12	36288.00	6.37	182.40	0.00	2.10	2.10	575.43
1980 02 18 12	36633.60	16.35	191.58	0.00	4.73	4.73	804.64
1980 02 19 12	36977.78	2.83	173.01	0.00	3.21	3.21	693.85
1980 02 20 12	36979.20	10.92	193.90	0.00	2.25	2.25	647.40
1980 02 21 12	37324.80	0.42	366.75	0.00	-0.26	-0.26	497.24
1980 02 22 12	37324.80	0.00	335.71	0.00	-0.08	-0.08	457.10
1980 02 23 12	37670.40	0.32	350.67	0.00	1.87	1.87	505.53
1980 02 24 12	37670.40	2.69	171.90	0.00	2.52	2.52	548.13
1980 02 25 12	38016.00	2.73	197.02	0.00	3.55	3.55	660.06
1980 02 26 12	38361.60	40.69	140.11	0.00	6.46	6.46	907.45
1980 02 27 12	38361.60	24.42	143.43	0.00	7.21	7.21	951.18
1980 02 28 12	38707.20	12.27	213.41	0.00	4.97	4.97	771.85
1980 02 29 12	38707.20	6.16	292.99	0.00	5.21	5.21	699.55
1980 03 01 12	39052.80	0.06	369.27	0.00	5.46	5.46	627.20
1980 03 02 12	39301.13	0.11	207.11	0.00	5.20	5.20	692.44
1980 03 03 12	39398.40	16.57	160.98	0.00	3.70	3.70	691.81
1980 03 04 12	39744.00	6.98	328.33	0.00	2.28	2.28	630.99
1980 03 05 12	39744.00	0.67	242.66	0.00	2.09	2.09	561.72
1980 03 06 12	40089.60	0.01	367.55	0.00	0.28	0.28	465.91
1980 03 07 12	40337.93	6.45	289.56	0.00	1.62	1.62	599.26
1980 03 08 12	40435.20	9.47	296.00	0.00	1.85	1.85	612.73
1980 03 09 12	40780.80	0.47	214.70	0.00	1.01	1.01	566.08
1980 03 10 12	40780.80	10.53	194.99	0.00	2.26	2.26	648.67
1980 03 11 12	41126.40	30.00	294.84	0.00	1.01	1.01	579.08
1980 03 12 12	41470.58	15.55	320.43	0.00	-0.70	-0.70	469.28
1980 03 13 12	41472.00	30.76	287.66	0.00	-0.03	-0.03	502.47
1980 03 14 12	41817.60	17.71	332.51	0.00	-0.17	-0.17	498.34
1980 03 15 12	41817.60	11.55	315.80	0.00	-2.09	-2.09	422.33
1980 03 16 12	42163.20	3.14	307.94	0.00	-1.64	-1.64	447.55
1980 03 17 12	42508.80	30.15	280.23	0.00	1.26	1.26	581.67
1980 03 18 12	42508.80	15.37	309.73	0.00	1.80	1.80	614.61
1980 03 19 12	42854.40	8.79	304.31	0.00	2.15	2.15	622.81
1980 03 20 12	42854.40	5.26	327.82	0.00	2.55	2.55	642.43
1980 03 21 12	43200.00	1.11	379.08	0.00	2.55	2.55	615.93
1980 03 22 12	43545.60	1.38	453.55	0.00	3.05	3.05	662.00
1980 03 23 12	43545.60	7.58	367.34	0.00	1.48	1.48	544.39
1980 03 24 12	43891.20	0.80	476.80	0.00	1.05	1.05	510.55
1980 03 25 12	43891.20	0.12	457.66	0.00	1.69	1.69	472.42
1980 03 26 12	44236.80	22.66	247.86	0.00	1.38	1.38	552.42
1980 03 27 12	44582.40	6.27	409.78	0.00	0.50	0.50	528.04
1980 03 28 12	44582.40	11.56	207.90	0.00	1.63	1.63	582.65
1980 03 29 12	44928.00	17.97	352.85	0.00	1.81	1.81	588.73
1980 03 30 12	44928.00	1.19	541.96	0.00	0.89	0.89	498.43
1980 03 31 12	45273.60	1.84	398.65	0.00	1.14	1.14	511.42
1980 04 01 12	45619.20	0.02	330.79	0.00	1.83	1.83	545.44
1980 04 02 12	45619.20	0.00	503.64	0.00	3.76	3.76	479.74
1980 04 03 12	45964.80	0.00	393.34	0.00	5.03	5.03	503.69
1980 04 04 12	46062.07	2.62	358.52	0.00	4.77	4.77	588.66
1980 04 05 12	46310.40	14.34	366.80	0.00	5.03	5.03	725.20
1980 04 06 12	46656.00	16.57	373.47	0.00	1.64	1.64	551.75
1980 04 07 12	46656.00	3.42	462.25	0.00	0.35	0.35	491.54
1980 04 08 12	47001.60	6.49	399.45	0.00	2.97	2.97	600.32
1980 04 09 12	47098.87	29.44	363.50	0.00	4.53	4.53	698.43
1980 04 10 12	47347.20	5.27	310.09	0.00	2.09	2.09	590.19
1980 04 11 12	47692.80	0.00	554.30	0.00	3.51	3.51	539.05
1980 04 12 12	47692.80	0.00	494.96	0.00	8.54	8.54	620.96
1980 04 13 12	48038.40	4.40	340.72	0.00	9.46	9.46	732.64
1980 04 14 12	48038.40	9.20	229.66	0.00	7.86	7.86	828.23
1980 04 15 12	48384.00	8.28	440.15	0.00	4.46	4.46	697.40
1980 04 16 12	48729.60	0.00	569.49	0.00	6.25	6.25	615.01
1980 04 17 12	48729.60	0.36	425.29	0.00	7.87	7.87	701.33
1980 04 18 12	49075.20	2.25	329.69	0.00	6.40	6.40	791.78
1980 04 19 12	49075.20	22.83	198.41	0.00	6.88	6.88	887.28
1980 04 20 12	49420.80	14.41	363.70	0.00	5.44	5.44	795.96
1980 04 21 12	49422.22	5.44	366.67	0.00	5.93	5.93	706.94
1980 04 22 12	49766.40	0.00	479.32	0.00	6.86	6.86	738.20
1980 04 23 12	50112.00	0.00	570.67	0.00	6.33	6.33	701.97
1980 04 24 12	50112.00	1.17	514.33	0.00	5.49	5.49	700.97
1980 04 25 12	50457.60	0.00	547.94	0.00	4.74	4.74	583.97
1980 04 26 12	50457.60	0.32	422.36	0.00	8.09	8.09	769.58
1980 04 27 12	50803.20	0.00	584.65	0.00	10.41	10.41	877.56
1980 04 28 12	50803.20	3.97	370.72	0.00	10.75	10.75	945.19
1980 04 29 12	51148.80	4.17	375.55	0.00	4.08	4.08	699.06
1980 04 30 12	51148.80	0.42	578.82	0.00	6.21	6.21	706.91
1980 05 01 12	51494.40	0.00	585.87	0.00	11.08	11.08	890.24
1980 05 02 12	51495.82	0.11	444.69	0.00	8.83	8.83	925.17
1980 05 03 12	51840.00	0.00	600.11	0.00	6.61	6.61	664.28
1980 05 04 12	51841.42	0.00	599.68	0.00	11.74	11.74	790.47
1980 05 05 12	52185.60	0.64	485.57	0.00	11.34	11.34	974.72
1980 05 06 12	52187.02	0.38	464.83	0.00	8.32	8.32	862.13
1980 05 07 12	52531.20	0.05	499.63	0.00	7.31	7.31	790.25
1980 05 08 12	52532.62	0.96	323.32	0.00	7.39	7.39	831.20
1980 05 09 12	52876.80	4.86	342.18	0.00	5.80	5.80	721.15
1980 05 10 12	52876.80	0.14	367.34	0.00	7.52	7.52	809.69
1980 05 11 12	53222.40	0.19	561.41	0.00	11.08	11.08	969.62
1980 05 12 12	53222.40	0.13	518.78	0.00	9.99	9.99	967.33
1980 05 13 12	53568.00	6.91	469.02	0.00	7.09	7.09	800.72
1980 05 14 12	53568.00	2.13	338.62	0.00	6.82	6.82	814.73
1980 05 15 12	53913.60	2.45	363.49	0.00	5.21	5.21	705.21
1980 05 16 12	53913.60	0.21	341.55	0.00	6.56	6.56	777.40
1980 05 17 12	54010.87	0.00	562.00	0.00	9.41	9.41	909.96
1980 05 18 12	54259.20	0.00	531.17	0.00	11.56	11.56	887.80
1980 05 19 12	54259.20	0.00	442.93	0.00	10.79	10.79	945.00
1980 05 20 12	54604.80	3.89	192.85	0.00	8.77	8.77	965.05
1980 05 21 12	54604.80	6.16	325.16	0.00	9.24	9.24	989.62
1980 05 22 12	54606.22	1.46	389.23	0.00	6.30	6.30	719.61
1980 05 23 12	54950.40	1.45	467.27	0.00	4.51	4.51	620.00
1980 05 24 12	54950.40	1.19	312.57	0.00	5.80	5.80	706.29
1980 05 25 12	55047.67	12.84	291.40	0.00	6.06	6.06	794.53
1980 05 26 12	55296.00	25.96	229.76	0.00	6.03	6.03	833.42
1980 05 27 12	55296.00	3.05	226.14	0.00	6.25	6.25	830.67
1980 05 28 12	55393.27	1.98	285.25	0.00	7.28	7.28	852.81
1980 05 29 12	55641.60	0.38	435.87	0.00	9.18	9.18	874.88
1980 05 30 12	55641.60	0.44	512.54	0.00	10.11	10.11	938.17
1980 05 31 12	55641.60	0.08	510.94	0.00	11.49	11.49	1043.09
1980 06 01 12	55937.02	17.77	313.52	0.00	7.99	7.99	887.26
1980 06 02 12	55987.20	4.19	355.67	0.00	4.79	4.79	672.37
1980 06 03 12	55987.20	1.16	275.86	0.00	5.77	5.77	704.71
1980 06 04 12	55987.20	1.28	486.42	0.00	7.48	7.48	737.70
1980 06 05 12	56084.47	7.09	238.68	0.00	7.32	7.32	849.01
1980 06 06 12	56332.80	0.67	230.17	0.00	6.98	6.98	846.93
1980 06 07 12	56332.80	1.49	365.09	0.00	10.15	10.15	939.53
1980 06 08 12	56332.80	0.16	404.59	0.00	12.38	12.38	1084.20
1980 06 09 12	56332.80	0.17	426.42	0.00	11.44	11.44	1024.06
1980 06 10 12	56334.22	0.09	427.49	0.00	9.31	9.31	907.84
1980 06 11 12	56628.21	2.20	425.30	0.00	9.76	9.76	922.71
1980 06 12 12	56678.40	0.50	336.73	0.00	10.75	10.75	1032.93
1980 06 13 12	56678.40	3.14	305.12	0.00	9.93	9.93	1053.49
1980 06 14 12	56678.40	0.62	386.75	0.00	10.71	10.71	1090.79
1980 06 15 12	56678.40	3.41	308.66	0.00	10.88	10.88	1117.24
1980 06 16 12	56678.40	4.71	405.31	0.00	13.06	13.06	1195.67
1980 06 17 12	56678.40	11.31	381.64	0.00	9.85	9.85	1004.49
