  44.69
1376.00
   59285375
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	31104.00	6.92	143.28	0.00	1.38	1.38	601.48
1980 01 02 12	31449.60	1.58	139.13	0.00	0.68	0.68	544.50
1980 01 03 12	31449.60	2.90	213.31	0.00	0.10	0.10	485.48
1980 01 04 12	31449.60	5.30	114.25	0.00	1.20	1.20	470.61
1980 01 05 12	31449.60	17.41	218.88	0.00	1.68	1.68	623.00
1980 01 06 12	31449.60	0.83	248.61	0.00	-3.99	-3.99	330.57
1980 01 07 12	31623.98	0.00	211.77	0.00	-4.92	-4.92	238.75
1980 01 08 12	31795.20	32.82	142.85	0.00	-4.13	-4.13	412.60
1980 01 09 12	31795.20	15.47	190.57	0.00	-2.35	-2.35	473.99
1980 01 10 12	31795.20	11.43	130.64	0.00	-6.02	-6.02	333.46
1980 01 11 12	31795.20	16.62	112.89	0.00	-5.72	-5.72	339.99
1980 01 12 12	32140.80	80.87	148.37	0.00	1.93	1.93	685.75
1980 01 13 12	32140.80	44.26	114.61	0.00	1.42	1.42	664.16
1980 01 14 12	32140.80	13.11	145.04	0.00	2.21	2.21	652.52
1980 01 15 12	32315.18	3.49	172.49	0.00	-0.10	-0.10	460.64
1980 01 16 12	32486.40	1.49	121.79	0.00	1.39	1.39	552.56
1980 01 17 12	32486.40	1.68	252.81	0.00	-1.59	-1.59	475.59
1980 01 18 12	32486.40	0.08	272.11	0.00	-5.73	-5.73	297.32
1980 01 19 12	32832.00	0.00	277.21	0.00	-7.61	-7.61	247.03
1980 01 20 12	32832.00	0.00	217.98	0.00	-3.82	-3.82	258.60
1980 01 21 12	32832.00	0.00	267.47	0.00	0.19	0.19	373.06
1980 01 22 12	33177.60	0.00	275.51	0.00	-1.83	-1.83	380.27
1980 01 23 12	33177.60	0.00	279.13	0.00	-0.24	-0.24	388.56
1980 01 24 12	33351.98	0.00	243.12	0.00	2.38	2.38	490.66
1980 01 25 12	33523.20	3.20	289.36	0.00	-1.71	-1.71	381.95
1980 01 26 12	33523.20	3.09	212.30	0.00	-7.12	-7.12	315.26
1980 01 27 12	33868.80	0.21	283.83	0.00	-13.25	-13.25	170.70
1980 01 28 12	33868.80	0.67	309.37	0.00	-15.42	-15.42	145.56
1980 01 29 12	33868.80	0.21	315.00	0.00	-15.72	-15.72	146.15
1980 01 30 12	34214.40	0.00	293.64	0.00	-12.46	-12.46	172.96
1980 01 31 12	34214.40	0.67	208.76	0.00	-6.89	-6.89	244.96
1980 02 01 12	34560.00	24.01	130.06	0.00	-1.02	-1.02	520.03
1980 02 02 12	34560.00	8.70	110.40	0.00	2.10	2.10	668.92
1980 02 03 12	34905.60	3.95	104.42	0.00	2.14	2.14	658.68
1980 02 04 12	34905.60	0.75	315.07	0.00	0.16	0.16	491.98
1980 02 05 12	34905.60	1.25	153.94	0.00	0.91	0.91	471.88
1980 02 06 12	35251.20	10.64	132.39	0.00	1.18	1.18	580.17
1980 02 07 12	35251.20	1.66	319.37	0.00	-0.62	-0.62	481.87
1980 02 08 12	35596.80	1.16	335.29	0.00	-0.85	-0.85	425.76
1980 02 09 12	35596.80	0.18	304.18	0.00	-2.20	-2.20	408.37
1980 02 10 12	35942.40	0.04	298.93	0.00	-1.59	-1.59	457.94
1980 02 11 12	35942.40	0.21	344.39	0.00	-2.15	-2.15	414.77
1980 02 12 12	36288.00	0.22	348.73	0.00	-1.31	-1.31	400.76
1980 02 13 12	36288.00	0.99	157.36	0.00	-0.63	-0.63	412.23
