  45.36
 858.00
   39868767
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	30823.48	23.74	118.83	0.00	4.53	4.53	762.14
1980 01 02 12	31104.00	9.27	87.62	0.00	4.37	4.37	765.95
1980 01 03 12	31104.00	5.14	238.38	0.00	3.07	3.07	620.05
1980 01 04 12	31104.00	9.76	89.51	0.00	3.49	3.49	609.04
1980 01 05 12	31104.00	25.11	203.86	0.00	3.87	3.87	746.38
1980 01 06 12	31104.00	4.79	275.19	0.00	-0.47	-0.47	448.92
1980 01 07 12	31449.60	0.00	228.41	0.00	-1.78	-1.78	327.40
1980 01 08 12	31449.60	66.14	166.70	0.00	0.01	0.01	563.60
1980 01 09 12	31449.60	57.54	181.96	0.00	0.53	0.53	601.79
1980 01 10 12	31449.60	25.33	104.53	0.00	-2.32	-2.32	465.80
1980 01 11 12	31795.20	18.30	129.95	0.00	-2.72	-2.72	444.50
1980 01 12 12	31795.20	56.32	139.83	0.00	3.77	3.77	774.76
1980 01 13 12	31795.20	79.06	118.67	0.00	3.23	3.23	738.00
1980 01 14 12	31795.20	20.16	129.68	0.00	2.91	2.91	709.24
1980 01 15 12	32140.80	9.90	172.12	0.00	1.88	1.88	600.25
1980 01 16 12	32140.80	5.08	111.57	0.00	2.75	2.75	665.51
1980 01 17 12	32140.80	7.83	201.90	0.00	0.81	0.81	579.43
1980 01 18 12	32486.40	0.10	303.77	0.00	-3.13	-3.13	386.91
1980 01 19 12	32486.40	0.00	306.60	0.00	-3.69	-3.69	323.99
1980 01 20 12	32486.40	0.00	223.59	0.00	-0.50	-0.50	362.77
1980 01 21 12	32832.00	0.00	276.57	0.00	2.34	2.34	477.89
1980 01 22 12	32832.00	0.00	306.80	0.00	1.70	1.70	471.80
1980 01 23 12	32832.00	0.00	308.43	0.00	2.78	2.78	499.71
1980 01 24 12	33177.60	0.00	259.58	0.00	4.41	4.41	576.53
1980 01 25 12	33177.60	0.10	282.31	0.00	0.17	0.17	546.57
1980 01 26 12	33523.20	4.33	271.89	0.00	-2.77	-2.77	389.84
1980 01 27 12	33523.20	0.48	332.54	0.00	-8.73	-8.73	191.20
1980 01 28 12	33523.20	0.40	343.38	0.00	-11.17	-11.17	160.01
1980 01 29 12	33868.80	0.12	345.65	0.00	-11.31	-11.31	160.40
1980 01 30 12	33868.80	0.04	327.01	0.00	-7.90	-7.90	172.73
1980 01 31 12	34214.40	0.50	211.93	0.00	-2.04	-2.04	266.01
1980 02 01 12	34214.40	51.02	117.00	0.00	2.70	2.70	679.88
1980 02 02 12	34279.48	24.58	96.88	0.00	5.49	5.49	834.59
1980 02 03 12	34560.00	8.52	86.94	0.00	4.82	4.82	771.31
1980 02 04 12	34560.00	2.34	311.58	0.00	3.70	3.70	657.02
1980 02 05 12	34905.60	2.40	133.68	0.00	4.94	4.94	598.27
1980 02 06 12	34905.60	27.71	77.39	0.00	4.81	4.81	775.03
1980 02 07 12	35251.20	11.52	311.29	0.00	3.78	3.78	690.04
1980 02 08 12	35251.20	0.76	328.10	0.00	3.36	3.36	538.53
1980 02 09 12	35596.80	0.00	321.59	0.00	2.69	2.69	511.00
1980 02 10 12	35596.80	0.00	303.29	0.00	2.83	2.83	593.67
1980 02 11 12	35942.40	0.00	341.50	0.00	3.11	3.11	518.74
1980 02 12 12	35942.40	0.00	347.89	0.00	2.54	2.54	514.13
1980 02 13 12	36288.00	0.83	157.68	0.00	1.97	1.97	514.61
1980 02 14 12	36288.00	4.66	99.95	0.00	0.16	0.16	513.64
1980 02 15 12	36633.60	1.53	157.62	0.00	0.06	0.06	534.35
1980 02 16 12	36633.60	0.10	310.52	0.00	2.46	2.46	572.35
1980 02 17 12	36979.20	9.45	142.12	0.00	3.64	3.64	681.30
1980 02 18 12	36979.20	16.24	150.41	0.00	5.81	5.81	834.53
1980 02 19 12	37324.80	5.02	223.36	0.00	5.60	5.60	816.88
1980 02 20 12	37324.80	11.43	162.79	0.00	4.24	4.24	726.30
1980 02 21 12	37670.40	3.93	283.18	0.00	2.68	2.68	585.40
1980 02 22 12	37670.40	7.31	207.39	0.00	2.66	2.66	592.01
1980 02 23 12	38016.00	7.00	266.89	0.00	4.13	4.13	686.64
1980 02 24 12	38016.00	9.79	153.42	0.00	6.08	6.08	709.28
1980 02 25 12	38361.60	3.11	191.05	0.00	6.66	6.66	808.69
1980 02 26 12	38707.20	26.15	114.57	0.00	9.28	9.28	1082.75
1980 02 27 12	38707.20	8.84	140.70	0.00	9.53	9.53	1072.52
1980 02 28 12	39052.80	14.09	199.95	0.00	7.29	7.29	897.29
1980 02 29 12	39052.80	7.04	283.84	0.00	7.68	7.68	806.76
1980 03 01 12	39398.40	0.00	364.51	0.00	8.07	8.07	716.16
1980 03 02 12	39398.40	2.40	264.58	0.00	8.48	8.48	824.43
1980 03 03 12	39744.00	3.26	259.88	0.00	7.77	7.77	867.54
1980 03 04 12	39744.00	20.11	196.06	0.00	6.10	6.10	825.29
1980 03 05 12	40089.60	9.90	238.74	0.00	5.06	5.06	742.49
1980 03 06 12	40435.20	1.46	273.71	0.00	3.30	3.30	622.96
1980 03 07 12	40435.20	2.81	224.77	0.00	3.72	3.72	645.42
1980 03 08 12	40780.80	6.07	225.48	0.00	4.74	4.74	720.45
1980 03 09 12	40780.80	4.19	287.37	0.00	3.25	3.25	648.46
1980 03 10 12	41126.40	0.20	250.56	0.00	4.86	4.86	698.73
1980 03 11 12	41126.40	26.65	288.83	0.00	3.64	3.64	684.24
1980 03 12 12	41472.00	15.73	280.89	0.00	1.26	1.26	540.15
1980 03 13 12	41472.00	24.09	213.93	0.00	1.75	1.75	595.37
1980 03 14 12	41817.60	32.82	303.46	0.00	2.71	2.71	643.86
