  45.25
 598.00
    7999642
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	31104.00	35.59	136.70	0.00	6.19	6.19	867.34
1980 01 02 12	31104.00	4.10	98.91	0.00	5.71	5.71	848.36
1980 01 03 12	31104.00	3.43	211.03	0.00	4.09	4.09	695.12
1980 01 04 12	31104.00	6.19	69.52	0.00	3.54	3.54	681.84
1980 01 05 12	31104.00	23.75	233.00	0.00	4.34	4.34	762.33
1980 01 06 12	31449.60	0.36	243.31	0.00	0.43	0.43	471.84
1980 01 07 12	31449.60	0.55	172.93	0.00	-1.11	-1.11	421.14
1980 01 08 12	31449.60	48.06	80.19	0.00	2.38	2.38	672.47
1980 01 09 12	31449.60	47.40	110.94	0.00	3.24	3.24	704.29
1980 01 10 12	31449.60	22.50	129.42	0.00	0.07	0.07	510.42
1980 01 11 12	31795.20	24.52	96.81	0.00	-0.09	-0.09	538.78
1980 01 12 12	31795.20	94.48	124.33	0.00	6.29	6.29	895.79
1980 01 13 12	31795.20	61.42	117.43	0.00	5.20	5.20	822.92
1980 01 14 12	31905.85	18.92	132.86	0.00	5.69	5.69	840.06
1980 01 15 12	32140.80	20.18	118.40	0.00	3.73	3.73	702.92
1980 01 16 12	32140.80	11.44	70.31	0.00	5.01	5.01	804.68
1980 01 17 12	32140.80	3.76	168.96	0.00	3.04	3.04	663.65
1980 01 18 12	32486.40	0.06	270.28	0.00	-0.19	-0.19	456.95
1980 01 19 12	32486.40	0.00	272.25	0.00	-0.84	-0.84	354.84
1980 01 20 12	32486.40	0.00	178.91	0.00	1.42	1.42	371.65
1980 01 21 12	32832.00	0.00	219.53	0.00	4.31	4.31	553.36
1980 01 22 12	32832.00	0.00	271.90	0.00	3.95	3.95	570.92
1980 01 23 12	32942.65	0.00	274.54	0.00	4.54	4.54	586.09
1980 01 24 12	33177.60	0.00	222.20	0.00	5.61	5.61	690.45
1980 01 25 12	33177.60	0.00	270.50	0.00	2.19	2.19	621.41
1980 01 26 12	33523.20	0.00	206.63	0.00	-0.70	-0.70	450.82
1980 01 27 12	33523.20	0.07	297.27	0.00	-5.07	-5.07	263.16
1980 01 28 12	33523.20	0.00	307.34	0.00	-7.94	-7.94	201.61
1980 01 29 12	33868.80	0.00	309.79	0.00	-8.60	-8.60	192.67
1980 01 30 12	33868.80	0.00	279.70	0.00	-6.26	-6.26	200.50
1980 01 31 12	34214.40	7.80	149.68	0.00	-0.55	-0.55	380.46
1980 02 01 12	34214.40	51.28	148.35	0.00	4.24	4.24	754.80
1980 02 02 12	34560.00	28.26	74.49	0.00	7.16	7.16	913.65
1980 02 03 12	34560.00	6.97	94.39	0.00	6.40	6.40	856.98
1980 02 04 12	34670.65	1.08	297.14	0.00	5.16	5.16	730.88
1980 02 05 12	34905.60	10.39	105.79	0.00	5.47	5.47	754.30
1980 02 06 12	34905.60	29.45	108.57	0.00	6.27	6.27	850.39
1980 02 07 12	35251.20	1.13	311.95	0.00	4.12	4.12	693.62
1980 02 08 12	35251.20	0.00	327.84	0.00	3.97	3.97	627.96
1980 02 09 12	35596.80	0.19	161.94	0.00	3.37	3.37	587.60
1980 02 10 12	35596.80	0.00	266.81	0.00	4.68	4.68	685.04
1980 02 11 12	35942.40	0.00	334.54	0.00	4.12	4.12	597.02
1980 02 12 12	35942.40	0.00	341.53	0.00	4.17	4.17	562.41
1980 02 13 12	36288.00	0.00	229.66	0.00	3.44	3.44	565.17
1980 02 14 12	36288.00	5.75	112.02	0.00	2.29	2.29	633.18
1980 02 15 12	36633.60	1.99	133.74	0.00	2.61	2.61	661.29
1980 02 16 12	36633.60	1.01	241.67	0.00	4.78	4.78	692.41
1980 02 17 12	36979.20	32.77	127.72	0.00	6.02	6.02	827.62
1980 02 18 12	36979.20	47.29	110.64	0.00	7.34	7.34	958.52
1980 02 19 12	37324.80	7.17	141.03	0.00	5.84	5.84	841.37
1980 02 20 12	37324.80	3.36	274.23	0.00	4.29	4.29	719.00
1980 02 21 12	37670.40	1.05	309.71	0.00	2.81	2.81	609.46
1980 02 22 12	37670.40	7.36	182.01	0.00	3.22	3.22	654.04
1980 02 23 12	38016.00	6.21	310.04	0.00	4.61	4.61	721.66
1980 02 24 12	38361.60	12.09	164.48	0.00	6.49	6.49	807.16
1980 02 25 12	38361.60	12.11	172.89	0.00	7.10	7.10	881.36
1980 02 26 12	38707.20	41.52	101.12	0.00	9.32	9.32	1048.56
1980 02 27 12	38707.20	17.17	141.82	0.00	9.39	9.39	1041.66
1980 02 28 12	39052.80	12.97	151.26	0.00	6.70	6.70	848.07
1980 02 29 12	39052.80	6.50	240.21	0.00	7.39	7.39	830.14
1980 03 01 12	39398.40	0.03	326.27	0.00	8.09	8.09	812.21
1980 03 02 12	39398.40	0.29	232.88	0.00	8.16	8.16	850.75
1980 03 03 12	39744.00	1.52	220.19	0.00	7.86	7.86	865.22
1980 03 04 12	39744.00	7.57	321.85	0.00	6.07	6.07	820.24
1980 03 05 12	40089.60	10.43	229.46	0.00	5.61	5.61	793.93
1980 03 06 12	40435.20	2.26	220.28	0.00	5.06	5.06	752.80
1980 03 07 12	40435.20	2.17	257.54	0.00	5.18	5.18	718.78
1980 03 08 12	40780.80	2.11	314.22	0.00	5.55	5.55	729.55
1980 03 09 12	40780.80	0.30	256.66	0.00	3.46	3.46	624.88
1980 03 10 12	41126.40	2.58	178.67	0.00	4.66	4.66	744.11
1980 03 11 12	41126.40	27.77	209.30	0.00	3.74	3.74	696.29
1980 03 12 12	41472.00	30.10	186.08	0.00	2.43	2.43	626.53
1980 03 13 12	41472.00	42.23	303.77	0.00	2.89	2.89	646.94
1980 03 14 12	41817.60	30.13	341.58	0.00	3.31	3.31	671.90
1980 03 15 12	42163.20	15.36	336.80	0.00	1.60	1.60	566.18
1980 03 16 12	42163.20	2.46	238.74	0.00	1.88	1.88	584.76
1980 03 17 12	42508.80	14.57	185.32	0.00	4.03	4.03	722.80
1980 03 18 12	42508.80	8.56	281.38	0.00	4.20	4.20	710.73
1980 03 19 12	42854.40	9.78	272.54	0.00	4.22	4.22	717.38
1980 03 20 12	42854.40	5.99	309.23	0.00	4.68	4.68	741.62
1980 03 21 12	43200.00	1.04	484.00	0.00	4.34	4.34	662.15
1980 03 22 12	43545.60	0.22	472.84	0.00	5.41	5.41	726.80
1980 03 23 12	43545.60	2.36	488.52	0.00	4.62	4.62	666.50
1980 03 24 12	43891.20	0.55	497.42	0.00	3.35	3.35	569.60
1980 03 25 12	43891.20	3.34	385.40	0.00	4.76	4.76	608.16
1980 03 26 12	44236.80	12.12	339.85	0.00	4.14	4.14	670.76
1980 03 27 12	44236.80	2.41	398.35	0.00	3.41	3.41	640.56
1980 03 28 12	44582.40	0.90	210.90	0.00	4.55	4.55	652.43
1980 03 29 12	44928.00	6.50	253.58	0.00	5.40	5.40	753.69
1980 03 30 12	44928.00	3.49	537.18	0.00	2.94	2.94	580.57
1980 03 31 12	45273.60	2.51	264.12	0.00	3.80	3.80	605.70
1980 04 01 12	45273.60	0.32	429.30	0.00	3.68	3.68	613.43
1980 04 02 12	45619.20	0.14	465.69	0.00	5.33	5.33	565.17
1980 04 03 12	45619.20	0.71	426.72	0.00	6.87	6.87	589.30
1980 04 04 12	45964.80	9.84	282.10	0.00	7.11	7.11	844.63
1980 04 05 12	45964.80	25.87	182.21	0.00	6.33	6.33	827.11
1980 04 06 12	46310.40	34.98	299.25	0.00	3.91	3.91	674.60
1980 04 07 12	46656.00	4.78	380.94	0.00	4.17	4.17	648.47
1980 04 08 12	46656.00	14.12	258.70	0.00	5.58	5.58	759.70
1980 04 09 12	47001.60	33.30	272.01	0.00	7.32	7.32	873.35
1980 04 10 12	47001.60	13.32	291.52	0.00	4.89	4.89	708.17
1980 04 11 12	47347.20	0.11	495.60	0.00	6.15	6.15	661.07
1980 04 12 12	47347.20	0.00	313.52	0.00	11.48	11.48	797.61
1980 04 13 12	47692.80	3.74	411.91	0.00	12.52	12.52	896.40
1980 04 14 12	47692.80	13.08	294.21	0.00	9.30	9.30	876.87
1980 04 15 12	48038.40	7.37	484.29	0.00	6.64	6.64	770.91
1980 04 16 12	48038.40	0.00	538.21	0.00	8.39	8.39	741.44
1980 04 17 12	48384.00	0.09	314.95	0.00	9.10	9.10	840.95
1980 04 18 12	48729.60	0.50	361.54	0.00	8.81	8.81	877.51
1980 04 19 12	48729.60	20.82	162.07	0.00	9.40	9.40	1035.59
1980 04 20 12	49075.20	16.15	269.48	0.00	6.81	6.81	867.07
1980 04 21 12	49075.20	6.27	329.25	0.00	6.02	6.02	770.15
1980 04 22 12	49420.80	0.00	349.47	0.00	7.60	7.60	781.75
1980 04 23 12	49420.80	0.00	496.33	0.00	7.66	7.66	761.74
1980 04 24 12	49766.40	1.61	452.47	0.00	7.87	7.87	841.04
1980 04 25 12	49766.40	0.00	341.73	0.00	7.29	7.29	732.96
1980 04 26 12	50112.00	0.00	370.50	0.00	9.58	9.58	856.21
1980 04 27 12	50112.00	0.00	541.35	0.00	11.64	11.64	978.65
1980 04 28 12	50457.60	0.30	396.31	0.00	11.37	11.37	936.26
1980 04 29 12	50457.60	0.97	376.18	0.00	6.07	6.07	757.88
1980 04 30 12	50803.20	0.00	545.48	0.00	7.28	7.28	798.11
1980 05 01 12	50803.20	0.00	591.82	0.00	11.31	11.31	951.99
1980 05 02 12	51148.80	0.00	536.76	0.00	9.12	9.12	874.62
1980 05 03 12	51148.80	0.00	621.23	0.00	7.97	7.97	781.00
1980 05 04 12	51494.40	0.00	612.15	0.00	12.15	12.15	992.55
1980 05 05 12	51494.40	0.58	289.36	0.00	10.55	10.55	907.18
1980 05 06 12	51729.35	0.02	396.64	0.00	8.22	8.22	866.30
1980 05 07 12	51840.00	0.07	548.80	0.00	7.79	7.79	777.05
1980 05 08 12	51840.00	1.27	471.47	0.00	8.84	8.84	854.27
1980 05 09 12	52185.60	10.15	324.02	0.00	7.11	7.11	830.60
1980 05 10 12	52185.60	0.59	285.34	0.00	7.06	7.06	802.91
1980 05 11 12	52531.20	0.27	549.31	0.00	9.33	9.33	943.17
1980 05 12 12	52531.20	0.02	593.26	0.00	9.29	9.29	953.67
1980 05 13 12	52876.80	0.31	402.84	0.00	8.08	8.08	871.87
1980 05 14 12	52876.80	1.90	431.45	0.00	7.10	7.10	821.12
1980 05 15 12	52876.80	2.11	491.54	0.00	6.59	6.59	751.53
1980 05 16 12	53222.40	1.57	598.90	0.00	7.54	7.54	735.96
1980 05 17 12	53222.40	0.00	622.35	0.00	10.29	10.29	860.38
1980 05 18 12	53457.35	0.00	522.80	0.00	11.65	11.65	876.41
1980 05 19 12	53568.00	0.00	535.59	0.00	11.21	11.21	924.61
1980 05 20 12	53568.00	1.45	250.69	0.00	10.69	10.69	936.91
1980 05 21 12	53913.60	4.83	534.06	0.00	10.92	10.92	1051.29
1980 05 22 12	53913.60	9.82	302.58	0.00	6.81	6.81	799.43
1980 05 23 12	53913.60	7.33	384.79	0.00	5.23	5.23	695.76
1980 05 24 12	54259.20	2.57	468.09	0.00	6.29	6.29	735.37
1980 05 25 12	54259.20	1.21	464.17	0.00	7.32	7.32	803.38
1980 05 26 12	54259.20	1.29	363.74	0.00	7.02	7.02	814.99
1980 05 27 12	54494.15	0.39	439.79	0.00	8.16	8.16	873.34
1980 05 28 12	54604.80	0.00	529.54	0.00	10.13	10.13	938.85
1980 05 29 12	54604.80	0.00	615.75	0.00	10.85	10.85	975.38
1980 05 30 12	54604.80	0.00	628.84	0.00	9.92	9.92	956.32
1980 05 31 12	54950.40	0.00	552.10	0.00	10.75	10.75	1017.94
1980 06 01 12	54950.40	4.95	321.47	0.00	8.91	8.91	968.05
1980 06 02 12	54950.40	2.82	272.40	0.00	5.64	5.64	752.83
1980 06 03 12	54950.40	3.07	295.24	0.00	6.46	6.46	768.30
1980 06 04 12	54950.40	2.02	516.70	0.00	9.29	9.29	815.41
1980 06 05 12	55296.00	0.17	278.98	0.00	9.37	9.37	847.44
1980 06 06 12	55296.00	0.34	168.70	0.00	8.67	8.67	911.80
1980 06 07 12	55296.00	2.58	118.26	0.00	8.26	8.26	920.96
1980 06 08 12	55296.00	1.36	268.06	0.00	10.96	10.96	1073.33
1980 06 09 12	55296.00	0.00	391.53	0.00	10.72	10.72	982.51
1980 06 10 12	55296.00	2.62	398.30	0.00	9.92	9.92	950.28
1980 06 11 12	55641.60	0.00	431.41	0.00	10.57	10.57	949.40
1980 06 12 12	55641.60	0.18	359.56	0.00	10.42	10.42	951.55
1980 06 13 12	55641.60	15.82	212.58	0.00	8.89	8.89	981.53
1980 06 14 12	55641.60	4.16	305.09	0.00	9.01	9.01	969.52
1980 06 15 12	55641.60	0.56	532.35	0.00	11.14	11.14	1040.51
1980 06 16 12	55641.60	0.00	439.14	0.00	12.02	12.02	1108.21
1980 06 17 12	55641.60	0.00	460.99	0.00	10.68	10.68	999.81
1980 06 18 12	55641.60	0.00	527.20	0.00	10.89	10.89	1002.99
1980 06 19 12	55641.60	0.00	539.00	0.00	11.38	11.38	971.73
1980 06 20 12	55641.60	0.00	466.66	0.00	12.79	12.79	1044.96
1980 06 21 12	55641.60	0.16	393.50	0.00	12.13	12.13	1029.80
